date,close,open,high,low,volume
2000-01-03,17369.63 ,17057.70 ,17426.16 ,17057.70 ,0
2000-01-04,17072.82 ,17303.00 ,17303.00 ,16933.52 ,0
2000-01-05,15846.72 ,16608.55 ,16608.55 ,15688.49 ,0
2000-01-06,15153.23 ,15942.07 ,15971.03 ,14763.97 ,0
2000-01-07,15405.63 ,15329.34 ,15513.89 ,15108.75 ,0
2000-01-10,15848.15 ,15631.00 ,16065.09 ,15631.00 ,0
2000-01-11,15862.10 ,15981.13 ,16196.09 ,15736.17 ,0
2000-01-12,15714.20 ,15691.73 ,15744.04 ,15545.67 ,0
2000-01-13,15633.96 ,15763.26 ,15861.17 ,15458.63 ,0
2000-01-14,15542.23 ,15741.54 ,15863.48 ,15322.19 ,0
2000-01-17,15574.56 ,15666.06 ,15827.51 ,15474.39 ,0
2000-01-18,15789.20 ,15575.68 ,15801.07 ,15508.08 ,0
2000-01-19,15275.34 ,15719.04 ,15719.04 ,15192.28 ,0
2000-01-20,15215.31 ,15347.70 ,15347.70 ,15078.03 ,0
2000-01-21,15108.41 ,15094.90 ,15120.36 ,14903.70 ,0
2000-01-24,15167.55 ,15233.79 ,15413.75 ,15020.17 ,0
2000-01-25,15103.04 ,15093.53 ,15150.22 ,14910.29 ,0
2000-01-26,15427.72 ,15164.80 ,15452.72 ,15164.80 ,0
2000-01-27,15917.81 ,15460.21 ,15925.18 ,15460.21 ,0
2000-01-28,16185.94 ,16052.07 ,16315.74 ,16023.37 ,0
2000-01-31,15532.34 ,15889.05 ,15889.05 ,15444.82 ,0
2000-02-01,15653.86 ,15600.26 ,15764.40 ,15580.46 ,0
2000-02-02,15789.82 ,15747.56 ,15957.92 ,15747.56 ,0
2000-02-03,15968.12 ,15795.59 ,16010.03 ,15702.85 ,0
2000-02-08,16228.73 ,16079.89 ,16285.93 ,15940.31 ,0
2000-02-09,16819.46 ,16456.87 ,16967.90 ,16456.87 ,0
2000-02-10,16845.17 ,16679.79 ,16874.09 ,16525.56 ,0
2000-02-11,17380.30 ,17024.37 ,17653.65 ,17024.37 ,0
2000-02-14,17188.96 ,17546.47 ,17939.27 ,17107.90 ,0
2000-02-15,16688.16 ,17257.37 ,17296.97 ,16548.75 ,0
2000-02-16,17043.39 ,16771.10 ,17144.95 ,16732.81 ,0
2000-02-17,16981.23 ,17075.90 ,17229.15 ,16770.14 ,0
2000-02-18,16599.16 ,16985.30 ,17027.95 ,16468.95 ,0
2000-02-21,16322.37 ,16412.63 ,16477.10 ,16136.50 ,0
2000-02-22,16255.17 ,16294.94 ,16442.58 ,15776.35 ,0
2000-02-23,16376.79 ,16313.96 ,16523.65 ,16297.13 ,0
2000-02-24,17058.66 ,16512.57 ,17083.30 ,16512.57 ,0
2000-02-25,17200.98 ,17279.51 ,17414.46 ,16905.40 ,0
2000-02-28,16984.44 ,17434.72 ,17746.77 ,16638.46 ,0
2000-02-29,17169.44 ,17140.21 ,17290.07 ,17021.72 ,0
2000-03-01,16843.59 ,17267.27 ,17275.44 ,16617.95 ,0
2000-03-02,16936.81 ,16996.06 ,17118.40 ,16769.57 ,0
2000-03-03,17285.24 ,16903.55 ,17361.92 ,16795.80 ,0
2000-03-06,17758.76 ,17500.97 ,17855.21 ,17500.97 ,0
2000-03-07,17865.36 ,17656.47 ,17876.78 ,17471.74 ,0
2000-03-08,17951.43 ,17687.58 ,18058.97 ,17323.76 ,0
2000-03-09,17637.03 ,18031.78 ,18249.86 ,17613.80 ,0
2000-03-10,17831.86 ,17727.96 ,18001.54 ,17574.06 ,0
2000-03-13,17096.68 ,17650.62 ,17786.28 ,16892.65 ,0
2000-03-14,16929.16 ,17125.90 ,17220.26 ,16837.02 ,0
2000-03-15,16747.20 ,16847.30 ,16901.31 ,16553.17 ,0
2000-03-16,16359.00 ,16775.23 ,16826.25 ,16315.04 ,0
2000-03-17,17082.99 ,16688.04 ,17096.00 ,16617.18 ,0
2000-03-20,17234.46 ,16878.81 ,17325.15 ,16708.72 ,0
2000-03-21,17199.98 ,17253.04 ,17345.71 ,16896.70 ,0
2000-03-22,17547.04 ,17418.91 ,17560.69 ,17274.56 ,0
2000-03-23,17710.58 ,17705.26 ,17856.36 ,17391.97 ,0
2000-03-24,17784.57 ,17768.06 ,17879.37 ,17577.71 ,0
2000-03-27,18292.86 ,17827.71 ,18350.61 ,17815.68 ,0
2000-03-28,18301.69 ,18272.80 ,18397.57 ,18188.27 ,0
2000-03-29,18096.37 ,18203.13 ,18249.27 ,17950.20 ,0
2000-03-30,17467.15 ,18011.14 ,18038.47 ,17456.56 ,0
2000-03-31,17406.54 ,17383.63 ,17537.13 ,17107.44 ,0
2000-04-03,16892.93 ,17444.48 ,17458.06 ,16872.82 ,0
2000-04-05,16318.44 ,16599.07 ,16736.22 ,16246.53 ,0
2000-04-06,16491.39 ,16416.48 ,16528.58 ,16283.20 ,0
2000-04-07,16941.68 ,16657.84 ,16992.53 ,16657.84 ,0
2000-04-10,16850.74 ,17038.22 ,17083.27 ,16676.07 ,0
2000-04-11,16487.66 ,16683.40 ,16683.40 ,16422.27 ,0
2000-04-12,16577.09 ,16391.12 ,16762.86 ,16267.72 ,0
2000-04-13,16352.56 ,16345.26 ,16470.38 ,16043.85 ,0
2000-04-14,16142.76 ,16254.26 ,16270.77 ,15906.29 ,0
2000-04-17,14762.37 ,15306.05 ,15306.05 ,14624.33 ,0
2000-04-18,15278.32 ,15158.15 ,15409.67 ,15158.15 ,0
2000-04-19,15427.20 ,15558.52 ,15667.16 ,15338.10 ,0
2000-04-20,15367.14 ,15425.82 ,15453.65 ,15213.02 ,0
2000-04-25,15380.01 ,15335.89 ,15531.21 ,15212.92 ,0
2000-04-26,15227.39 ,15581.45 ,15629.52 ,15140.35 ,0
2000-04-27,15192.87 ,15225.17 ,15253.52 ,15068.66 ,0
2000-04-28,15519.30 ,15291.06 ,15541.37 ,15291.06 ,0
2000-05-02,15817.76 ,15751.03 ,15912.27 ,15654.42 ,0
2000-05-03,15577.47 ,15695.09 ,15695.09 ,15511.74 ,0
2000-05-04,15314.07 ,15438.96 ,15438.96 ,15171.11 ,0
2000-05-05,15268.64 ,15298.57 ,15328.98 ,15173.20 ,0
2000-05-08,14901.00 ,15337.66 ,15443.33 ,14827.36 ,0
2000-05-09,14776.90 ,14854.64 ,14854.64 ,14644.61 ,0
2000-05-10,14492.92 ,14652.66 ,14681.06 ,14380.78 ,0
2000-05-12,15111.94 ,14438.67 ,15168.48 ,14288.33 ,0
2000-05-15,14881.30 ,15117.75 ,15165.69 ,14835.80 ,0
2000-05-16,15160.29 ,14961.52 ,15184.33 ,14806.26 ,0
2000-05-17,14827.81 ,15293.26 ,15293.26 ,14721.40 ,0
2000-05-18,14322.60 ,14688.74 ,14688.74 ,14210.49 ,0
2000-05-19,14478.26 ,14338.75 ,14699.42 ,14166.36 ,0
2000-05-22,14140.73 ,14278.51 ,14278.51 ,13981.44 ,0
2000-05-23,14257.18 ,14117.13 ,14311.70 ,13980.94 ,0
2000-05-24,13933.98 ,14115.54 ,14115.54 ,13878.63 ,0
2000-05-25,13921.06 ,14082.05 ,14250.71 ,13852.86 ,0
2000-05-26,13722.70 ,13845.44 ,13845.44 ,13596.63 ,0
2000-05-29,13975.07 ,13735.07 ,14024.15 ,13606.19 ,0
2000-05-30,13990.90 ,14044.04 ,14181.49 ,13734.60 ,0
2000-05-31,14713.86 ,14438.39 ,14913.25 ,14438.39 ,0
2000-06-01,14941.19 ,14652.90 ,15002.53 ,14652.90 ,0
2000-06-02,15284.10 ,15165.58 ,15344.13 ,15142.95 ,0
2000-06-05,15861.68 ,15643.79 ,15971.24 ,15643.79 ,0
2000-06-07,15900.06 ,15782.87 ,16033.87 ,15668.12 ,0
2000-06-08,15876.93 ,15912.21 ,15980.94 ,15786.36 ,0
2000-06-09,16120.26 ,15841.19 ,16154.80 ,15723.33 ,0
2000-06-12,16055.05 ,16125.75 ,16250.64 ,16047.52 ,0
2000-06-13,15692.94 ,15947.87 ,15947.87 ,15657.82 ,0
2000-06-14,15857.07 ,15761.43 ,15887.78 ,15621.30 ,0
2000-06-15,16080.34 ,15941.82 ,16222.51 ,15894.70 ,0
2000-06-16,16434.38 ,16088.74 ,16483.91 ,16002.28 ,0
2000-06-19,16267.47 ,16332.69 ,16364.21 ,16168.79 ,0
2000-06-20,16086.74 ,16467.14 ,16525.02 ,15968.66 ,0
2000-06-21,16238.14 ,16071.19 ,16338.91 ,15935.53 ,0
2000-06-22,15952.36 ,16227.47 ,16266.46 ,15860.97 ,0
2000-06-23,15738.08 ,15827.28 ,15904.39 ,15667.35 ,0
2000-06-26,15978.91 ,15726.12 ,16048.69 ,15644.61 ,0
2000-06-27,16155.77 ,16147.14 ,16274.23 ,16031.58 ,0
2000-06-28,16438.42 ,16202.16 ,16511.24 ,16132.53 ,0
2000-06-29,16286.80 ,16474.40 ,16534.48 ,16226.56 ,0
2000-06-30,16155.78 ,16142.35 ,16310.05 ,16015.52 ,0
2000-07-03,16124.97 ,16177.06 ,16179.90 ,15928.92 ,0
2000-07-04,16235.76 ,16131.77 ,16242.30 ,16086.26 ,0
2000-07-05,16474.27 ,16275.33 ,16540.64 ,16275.33 ,0
2000-07-06,16489.59 ,16396.08 ,16681.34 ,16365.66 ,0
2000-07-07,16829.96 ,16631.86 ,16861.58 ,16565.39 ,0
2000-07-10,17238.67 ,17024.46 ,17274.02 ,17024.46 ,0
2000-07-11,17359.66 ,17259.95 ,17380.59 ,17126.45 ,0
2000-07-12,17552.26 ,17466.98 ,17667.49 ,17451.62 ,0
2000-07-13,17449.50 ,17808.70 ,17834.95 ,17413.27 ,0
2000-07-14,17586.16 ,17508.62 ,17643.81 ,17372.63 ,0
2000-07-17,17834.78 ,17736.62 ,17913.48 ,17729.99 ,0
2000-07-18,17440.83 ,17766.46 ,17766.46 ,17404.05 ,0
2000-07-19,17710.07 ,17462.12 ,17730.57 ,17388.63 ,0
2000-07-20,17758.51 ,17702.69 ,17818.56 ,17518.69 ,0
2000-07-21,17920.86 ,18022.81 ,18125.57 ,17765.49 ,0
2000-07-24,17659.69 ,17866.28 ,18028.65 ,17638.55 ,0
2000-07-25,17375.34 ,17574.32 ,17574.32 ,17306.89 ,0
2000-07-26,17620.23 ,17476.42 ,17730.09 ,17476.42 ,0
2000-07-27,17450.09 ,17442.11 ,17463.29 ,17285.87 ,0
2000-07-28,17183.93 ,17429.73 ,17429.73 ,16994.37 ,0
2000-07-31,16840.98 ,16977.70 ,16981.83 ,16729.98 ,0
2000-08-01,16897.45 ,17014.44 ,17133.09 ,16787.46 ,0
2000-08-02,17277.39 ,16899.22 ,17322.20 ,16866.15 ,0
2000-08-03,17274.28 ,17272.44 ,17379.66 ,17171.84 ,0
2000-08-04,17425.70 ,17330.59 ,17555.20 ,17330.59 ,0
2000-08-07,17727.25 ,17538.81 ,17761.95 ,17538.81 ,0
2000-08-08,17211.84 ,17728.41 ,17759.59 ,17179.75 ,0
2000-08-09,17181.99 ,17306.19 ,17446.67 ,16951.04 ,0
2000-08-10,17333.21 ,17234.58 ,17417.89 ,17149.69 ,0
2000-08-11,17214.42 ,17363.61 ,17363.61 ,17144.66 ,0
2000-08-14,16998.06 ,17245.34 ,17296.20 ,16945.44 ,0
2000-08-15,17463.53 ,17029.72 ,17536.42 ,17029.72 ,0
2000-08-16,17734.15 ,17440.43 ,17794.32 ,17408.18 ,0
2000-08-17,17622.01 ,17710.43 ,17784.65 ,17560.24 ,0
2000-08-18,17440.00 ,17698.36 ,17717.77 ,17359.01 ,0
2000-08-21,17501.48 ,17432.42 ,17596.31 ,17334.93 ,0
2000-08-22,17668.28 ,17568.11 ,17724.82 ,17481.64 ,0
2000-08-23,17427.40 ,17709.08 ,17785.08 ,17386.87 ,0
2000-08-24,17439.70 ,17463.33 ,17548.53 ,17331.70 ,0
2000-08-25,17236.74 ,17348.12 ,17441.30 ,17058.34 ,0
