Evaluation of hangsen_ours_fold4 with a2c agent and cvar indicator
Namespace(stock='hangsen_ours_fold4', window=30, episodes=10, agent='a2c', lr=0.001, cash=10, normalizer=1, indicator='cvar', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 2 | PRICE $28504.27 | ACTION BUY
DAY 5 | PRICE $26491.66 | ACTION BUY
DAY 6 | PRICE $27436.99 | ACTION BUY
DAY 8 | PRICE $26667.04 | ACTION SELL
DAY 9 | PRICE $26233.39 | ACTION BUY
DAY 10 | PRICE $24978.97 | ACTION BUY
DAY 11 | PRICE $22676.46 | ACTION BUY
DAY 13 | PRICE $23238.04 | ACTION SELL
DAY 14 | PRICE $23796.03 | ACTION BUY
DAY 18 | PRICE $24470.18 | ACTION SELL
DAY 23 | PRICE $23684.96 | ACTION SELL
DAY 24 | PRICE $24391.17 | ACTION BUY
DAY 25 | PRICE $24271.77 | ACTION SELL
DAY 27 | PRICE $25299.36 | ACTION BUY
DAY 32 | PRICE $25079.25 | ACTION BUY
DAY 33 | PRICE $25360.03 | ACTION SELL
DAY 34 | PRICE $24931.17 | ACTION BUY
DAY 36 | PRICE $24635.24 | ACTION SELL
DAY 38 | PRICE $23368.49 | ACTION SELL
DAY 39 | PRICE $24059.29 | ACTION BUY
DAY 40 | PRICE $24194.41 | ACTION BUY
DAY 41 | PRICE $24683.25 | ACTION SELL
DAY 42 | PRICE $24232.66 | ACTION BUY
DAY 50 | PRICE $26432.91 | ACTION SELL
DAY 52 | PRICE $28136.64 | ACTION BUY
DAY 57 | PRICE $30099.71 | ACTION SELL
DAY 59 | PRICE $28513.13 | ACTION SELL
DAY 60 | PRICE $28707.35 | ACTION BUY
DAY 62 | PRICE $28014.29 | ACTION BUY
DAY 84 | PRICE $25827.17 | ACTION SELL
DAY 86 | PRICE $23871.84 | ACTION BUY
DAY 108 | PRICE $22299.14 | ACTION SELL
DAY 109 | PRICE $20102.57 | ACTION BUY
DAY 110 | PRICE $18584.04 | ACTION BUY
DAY 120 | PRICE $21154.04 | ACTION SELL
DAY 128 | PRICE $20050.05 | ACTION BUY
DAY 129 | PRICE $20096.54 | ACTION SELL
DAY 130 | PRICE $20011.38 | ACTION BUY
DAY 132 | PRICE $20050.97 | ACTION SELL
DAY 134 | PRICE $18893.65 | ACTION SELL
DAY 135 | PRICE $18494.54 | ACTION BUY
DAY 136 | PRICE $17727.40 | ACTION SELL
DAY 137 | PRICE $16906.96 | ACTION BUY
DAY 138 | PRICE $16789.97 | ACTION SELL
DAY 142 | PRICE $16429.81 | ACTION SELL
DAY 143 | PRICE $17552.30 | ACTION BUY
DAY 146 | PRICE $19202.87 | ACTION BUY
DAY 148 | PRICE $18885.20 | ACTION BUY
DAY 170 | PRICE $19196.09 | ACTION SELL
DAY 174 | PRICE $18483.08 | ACTION BUY
DAY 175 | PRICE $19163.21 | ACTION SELL
DAY 177 | PRICE $19482.47 | ACTION SELL
DAY 178 | PRICE $19369.06 | ACTION BUY
DAY 179 | PRICE $19030.39 | ACTION BUY
DAY 180 | PRICE $17900.77 | ACTION SELL
DAY 181 | PRICE $17945.01 | ACTION SELL
DAY 182 | PRICE $18312.76 | ACTION BUY
DAY 185 | PRICE $17722.49 | ACTION SELL
DAY 188 | PRICE $17671.99 | ACTION BUY
DAY 189 | PRICE $17001.43 | ACTION SELL
DAY 190 | PRICE $16979.26 | ACTION BUY
DAY 191 | PRICE $17537.20 | ACTION BUY
DAY 193 | PRICE $17650.49 | ACTION SELL
DAY 194 | PRICE $16881.98 | ACTION SELL
DAY 196 | PRICE $16145.25 | ACTION BUY
DAY 202 | PRICE $16012.59 | ACTION SELL
DAY 203 | PRICE $15336.86 | ACTION BUY
DAY 209 | PRICE $16430.12 | ACTION BUY
DAY 222 | PRICE $17677.33 | ACTION SELL
DAY 224 | PRICE $18020.17 | ACTION SELL
DAY 226 | PRICE $16924.58 | ACTION BUY
DAY 227 | PRICE $16865.93 | ACTION SELL
DAY 228 | PRICE $17079.35 | ACTION BUY
DAY 229 | PRICE $17255.86 | ACTION SELL
DAY 230 | PRICE $17493.08 | ACTION BUY
DAY 233 | PRICE $17177.08 | ACTION BUY
DAY 234 | PRICE $18532.28 | ACTION SELL
DAY 235 | PRICE $21289.60 | ACTION BUY
DAY 236 | PRICE $20190.53 | ACTION SELL
DAY 238 | PRICE $20448.46 | ACTION BUY
DAY 243 | PRICE $19312.26 | ACTION SELL
DAY 244 | PRICE $19466.69 | ACTION BUY
DAY 246 | PRICE $19968.07 | ACTION LIQUIDATE
DAY 246 | PRICE $19968.07 | ACTION LIQUIDATE
DAY 246 | PRICE $19968.07 | ACTION LIQUIDATE
DAY 246 | PRICE $19968.07 | ACTION LIQUIDATE
DAY 246 | PRICE $19968.07 | ACTION LIQUIDATE
DAY 246 | PRICE $19968.07 | ACTION LIQUIDATE
Initial Cash: $151087.50
Total Profit: -$24687.17
Final Cash:  $126400.33
Price Change: $27792.66 → $19968.07 (-28.15%)
