Evaluation of japan_ni_ours_fold1 with a2c agent and none indicator
Namespace(stock='japan_ni_ours_fold1', window=30, episodes=10, agent='a2c', lr=0.001, cash=10, normalizer=1, indicator='none', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $23837.72 | ACTION BUY
DAY 2 | PRICE $24013.75 | ACTION BUY
DAY 3 | PRICE $23755.32 | ACTION SELL
DAY 4 | PRICE $23139.98 | ACTION SELL
DAY 5 | PRICE $23759.42 | ACTION BUY
DAY 7 | PRICE $22335.21 | ACTION SELL
DAY 9 | PRICE $18891.77 | ACTION BUY
DAY 11 | PRICE $18446.80 | ACTION BUY
DAY 13 | PRICE $18730.80 | ACTION SELL
DAY 14 | PRICE $19465.95 | ACTION SELL
DAY 18 | PRICE $20433.45 | ACTION BUY
DAY 19 | PRICE $20918.11 | ACTION SELL
DAY 27 | PRICE $22780.22 | ACTION BUY
DAY 28 | PRICE $22334.71 | ACTION BUY
DAY 29 | PRICE $22362.89 | ACTION BUY
DAY 30 | PRICE $23222.85 | ACTION SELL
DAY 31 | PRICE $22920.30 | ACTION SELL
DAY 32 | PRICE $22594.79 | ACTION SELL
DAY 33 | PRICE $23098.77 | ACTION BUY
DAY 34 | PRICE $23114.63 | ACTION SELL
DAY 42 | PRICE $25316.60 | ACTION BUY
DAY 44 | PRICE $26419.05 | ACTION SELL
DAY 45 | PRICE $26646.08 | ACTION BUY
DAY 47 | PRICE $26707.30 | ACTION SELL
DAY 48 | PRICE $26638.28 | ACTION BUY
DAY 49 | PRICE $27073.46 | ACTION BUY
DAY 50 | PRICE $28133.59 | ACTION SELL
DAY 51 | PRICE $28402.11 | ACTION BUY
DAY 52 | PRICE $28542.00 | ACTION SELL
DAY 53 | PRICE $28402.30 | ACTION SELL
DAY 57 | PRICE $28308.57 | ACTION BUY
DAY 58 | PRICE $29210.40 | ACTION BUY
DAY 60 | PRICE $28953.22 | ACTION BUY
DAY 61 | PRICE $29694.09 | ACTION SELL
DAY 62 | PRICE $29768.06 | ACTION SELL
DAY 63 | PRICE $29621.83 | ACTION BUY
DAY 65 | PRICE $28966.47 | ACTION BUY
DAY 66 | PRICE $27385.03 | ACTION SELL
DAY 67 | PRICE $27821.96 | ACTION SELL
DAY 69 | PRICE $28879.15 | ACTION SELL
DAY 73 | PRICE $28624.80 | ACTION BUY
DAY 74 | PRICE $28118.03 | ACTION SELL
DAY 78 | PRICE $27808.54 | ACTION BUY
DAY 79 | PRICE $27424.47 | ACTION SELL
DAY 80 | PRICE $27653.23 | ACTION BUY
DAY 83 | PRICE $30504.81 | ACTION SELL
DAY 84 | PRICE $29573.88 | ACTION BUY
DAY 85 | PRICE $29311.34 | ACTION SELL
DAY 90 | PRICE $29504.07 | ACTION BUY
DAY 91 | PRICE $29381.45 | ACTION BUY
DAY 92 | PRICE $29589.19 | ACTION SELL
DAY 93 | PRICE $28187.12 | ACTION BUY
DAY 98 | PRICE $29204.45 | ACTION BUY
DAY 100 | PRICE $27217.59 | ACTION BUY
DAY 101 | PRICE $26044.52 | ACTION SELL
DAY 103 | PRICE $27575.07 | ACTION BUY
DAY 104 | PRICE $26792.54 | ACTION SELL
DAY 105 | PRICE $26262.63 | ACTION BUY
DAY 106 | PRICE $25006.26 | ACTION SELL
DAY 107 | PRICE $25299.64 | ACTION BUY
DAY 108 | PRICE $27076.33 | ACTION BUY
DAY 109 | PRICE $28063.92 | ACTION BUY
DAY 112 | PRICE $26777.71 | ACTION SELL
DAY 113 | PRICE $26592.99 | ACTION SELL
DAY 118 | PRICE $27523.95 | ACTION SELL
DAY 119 | PRICE $26948.22 | ACTION BUY
DAY 120 | PRICE $25520.23 | ACTION BUY
DAY 121 | PRICE $26665.44 | ACTION BUY
DAY 122 | PRICE $25945.83 | ACTION SELL
DAY 123 | PRICE $26710.59 | ACTION BUY
DAY 126 | PRICE $27530.60 | ACTION SELL
DAY 128 | PRICE $28944.71 | ACTION BUY
DAY 129 | PRICE $28282.21 | ACTION SELL
DAY 130 | PRICE $27906.17 | ACTION BUY
DAY 131 | PRICE $27268.70 | ACTION SELL
DAY 132 | PRICE $27818.62 | ACTION SELL
DAY 135 | PRICE $26921.90 | ACTION SELL
DAY 137 | PRICE $26974.90 | ACTION BUY
DAY 138 | PRICE $27392.99 | ACTION BUY
DAY 139 | PRICE $27704.64 | ACTION BUY
DAY 144 | PRICE $27993.78 | ACTION SELL
DAY 145 | PRICE $26269.80 | ACTION BUY
DAY 146 | PRICE $26199.67 | ACTION SELL
DAY 147 | PRICE $25719.61 | ACTION BUY
DAY 149 | PRICE $26788.76 | ACTION SELL
DAY 151 | PRICE $27656.47 | ACTION SELL
DAY 152 | PRICE $27266.94 | ACTION SELL
DAY 153 | PRICE $27426.48 | ACTION SELL
DAY 157 | PRICE $27267.26 | ACTION SELL
DAY 158 | PRICE $27505.48 | ACTION SELL
DAY 161 | PRICE $28531.54 | ACTION BUY
DAY 163 | PRICE $28931.81 | ACTION SELL
DAY 164 | PRICE $29475.97 | ACTION BUY
DAY 165 | PRICE $30689.27 | ACTION BUY
DAY 166 | PRICE $31164.00 | ACTION SELL
DAY 167 | PRICE $31798.72 | ACTION SELL
DAY 169 | PRICE $33231.56 | ACTION BUY
DAY 170 | PRICE $32392.72 | ACTION SELL
DAY 171 | PRICE $33510.55 | ACTION BUY
DAY 172 | PRICE $32065.63 | ACTION SELL
DAY 174 | PRICE $32509.94 | ACTION BUY
DAY 175 | PRICE $33203.88 | ACTION BUY
DAY 176 | PRICE $32238.59 | ACTION SELL
DAY 179 | PRICE $32300.56 | ACTION SELL
DAY 184 | PRICE $30565.32 | ACTION BUY
DAY 185 | PRICE $32249.03 | ACTION SELL
DAY 188 | PRICE $32395.50 | ACTION BUY
DAY 189 | PRICE $32499.28 | ACTION SELL
DAY 196 | PRICE $33257.43 | ACTION BUY
DAY 197 | PRICE $35544.32 | ACTION BUY
DAY 199 | PRICE $35813.77 | ACTION SELL
DAY 200 | PRICE $36213.00 | ACTION BUY
DAY 202 | PRICE $38288.04 | ACTION SELL
DAY 203 | PRICE $39075.47 | ACTION SELL
DAY 204 | PRICE $39769.04 | ACTION BUY
DAY 205 | PRICE $38452.57 | ACTION SELL
DAY 207 | PRICE $40054.06 | ACTION BUY
DAY 208 | PRICE $39773.14 | ACTION SELL
DAY 215 | PRICE $38756.13 | ACTION BUY
DAY 217 | PRICE $39074.88 | ACTION BUY
DAY 218 | PRICE $38332.89 | ACTION BUY
DAY 219 | PRICE $38758.07 | ACTION SELL
DAY 220 | PRICE $39457.62 | ACTION SELL
DAY 221 | PRICE $40942.44 | ACTION BUY
DAY 224 | PRICE $37954.38 | ACTION SELL
DAY 225 | PRICE $33739.46 | ACTION SELL
DAY 229 | PRICE $36359.23 | ACTION BUY
DAY 230 | PRICE $36172.26 | ACTION BUY
DAY 234 | PRICE $39910.55 | ACTION BUY
DAY 236 | PRICE $38416.85 | ACTION SELL
DAY 237 | PRICE $38662.17 | ACTION BUY
DAY 240 | PRICE $37988.99 | ACTION BUY
DAY 243 | PRICE $38927.16 | ACTION LIQUIDATE
DAY 243 | PRICE $38927.16 | ACTION LIQUIDATE
DAY 243 | PRICE $38927.16 | ACTION LIQUIDATE
DAY 243 | PRICE $38927.16 | ACTION LIQUIDATE
Initial Cash: $185425.50
Total Profit: $6149.87
Final Cash:  $191575.37
Price Change: $23837.72 → $38927.16 (63.30%)
