Evaluation of japan_ni_ours_fold3 with a2c agent and var indicator
Namespace(stock='japan_ni_ours_fold3', window=30, episodes=10, agent='a2c', lr=0.001, cash=10, normalizer=1, indicator='var', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 9 | PRICE $18339.27 | ACTION BUY
DAY 10 | PRICE $16358.19 | ACTION BUY
DAY 11 | PRICE $18832.21 | ACTION SELL
DAY 13 | PRICE $19235.96 | ACTION SELL
DAY 30 | PRICE $22948.89 | ACTION BUY
DAY 31 | PRICE $23225.39 | ACTION SELL
DAY 32 | PRICE $23047.77 | ACTION BUY
DAY 34 | PRICE $23351.35 | ACTION BUY
DAY 36 | PRICE $22951.41 | ACTION BUY
DAY 38 | PRICE $23382.67 | ACTION SELL
DAY 39 | PRICE $23469.13 | ACTION SELL
DAY 40 | PRICE $22948.47 | ACTION SELL
DAY 41 | PRICE $24541.28 | ACTION BUY
DAY 43 | PRICE $25901.45 | ACTION SELL
DAY 48 | PRICE $26921.14 | ACTION BUY
DAY 49 | PRICE $27340.46 | ACTION SELL
DAY 50 | PRICE $28477.03 | ACTION BUY
DAY 51 | PRICE $28527.16 | ACTION BUY
DAY 52 | PRICE $27629.80 | ACTION BUY
DAY 53 | PRICE $28548.27 | ACTION BUY
DAY 54 | PRICE $29662.41 | ACTION BUY
DAY 56 | PRICE $29314.82 | ACTION SELL
DAY 58 | PRICE $29755.47 | ACTION BUY
DAY 59 | PRICE $28995.92 | ACTION SELL
DAY 61 | PRICE $29665.86 | ACTION SELL
DAY 62 | PRICE $29573.79 | ACTION BUY
DAY 64 | PRICE $28990.19 | ACTION BUY
DAY 65 | PRICE $29346.14 | ACTION SELL
DAY 67 | PRICE $28212.32 | ACTION SELL
DAY 68 | PRICE $28791.60 | ACTION BUY
DAY 69 | PRICE $28973.05 | ACTION BUY
DAY 70 | PRICE $29026.27 | ACTION SELL
DAY 73 | PRICE $28581.08 | ACTION SELL
DAY 75 | PRICE $27493.63 | ACTION SELL
DAY 76 | PRICE $27466.99 | ACTION SELL
DAY 77 | PRICE $27488.74 | ACTION BUY
DAY 78 | PRICE $28006.31 | ACTION BUY
DAY 80 | PRICE $27684.50 | ACTION SELL
DAY 81 | PRICE $28412.91 | ACTION SELL
DAY 82 | PRICE $29909.92 | ACTION BUY
DAY 84 | PRICE $30197.40 | ACTION SELL
DAY 86 | PRICE $27893.32 | ACTION BUY
DAY 87 | PRICE $28924.40 | ACTION SELL
DAY 88 | PRICE $28472.55 | ACTION BUY
DAY 90 | PRICE $29240.31 | ACTION BUY
DAY 91 | PRICE $29681.25 | ACTION SELL
DAY 92 | PRICE $29212.93 | ACTION BUY
DAY 94 | PRICE $28621.47 | ACTION BUY
DAY 96 | PRICE $28473.85 | ACTION BUY
DAY 101 | PRICE $26541.65 | ACTION BUY
DAY 110 | PRICE $26801.79 | ACTION SELL
DAY 111 | PRICE $26890.68 | ACTION BUY
DAY 116 | PRICE $26578.03 | ACTION SELL
DAY 117 | PRICE $27295.42 | ACTION SELL
DAY 118 | PRICE $28089.78 | ACTION BUY
DAY 119 | PRICE $26321.68 | ACTION SELL
DAY 120 | PRICE $26149.17 | ACTION BUY
DAY 121 | PRICE $26687.47 | ACTION SELL
DAY 122 | PRICE $26051.19 | ACTION SELL
DAY 123 | PRICE $26389.10 | ACTION BUY
DAY 124 | PRICE $27549.56 | ACTION SELL
DAY 125 | PRICE $27651.99 | ACTION BUY
DAY 126 | PRICE $27870.05 | ACTION SELL
DAY 127 | PRICE $28207.86 | ACTION SELL
DAY 128 | PRICE $28913.05 | ACTION SELL
DAY 130 | PRICE $27570.74 | ACTION BUY
DAY 131 | PRICE $28091.38 | ACTION SELL
DAY 132 | PRICE $27525.68 | ACTION SELL
DAY 134 | PRICE $26633.52 | ACTION BUY
DAY 135 | PRICE $26313.41 | ACTION BUY
DAY 138 | PRICE $27546.88 | ACTION SELL
DAY 140 | PRICE $27910.01 | ACTION BUY
DAY 141 | PRICE $28263.60 | ACTION SELL
DAY 142 | PRICE $27662.12 | ACTION BUY
DAY 143 | PRICE $27633.96 | ACTION SELL
DAY 144 | PRICE $27488.83 | ACTION SELL
DAY 145 | PRICE $26106.38 | ACTION BUY
DAY 147 | PRICE $26332.05 | ACTION BUY
DAY 148 | PRICE $26211.84 | ACTION BUY
DAY 149 | PRICE $27175.88 | ACTION SELL
DAY 150 | PRICE $27322.79 | ACTION SELL
DAY 151 | PRICE $27458.53 | ACTION SELL
DAY 154 | PRICE $27408.54 | ACTION BUY
DAY 155 | PRICE $28558.88 | ACTION SELL
DAY 157 | PRICE $27257.44 | ACTION BUY
DAY 159 | PRICE $27456.25 | ACTION SELL
DAY 161 | PRICE $28527.80 | ACTION BUY
DAY 162 | PRICE $28499.51 | ACTION SELL
DAY 167 | PRICE $31913.74 | ACTION BUY
DAY 168 | PRICE $33203.95 | ACTION SELL
DAY 170 | PRICE $32642.87 | ACTION BUY
DAY 172 | PRICE $31791.71 | ACTION SELL
DAY 174 | PRICE $32503.69 | ACTION BUY
DAY 175 | PRICE $32142.25 | ACTION BUY
DAY 176 | PRICE $32015.96 | ACTION SELL
DAY 177 | PRICE $31275.25 | ACTION BUY
DAY 179 | PRICE $32499.44 | ACTION SELL
DAY 182 | PRICE $32388.28 | ACTION SELL
DAY 189 | PRICE $33096.93 | ACTION BUY
DAY 190 | PRICE $33182.99 | ACTION BUY
DAY 191 | PRICE $33161.07 | ACTION SELL
DAY 193 | PRICE $32515.04 | ACTION BUY
DAY 194 | PRICE $33097.79 | ACTION SELL
DAY 195 | PRICE $33411.24 | ACTION BUY
DAY 197 | PRICE $35476.52 | ACTION SELL
DAY 198 | PRICE $36104.89 | ACTION SELL
DAY 201 | PRICE $37935.36 | ACTION BUY
DAY 202 | PRICE $38508.07 | ACTION SELL
DAY 204 | PRICE $39551.60 | ACTION BUY
DAY 205 | PRICE $38519.94 | ACTION SELL
DAY 209 | PRICE $38820.95 | ACTION BUY
DAY 212 | PRICE $38072.24 | ACTION BUY
DAY 213 | PRICE $38513.33 | ACTION SELL
DAY 215 | PRICE $37617.00 | ACTION SELL
DAY 225 | PRICE $34445.57 | ACTION BUY
DAY 228 | PRICE $38476.51 | ACTION BUY
DAY 231 | PRICE $37868.84 | ACTION BUY
DAY 232 | PRICE $37651.07 | ACTION SELL
DAY 235 | PRICE $37712.19 | ACTION BUY
DAY 236 | PRICE $38832.21 | ACTION BUY
DAY 238 | PRICE $38642.91 | ACTION SELL
DAY 239 | PRICE $38085.13 | ACTION BUY
DAY 240 | PRICE $37986.97 | ACTION SELL
DAY 242 | PRICE $39247.41 | ACTION BUY
DAY 243 | PRICE $38701.90 | ACTION SELL
DAY 243 | PRICE $39669.39 | ACTION LIQUIDATE
DAY 243 | PRICE $39669.39 | ACTION LIQUIDATE
DAY 243 | PRICE $39669.39 | ACTION LIQUIDATE
Initial Cash: $181934.10
Total Profit: $21440.77
Final Cash:  $203374.87
Price Change: $23148.53 → $39669.39 (71.37%)
