Evaluation of japan_ni_ours_fold4 with a2c agent and sharpe indicator
Namespace(stock='japan_ni_ours_fold4', window=30, episodes=10, agent='a2c', lr=0.001, cash=10, normalizer=1, indicator='sharpe', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 5 | PRICE $23784.31 | ACTION BUY
DAY 7 | PRICE $20916.40 | ACTION BUY
DAY 8 | PRICE $20613.91 | ACTION BUY
DAY 9 | PRICE $16690.60 | ACTION SELL
DAY 10 | PRICE $16480.95 | ACTION BUY
DAY 11 | PRICE $18578.20 | ACTION SELL
DAY 12 | PRICE $17802.62 | ACTION BUY
DAY 13 | PRICE $19014.32 | ACTION SELL
DAY 15 | PRICE $19410.18 | ACTION SELL
DAY 16 | PRICE $19894.58 | ACTION SELL
DAY 17 | PRICE $19832.88 | ACTION BUY
DAY 18 | PRICE $20334.99 | ACTION SELL
DAY 20 | PRICE $22563.56 | ACTION BUY
DAY 21 | PRICE $21786.93 | ACTION BUY
DAY 22 | PRICE $22352.16 | ACTION SELL
DAY 23 | PRICE $22408.27 | ACTION SELL
DAY 24 | PRICE $22154.97 | ACTION BUY
DAY 25 | PRICE $22285.07 | ACTION BUY
DAY 26 | PRICE $22643.52 | ACTION SELL
DAY 27 | PRICE $22646.22 | ACTION SELL
DAY 35 | PRICE $23154.66 | ACTION BUY
DAY 36 | PRICE $23252.69 | ACTION SELL
DAY 41 | PRICE $24833.18 | ACTION BUY
DAY 42 | PRICE $25851.54 | ACTION BUY
DAY 43 | PRICE $26258.35 | ACTION SELL
DAY 44 | PRICE $26695.28 | ACTION SELL
DAY 46 | PRICE $26717.03 | ACTION BUY
DAY 50 | PRICE $28111.54 | ACTION SELL
DAY 56 | PRICE $29336.60 | ACTION BUY
DAY 57 | PRICE $28960.09 | ACTION SELL
DAY 59 | PRICE $28379.06 | ACTION BUY
DAY 60 | PRICE $29165.52 | ACTION SELL
DAY 67 | PRICE $28443.74 | ACTION BUY
DAY 68 | PRICE $28611.25 | ACTION SELL
DAY 75 | PRICE $27330.15 | ACTION BUY
DAY 76 | PRICE $27663.41 | ACTION BUY
DAY 77 | PRICE $27526.67 | ACTION SELL
DAY 78 | PRICE $27949.33 | ACTION SELL
DAY 81 | PRICE $28607.87 | ACTION BUY
DAY 82 | PRICE $30064.02 | ACTION SELL
DAY 84 | PRICE $30001.99 | ACTION BUY
DAY 85 | PRICE $27460.29 | ACTION SELL
DAY 87 | PRICE $29075.37 | ACTION BUY
DAY 88 | PRICE $28893.95 | ACTION SELL
DAY 90 | PRICE $29079.77 | ACTION BUY
DAY 91 | PRICE $29623.79 | ACTION SELL
DAY 96 | PRICE $28640.15 | ACTION BUY
DAY 97 | PRICE $28579.49 | ACTION BUY
DAY 98 | PRICE $28089.49 | ACTION SELL
DAY 99 | PRICE $28129.66 | ACTION SELL
DAY 100 | PRICE $26890.94 | ACTION BUY
DAY 101 | PRICE $27016.71 | ACTION BUY
DAY 102 | PRICE $27280.25 | ACTION SELL
DAY 104 | PRICE $25775.64 | ACTION BUY
DAY 106 | PRICE $25099.85 | ACTION SELL
DAY 107 | PRICE $26152.89 | ACTION SELL
DAY 111 | PRICE $26784.92 | ACTION BUY
DAY 113 | PRICE $26610.86 | ACTION BUY
DAY 115 | PRICE $26150.09 | ACTION BUY
DAY 116 | PRICE $26604.84 | ACTION SELL
DAY 117 | PRICE $27251.24 | ACTION SELL
DAY 119 | PRICE $26431.20 | ACTION SELL
DAY 134 | PRICE $27030.55 | ACTION BUY
DAY 135 | PRICE $26237.42 | ACTION SELL
DAY 138 | PRICE $27032.02 | ACTION BUY
DAY 139 | PRICE $27837.09 | ACTION SELL
DAY 153 | PRICE $27128.32 | ACTION BUY
DAY 154 | PRICE $27655.34 | ACTION SELL
DAY 164 | PRICE $30381.90 | ACTION BUY
DAY 166 | PRICE $30853.44 | ACTION SELL
DAY 168 | PRICE $33386.01 | ACTION BUY
DAY 170 | PRICE $33185.20 | ACTION SELL
DAY 171 | PRICE $32637.72 | ACTION BUY
DAY 172 | PRICE $31952.98 | ACTION SELL
DAY 175 | PRICE $31934.35 | ACTION BUY
DAY 176 | PRICE $32031.54 | ACTION BUY
DAY 177 | PRICE $31409.86 | ACTION SELL
DAY 178 | PRICE $31881.93 | ACTION BUY
DAY 180 | PRICE $32391.69 | ACTION SELL
DAY 181 | PRICE $33128.86 | ACTION SELL
DAY 182 | PRICE $32315.05 | ACTION BUY
DAY 183 | PRICE $31157.40 | ACTION SELL
DAY 189 | PRICE $33233.84 | ACTION BUY
DAY 190 | PRICE $33622.57 | ACTION SELL
DAY 193 | PRICE $32732.66 | ACTION BUY
DAY 194 | PRICE $33151.70 | ACTION SELL
DAY 195 | PRICE $33305.17 | ACTION BUY
DAY 196 | PRICE $34849.57 | ACTION SELL
DAY 203 | PRICE $40001.55 | ACTION BUY
DAY 206 | PRICE $40280.85 | ACTION SELL
DAY 210 | PRICE $37397.27 | ACTION BUY
DAY 211 | PRICE $38036.24 | ACTION SELL
DAY 221 | PRICE $41188.29 | ACTION BUY
DAY 222 | PRICE $39519.39 | ACTION BUY
DAY 223 | PRICE $38010.01 | ACTION SELL
DAY 225 | PRICE $35476.79 | ACTION SELL
DAY 234 | PRICE $38893.52 | ACTION BUY
DAY 235 | PRICE $37713.00 | ACTION BUY
DAY 236 | PRICE $37946.66 | ACTION SELL
DAY 237 | PRICE $39315.61 | ACTION SELL
DAY 239 | PRICE $38672.17 | ACTION BUY
DAY 240 | PRICE $37958.55 | ACTION SELL
DAY 242 | PRICE $39371.42 | ACTION BUY
DAY 243 | PRICE $38847.13 | ACTION SELL
Initial Cash: $188509.20
Total Profit: -$6042.25
Final Cash:  $182466.95
Price Change: $23299.92 → $39864.46 (71.09%)
