Evaluation of kosdaq_ours_fold2 with a2c agent and kelly indicator
Namespace(stock='kosdaq_ours_fold2', window=30, episodes=10, agent='a2c', lr=0.001, cash=10, normalizer=1, indicator='kelly', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 2 | PRICE $435.81 | ACTION BUY
DAY 3 | PRICE $511.47 | ACTION SELL
DAY 4 | PRICE $577.83 | ACTION BUY
DAY 5 | PRICE $596.71 | ACTION BUY
DAY 7 | PRICE $638.69 | ACTION SELL
DAY 8 | PRICE $673.52 | ACTION SELL
DAY 15 | PRICE $742.57 | ACTION BUY
DAY 16 | PRICE $741.11 | ACTION SELL
DAY 20 | PRICE $814.23 | ACTION BUY
DAY 22 | PRICE $831.15 | ACTION BUY
DAY 23 | PRICE $787.93 | ACTION SELL
DAY 25 | PRICE $864.39 | ACTION BUY
DAY 26 | PRICE $886.48 | ACTION SELL
DAY 28 | PRICE $819.86 | ACTION BUY
DAY 31 | PRICE $804.75 | ACTION BUY
DAY 33 | PRICE $832.27 | ACTION BUY
DAY 35 | PRICE $861.29 | ACTION SELL
DAY 36 | PRICE $875.45 | ACTION BUY
DAY 37 | PRICE $908.24 | ACTION BUY
DAY 38 | PRICE $923.39 | ACTION BUY
DAY 39 | PRICE $942.46 | ACTION SELL
DAY 40 | PRICE $923.96 | ACTION BUY
DAY 41 | PRICE $977.37 | ACTION BUY
DAY 42 | PRICE $972.10 | ACTION SELL
DAY 43 | PRICE $959.52 | ACTION SELL
DAY 45 | PRICE $958.47 | ACTION SELL
DAY 46 | PRICE $951.21 | ACTION SELL
DAY 48 | PRICE $904.18 | ACTION SELL
DAY 49 | PRICE $904.62 | ACTION SELL
DAY 50 | PRICE $921.71 | ACTION SELL
DAY 52 | PRICE $952.22 | ACTION BUY
DAY 55 | PRICE $1020.58 | ACTION SELL
DAY 58 | PRICE $974.10 | ACTION BUY
DAY 59 | PRICE $959.98 | ACTION BUY
DAY 61 | PRICE $977.74 | ACTION SELL
DAY 63 | PRICE $995.35 | ACTION SELL
DAY 70 | PRICE $1035.98 | ACTION BUY
DAY 72 | PRICE $991.13 | ACTION BUY
DAY 74 | PRICE $1042.36 | ACTION BUY
DAY 77 | PRICE $1012.51 | ACTION BUY
DAY 78 | PRICE $922.36 | ACTION SELL
DAY 81 | PRICE $999.59 | ACTION SELL
DAY 82 | PRICE $995.73 | ACTION BUY
DAY 85 | PRICE $1015.62 | ACTION BUY
DAY 87 | PRICE $1009.29 | ACTION BUY
DAY 88 | PRICE $1006.90 | ACTION SELL
DAY 90 | PRICE $1021.59 | ACTION SELL
DAY 92 | PRICE $967.19 | ACTION BUY
DAY 93 | PRICE $937.48 | ACTION SELL
DAY 94 | PRICE $835.55 | ACTION BUY
DAY 95 | PRICE $900.86 | ACTION SELL
DAY 96 | PRICE $857.54 | ACTION SELL
DAY 97 | PRICE $870.25 | ACTION SELL
DAY 98 | PRICE $899.85 | ACTION BUY
DAY 99 | PRICE $887.28 | ACTION SELL
DAY 101 | PRICE $933.09 | ACTION SELL
DAY 103 | PRICE $924.73 | ACTION BUY
DAY 104 | PRICE $916.91 | ACTION BUY
DAY 105 | PRICE $916.65 | ACTION BUY
DAY 106 | PRICE $894.62 | ACTION SELL
DAY 108 | PRICE $855.45 | ACTION BUY
DAY 109 | PRICE $878.90 | ACTION SELL
DAY 110 | PRICE $881.46 | ACTION SELL
DAY 111 | PRICE $873.61 | ACTION SELL
DAY 113 | PRICE $746.94 | ACTION BUY
DAY 115 | PRICE $743.61 | ACTION BUY
DAY 116 | PRICE $747.74 | ACTION SELL
DAY 117 | PRICE $788.02 | ACTION SELL
DAY 118 | PRICE $788.29 | ACTION BUY
DAY 120 | PRICE $820.27 | ACTION BUY
DAY 122 | PRICE $794.16 | ACTION BUY
DAY 124 | PRICE $775.31 | ACTION BUY
DAY 126 | PRICE $690.60 | ACTION SELL
DAY 127 | PRICE $683.63 | ACTION SELL
