Evaluation of kosdaq_ours_fold2 with a2c agent and var indicator
Namespace(stock='kosdaq_ours_fold2', window=30, episodes=10, agent='a2c', lr=0.001, cash=10, normalizer=1, indicator='var', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $614.58 | ACTION BUY
DAY 1 | PRICE $504.51 | ACTION SELL
DAY 4 | PRICE $577.83 | ACTION BUY
DAY 5 | PRICE $596.71 | ACTION BUY
DAY 7 | PRICE $638.69 | ACTION BUY
DAY 8 | PRICE $673.52 | ACTION BUY
DAY 12 | PRICE $739.52 | ACTION SELL
DAY 15 | PRICE $742.57 | ACTION SELL
DAY 16 | PRICE $741.11 | ACTION BUY
DAY 18 | PRICE $775.78 | ACTION BUY
DAY 22 | PRICE $831.15 | ACTION BUY
DAY 23 | PRICE $787.93 | ACTION BUY
DAY 25 | PRICE $864.39 | ACTION SELL
DAY 28 | PRICE $819.86 | ACTION SELL
DAY 30 | PRICE $822.58 | ACTION SELL
DAY 31 | PRICE $804.75 | ACTION BUY
DAY 34 | PRICE $826.17 | ACTION BUY
DAY 35 | PRICE $861.29 | ACTION BUY
DAY 36 | PRICE $875.45 | ACTION BUY
DAY 38 | PRICE $923.39 | ACTION BUY
DAY 40 | PRICE $923.96 | ACTION SELL
DAY 43 | PRICE $959.52 | ACTION BUY
DAY 45 | PRICE $958.47 | ACTION SELL
DAY 46 | PRICE $951.21 | ACTION SELL
DAY 48 | PRICE $904.18 | ACTION BUY
DAY 51 | PRICE $948.77 | ACTION SELL
DAY 52 | PRICE $952.22 | ACTION BUY
DAY 53 | PRICE $966.52 | ACTION SELL
DAY 54 | PRICE $990.32 | ACTION BUY
DAY 59 | PRICE $959.98 | ACTION SELL
DAY 60 | PRICE $962.69 | ACTION SELL
DAY 61 | PRICE $977.74 | ACTION BUY
DAY 63 | PRICE $995.35 | ACTION BUY
DAY 64 | PRICE $1012.78 | ACTION SELL
DAY 65 | PRICE $1023.74 | ACTION BUY
DAY 68 | PRICE $1041.44 | ACTION SELL
DAY 69 | PRICE $1030.04 | ACTION BUY
DAY 73 | PRICE $1015.91 | ACTION SELL
DAY 74 | PRICE $1042.36 | ACTION BUY
DAY 90 | PRICE $1021.59 | ACTION SELL
DAY 92 | PRICE $967.19 | ACTION BUY
DAY 93 | PRICE $937.48 | ACTION BUY
DAY 97 | PRICE $870.25 | ACTION SELL
DAY 98 | PRICE $899.85 | ACTION SELL
DAY 99 | PRICE $887.28 | ACTION BUY
