Evaluation of kosdaq_ours_fold3 with a2c agent and cvar indicator
Namespace(stock='kosdaq_ours_fold3', window=30, episodes=10, agent='a2c', lr=0.001, cash=10, normalizer=1, indicator='cvar', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $604.51 | ACTION BUY
DAY 2 | PRICE $454.24 | ACTION BUY
DAY 3 | PRICE $551.25 | ACTION BUY
DAY 4 | PRICE $593.22 | ACTION BUY
DAY 5 | PRICE $602.05 | ACTION BUY
DAY 8 | PRICE $676.60 | ACTION BUY
DAY 11 | PRICE $716.83 | ACTION BUY
DAY 12 | PRICE $747.37 | ACTION BUY
DAY 13 | PRICE $693.15 | ACTION BUY
DAY 21 | PRICE $854.48 | ACTION SELL
DAY 23 | PRICE $820.02 | ACTION BUY
DAY 49 | PRICE $877.73 | ACTION SELL
DAY 50 | PRICE $928.17 | ACTION BUY
DAY 87 | PRICE $1010.02 | ACTION SELL
DAY 88 | PRICE $995.93 | ACTION BUY
DAY 94 | PRICE $887.02 | ACTION SELL
DAY 95 | PRICE $893.21 | ACTION SELL
DAY 96 | PRICE $858.78 | ACTION BUY
DAY 98 | PRICE $896.84 | ACTION BUY
DAY 103 | PRICE $920.75 | ACTION SELL
DAY 107 | PRICE $831.59 | ACTION BUY
DAY 108 | PRICE $856.30 | ACTION SELL
DAY 109 | PRICE $865.05 | ACTION BUY
DAY 149 | PRICE $773.65 | ACTION SELL
DAY 152 | PRICE $856.15 | ACTION BUY
DAY 225 | PRICE $763.20 | ACTION SELL
DAY 226 | PRICE $765.27 | ACTION BUY
DAY 235 | PRICE $671.09 | ACTION LIQUIDATE
DAY 235 | PRICE $671.09 | ACTION LIQUIDATE
DAY 235 | PRICE $671.09 | ACTION LIQUIDATE
DAY 235 | PRICE $671.09 | ACTION LIQUIDATE
DAY 235 | PRICE $671.09 | ACTION LIQUIDATE
DAY 235 | PRICE $671.09 | ACTION LIQUIDATE
DAY 235 | PRICE $671.09 | ACTION LIQUIDATE
DAY 235 | PRICE $671.09 | ACTION LIQUIDATE
DAY 235 | PRICE $671.09 | ACTION LIQUIDATE
Initial Cash: $6025.00
Total Profit: $419.15
Final Cash:  $6444.15
Price Change: $604.51 → $671.09 (11.01%)
