Evaluation of kosdaq_ours_fold5 with a2c agent and sharpe indicator
Namespace(stock='kosdaq_ours_fold5', window=30, episodes=10, agent='a2c', lr=0.001, cash=10, normalizer=1, indicator='sharpe', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 1 | PRICE $419.55 | ACTION BUY
DAY 2 | PRICE $501.82 | ACTION BUY
DAY 3 | PRICE $542.75 | ACTION SELL
DAY 4 | PRICE $610.66 | ACTION BUY
DAY 5 | PRICE $628.05 | ACTION SELL
DAY 6 | PRICE $629.12 | ACTION SELL
DAY 7 | PRICE $647.52 | ACTION BUY
DAY 8 | PRICE $676.24 | ACTION SELL
DAY 16 | PRICE $758.38 | ACTION BUY
DAY 17 | PRICE $775.96 | ACTION BUY
DAY 18 | PRICE $785.97 | ACTION BUY
DAY 19 | PRICE $804.29 | ACTION BUY
DAY 20 | PRICE $837.11 | ACTION BUY
DAY 22 | PRICE $785.00 | ACTION BUY
DAY 24 | PRICE $869.84 | ACTION BUY
DAY 26 | PRICE $883.50 | ACTION BUY
DAY 27 | PRICE $804.28 | ACTION SELL
DAY 28 | PRICE $855.65 | ACTION BUY
DAY 30 | PRICE $819.66 | ACTION SELL
DAY 31 | PRICE $784.88 | ACTION BUY
DAY 33 | PRICE $829.53 | ACTION SELL
DAY 34 | PRICE $840.43 | ACTION SELL
DAY 36 | PRICE $891.61 | ACTION SELL
DAY 37 | PRICE $904.45 | ACTION BUY
DAY 38 | PRICE $932.41 | ACTION BUY
DAY 39 | PRICE $918.44 | ACTION SELL
DAY 40 | PRICE $960.52 | ACTION SELL
DAY 41 | PRICE $953.36 | ACTION BUY
DAY 44 | PRICE $918.92 | ACTION SELL
DAY 45 | PRICE $956.93 | ACTION BUY
DAY 46 | PRICE $970.55 | ACTION BUY
DAY 47 | PRICE $906.31 | ACTION BUY
