Evaluation of kospi_ours_fold2 with a2c agent and sharpe indicator
Namespace(stock='kospi_ours_fold2', window=30, episodes=10, agent='a2c', lr=0.001, cash=10, normalizer=1, indicator='sharpe', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 2 | PRICE $2225.41 | ACTION BUY
DAY 3 | PRICE $2241.94 | ACTION BUY
DAY 4 | PRICE $2082.74 | ACTION SELL
DAY 6 | PRICE $2230.26 | ACTION SELL
DAY 10 | PRICE $1714.38 | ACTION BUY
DAY 11 | PRICE $1458.41 | ACTION SELL
DAY 18 | PRICE $1913.21 | ACTION BUY
DAY 21 | PRICE $2138.18 | ACTION SELL
DAY 23 | PRICE $2108.91 | ACTION BUY
DAY 24 | PRICE $2115.25 | ACTION BUY
DAY 25 | PRICE $2135.30 | ACTION BUY
DAY 26 | PRICE $2140.29 | ACTION SELL
DAY 28 | PRICE $2195.49 | ACTION SELL
DAY 29 | PRICE $2248.49 | ACTION SELL
DAY 32 | PRICE $2283.48 | ACTION BUY
DAY 33 | PRICE $2326.06 | ACTION SELL
DAY 38 | PRICE $2383.82 | ACTION BUY
DAY 40 | PRICE $2344.49 | ACTION SELL
DAY 43 | PRICE $2460.96 | ACTION BUY
DAY 44 | PRICE $2539.79 | ACTION SELL
DAY 49 | PRICE $2799.56 | ACTION BUY
DAY 50 | PRICE $2961.37 | ACTION SELL
DAY 56 | PRICE $3040.28 | ACTION BUY
DAY 57 | PRICE $2988.28 | ACTION SELL
DAY 63 | PRICE $3127.91 | ACTION BUY
DAY 64 | PRICE $3193.40 | ACTION SELL
DAY 65 | PRICE $3191.34 | ACTION BUY
DAY 66 | PRICE $3120.70 | ACTION SELL
DAY 68 | PRICE $3135.38 | ACTION BUY
DAY 69 | PRICE $3160.30 | ACTION SELL
DAY 82 | PRICE $3121.04 | ACTION BUY
DAY 83 | PRICE $3171.78 | ACTION SELL
DAY 85 | PRICE $3126.65 | ACTION BUY
DAY 86 | PRICE $3095.72 | ACTION SELL
DAY 94 | PRICE $2973.24 | ACTION BUY
DAY 95 | PRICE $2874.64 | ACTION SELL
DAY 102 | PRICE $2817.11 | ACTION BUY
DAY 103 | PRICE $2591.53 | ACTION BUY
DAY 104 | PRICE $2753.51 | ACTION SELL
DAY 105 | PRICE $2711.34 | ACTION SELL
DAY 123 | PRICE $2375.45 | ACTION BUY
DAY 124 | PRICE $2290.33 | ACTION SELL
DAY 127 | PRICE $2396.19 | ACTION BUY
DAY 128 | PRICE $2433.12 | ACTION SELL
DAY 138 | PRICE $2234.59 | ACTION BUY
DAY 139 | PRICE $2234.49 | ACTION SELL
DAY 140 | PRICE $2323.37 | ACTION BUY
DAY 141 | PRICE $2403.64 | ACTION SELL
DAY 142 | PRICE $2446.79 | ACTION BUY
DAY 143 | PRICE $2407.58 | ACTION SELL
DAY 152 | PRICE $2446.59 | ACTION BUY
DAY 153 | PRICE $2438.04 | ACTION SELL
DAY 155 | PRICE $2430.27 | ACTION BUY
DAY 156 | PRICE $2383.76 | ACTION SELL
DAY 161 | PRICE $2472.79 | ACTION BUY
DAY 162 | PRICE $2514.42 | ACTION SELL
DAY 167 | PRICE $2500.01 | ACTION BUY
DAY 168 | PRICE $2551.49 | ACTION BUY
DAY 169 | PRICE $2583.88 | ACTION BUY
DAY 172 | PRICE $2562.03 | ACTION SELL
DAY 173 | PRICE $2580.49 | ACTION SELL
DAY 174 | PRICE $2517.67 | ACTION SELL
DAY 175 | PRICE $2611.55 | ACTION BUY
DAY 177 | PRICE $2622.21 | ACTION BUY
DAY 178 | PRICE $2580.71 | ACTION SELL
DAY 179 | PRICE $2561.88 | ACTION SELL
DAY 183 | PRICE $2535.15 | ACTION BUY
DAY 184 | PRICE $2555.46 | ACTION SELL
DAY 186 | PRICE $2402.44 | ACTION BUY
DAY 187 | PRICE $2449.42 | ACTION SELL
DAY 192 | PRICE $2500.91 | ACTION BUY
DAY 193 | PRICE $2502.26 | ACTION BUY
DAY 194 | PRICE $2492.55 | ACTION SELL
DAY 195 | PRICE $2529.74 | ACTION SELL
DAY 210 | PRICE $2706.97 | ACTION BUY
DAY 211 | PRICE $2661.92 | ACTION SELL
DAY 212 | PRICE $2593.26 | ACTION BUY
DAY 213 | PRICE $2628.62 | ACTION SELL
DAY 217 | PRICE $2693.66 | ACTION BUY
DAY 218 | PRICE $2657.81 | ACTION SELL
DAY 231 | PRICE $2578.07 | ACTION BUY
DAY 232 | PRICE $2493.37 | ACTION SELL
DAY 233 | PRICE $2588.49 | ACTION BUY
DAY 234 | PRICE $2593.27 | ACTION SELL
DAY 235 | PRICE $2596.86 | ACTION BUY
DAY 238 | PRICE $2552.36 | ACTION SELL
Initial Cash: $9535.00
Total Profit: $57.97
Final Cash:  $9592.97
Price Change: $2171.84 → $2388.33 (9.97%)
