Evaluation of kospi_ours_fold3 with a2c agent and var indicator
Namespace(stock='kospi_ours_fold3', window=30, episodes=10, agent='a2c', lr=0.001, cash=10, normalizer=1, indicator='var', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 1 | PRICE $2188.10 | ACTION BUY
DAY 2 | PRICE $2245.58 | ACTION SELL
DAY 8 | PRICE $2009.39 | ACTION BUY
DAY 9 | PRICE $1934.72 | ACTION BUY
DAY 10 | PRICE $1637.88 | ACTION BUY
DAY 15 | PRICE $1844.85 | ACTION SELL
DAY 16 | PRICE $1934.31 | ACTION BUY
DAY 17 | PRICE $1932.87 | ACTION SELL
DAY 19 | PRICE $1967.84 | ACTION SELL
DAY 21 | PRICE $2174.96 | ACTION SELL
DAY 26 | PRICE $2163.07 | ACTION BUY
DAY 27 | PRICE $2183.83 | ACTION BUY
DAY 28 | PRICE $2203.48 | ACTION SELL
DAY 29 | PRICE $2237.04 | ACTION SELL
DAY 31 | PRICE $2336.78 | ACTION BUY
DAY 32 | PRICE $2340.97 | ACTION SELL
DAY 33 | PRICE $2331.23 | ACTION BUY
DAY 34 | PRICE $2391.43 | ACTION SELL
DAY 45 | PRICE $2591.34 | ACTION BUY
DAY 48 | PRICE $2747.09 | ACTION SELL
DAY 49 | PRICE $2792.06 | ACTION BUY
DAY 50 | PRICE $2980.75 | ACTION BUY
DAY 51 | PRICE $3128.72 | ACTION SELL
DAY 53 | PRICE $3046.64 | ACTION SELL
DAY 54 | PRICE $3068.46 | ACTION BUY
DAY 57 | PRICE $3020.74 | ACTION SELL
DAY 63 | PRICE $3136.99 | ACTION BUY
DAY 65 | PRICE $3203.25 | ACTION BUY
DAY 66 | PRICE $3109.78 | ACTION BUY
DAY 68 | PRICE $3140.48 | ACTION SELL
DAY 69 | PRICE $3142.37 | ACTION SELL
DAY 70 | PRICE $3224.96 | ACTION BUY
DAY 73 | PRICE $3277.85 | ACTION BUY
DAY 74 | PRICE $3278.10 | ACTION SELL
DAY 76 | PRICE $3263.09 | ACTION BUY
DAY 77 | PRICE $3235.17 | ACTION SELL
DAY 79 | PRICE $3273.33 | ACTION SELL
DAY 80 | PRICE $3202.11 | ACTION SELL
DAY 83 | PRICE $3181.64 | ACTION BUY
DAY 84 | PRICE $3103.38 | ACTION SELL
DAY 86 | PRICE $3030.60 | ACTION BUY
DAY 87 | PRICE $2927.60 | ACTION SELL
DAY 93 | PRICE $2948.07 | ACTION BUY
DAY 94 | PRICE $2930.31 | ACTION SELL
DAY 97 | PRICE $2984.19 | ACTION BUY
DAY 98 | PRICE $3009.48 | ACTION SELL
DAY 100 | PRICE $2910.90 | ACTION BUY
DAY 101 | PRICE $2875.98 | ACTION SELL
DAY 103 | PRICE $2702.78 | ACTION BUY
DAY 104 | PRICE $2761.76 | ACTION BUY
DAY 105 | PRICE $2711.99 | ACTION BUY
DAY 106 | PRICE $2642.63 | ACTION SELL
DAY 107 | PRICE $2702.34 | ACTION SELL
DAY 109 | PRICE $2683.69 | ACTION BUY
DAY 110 | PRICE $2707.74 | ACTION SELL
DAY 114 | PRICE $2657.04 | ACTION SELL
DAY 130 | PRICE $2492.69 | ACTION BUY
DAY 131 | PRICE $2476.75 | ACTION SELL
DAY 132 | PRICE $2402.67 | ACTION BUY
DAY 133 | PRICE $2418.59 | ACTION SELL
DAY 134 | PRICE $2359.84 | ACTION BUY
DAY 135 | PRICE $2197.90 | ACTION SELL
DAY 137 | PRICE $2162.87 | ACTION BUY
DAY 138 | PRICE $2200.44 | ACTION SELL
DAY 140 | PRICE $2296.44 | ACTION BUY
DAY 142 | PRICE $2442.90 | ACTION SELL
DAY 149 | PRICE $2253.27 | ACTION BUY
DAY 152 | PRICE $2423.37 | ACTION SELL
DAY 154 | PRICE $2459.83 | ACTION BUY
DAY 156 | PRICE $2407.29 | ACTION BUY
DAY 158 | PRICE $2370.77 | ACTION BUY
DAY 159 | PRICE $2402.78 | ACTION SELL
DAY 162 | PRICE $2536.23 | ACTION SELL
DAY 164 | PRICE $2481.38 | ACTION SELL
DAY 167 | PRICE $2524.89 | ACTION BUY
DAY 168 | PRICE $2553.79 | ACTION SELL
DAY 171 | PRICE $2596.82 | ACTION BUY
DAY 175 | PRICE $2600.67 | ACTION SELL
DAY 178 | PRICE $2568.15 | ACTION BUY
DAY 179 | PRICE $2520.87 | ACTION SELL
DAY 188 | PRICE $2362.69 | ACTION BUY
DAY 189 | PRICE $2288.64 | ACTION SELL
DAY 193 | PRICE $2501.44 | ACTION BUY
DAY 194 | PRICE $2495.38 | ACTION SELL
DAY 229 | PRICE $2690.35 | ACTION BUY
DAY 230 | PRICE $2649.56 | ACTION BUY
DAY 232 | PRICE $2537.87 | ACTION SELL
DAY 233 | PRICE $2597.81 | ACTION SELL
DAY 244 | PRICE $2470.24 | ACTION BUY
DAY 245 | PRICE $2389.86 | ACTION BUY
DAY 245 | PRICE $2390.44 | ACTION LIQUIDATE
DAY 245 | PRICE $2390.44 | ACTION LIQUIDATE
Initial Cash: $9308.40
Total Profit: $823.39
Final Cash:  $10131.79
Price Change: $2165.39 → $2390.44 (10.39%)
