Evaluation of kospi_ours_fold4 with a2c agent and none indicator
Namespace(stock='kospi_ours_fold4', window=30, episodes=10, agent='a2c', lr=0.001, cash=10, normalizer=1, indicator='none', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 5 | PRICE $2154.88 | ACTION BUY
DAY 7 | PRICE $2191.20 | ACTION SELL
DAY 14 | PRICE $1801.80 | ACTION BUY
DAY 16 | PRICE $1895.98 | ACTION BUY
DAY 18 | PRICE $1905.17 | ACTION BUY
DAY 19 | PRICE $1968.59 | ACTION SELL
DAY 20 | PRICE $1997.94 | ACTION BUY
DAY 21 | PRICE $2059.14 | ACTION SELL
DAY 22 | PRICE $2166.01 | ACTION SELL
DAY 23 | PRICE $2079.02 | ACTION SELL
DAY 26 | PRICE $2164.03 | ACTION BUY
DAY 27 | PRICE $2165.60 | ACTION BUY
DAY 28 | PRICE $2214.28 | ACTION SELL
DAY 29 | PRICE $2237.21 | ACTION SELL
DAY 33 | PRICE $2336.98 | ACTION BUY
DAY 34 | PRICE $2341.29 | ACTION BUY
DAY 35 | PRICE $2369.12 | ACTION SELL
DAY 38 | PRICE $2327.83 | ACTION SELL
DAY 40 | PRICE $2322.06 | ACTION BUY
DAY 41 | PRICE $2321.23 | ACTION SELL
DAY 51 | PRICE $3040.11 | ACTION BUY
DAY 52 | PRICE $3085.90 | ACTION SELL
DAY 57 | PRICE $3035.46 | ACTION BUY
DAY 59 | PRICE $2951.53 | ACTION SELL
DAY 63 | PRICE $3125.33 | ACTION BUY
DAY 66 | PRICE $3176.55 | ACTION SELL
DAY 67 | PRICE $3133.64 | ACTION BUY
DAY 68 | PRICE $3103.88 | ACTION SELL
DAY 72 | PRICE $3226.98 | ACTION BUY
DAY 73 | PRICE $3262.58 | ACTION SELL
DAY 77 | PRICE $3259.32 | ACTION BUY
DAY 78 | PRICE $3246.09 | ACTION SELL
DAY 79 | PRICE $3202.32 | ACTION BUY
DAY 80 | PRICE $3261.93 | ACTION SELL
DAY 85 | PRICE $3109.01 | ACTION BUY
DAY 86 | PRICE $3107.98 | ACTION SELL
DAY 91 | PRICE $2976.87 | ACTION BUY
DAY 92 | PRICE $2930.90 | ACTION SELL
DAY 93 | PRICE $2979.96 | ACTION BUY
DAY 95 | PRICE $2890.78 | ACTION SELL
DAY 101 | PRICE $2909.82 | ACTION BUY
DAY 103 | PRICE $2703.99 | ACTION SELL
DAY 106 | PRICE $2711.88 | ACTION BUY
DAY 107 | PRICE $2665.96 | ACTION BUY
DAY 108 | PRICE $2644.10 | ACTION SELL
DAY 109 | PRICE $2615.08 | ACTION SELL
DAY 113 | PRICE $2658.40 | ACTION BUY
DAY 114 | PRICE $2705.32 | ACTION SELL
DAY 117 | PRICE $2579.09 | ACTION BUY
DAY 118 | PRICE $2618.00 | ACTION SELL
DAY 131 | PRICE $2457.08 | ACTION BUY
DAY 133 | PRICE $2392.63 | ACTION SELL
DAY 134 | PRICE $2381.50 | ACTION BUY
DAY 135 | PRICE $2341.79 | ACTION SELL
DAY 141 | PRICE $2316.29 | ACTION BUY
DAY 142 | PRICE $2463.51 | ACTION SELL
DAY 146 | PRICE $2367.25 | ACTION BUY
DAY 147 | PRICE $2326.83 | ACTION SELL
DAY 148 | PRICE $2311.90 | ACTION BUY
DAY 149 | PRICE $2222.37 | ACTION SELL
DAY 150 | PRICE $2312.56 | ACTION BUY
DAY 151 | PRICE $2387.61 | ACTION SELL
DAY 157 | PRICE $2411.85 | ACTION BUY
DAY 158 | PRICE $2416.25 | ACTION BUY
DAY 159 | PRICE $2346.11 | ACTION BUY
DAY 160 | PRICE $2397.91 | ACTION SELL
DAY 161 | PRICE $2439.43 | ACTION SELL
DAY 162 | PRICE $2458.50 | ACTION SELL
DAY 164 | PRICE $2552.06 | ACTION BUY
DAY 165 | PRICE $2465.83 | ACTION BUY
DAY 166 | PRICE $2511.13 | ACTION BUY
DAY 169 | PRICE $2574.82 | ACTION SELL
DAY 170 | PRICE $2613.68 | ACTION SELL
DAY 171 | PRICE $2614.25 | ACTION BUY
DAY 172 | PRICE $2579.52 | ACTION SELL
DAY 173 | PRICE $2559.46 | ACTION SELL
DAY 177 | PRICE $2580.98 | ACTION BUY
DAY 178 | PRICE $2611.77 | ACTION SELL
DAY 179 | PRICE $2576.21 | ACTION BUY
DAY 180 | PRICE $2482.06 | ACTION BUY
DAY 181 | PRICE $2520.73 | ACTION SELL
DAY 182 | PRICE $2547.72 | ACTION SELL
DAY 184 | PRICE $2541.11 | ACTION BUY
DAY 185 | PRICE $2514.96 | ACTION BUY
DAY 189 | PRICE $2299.08 | ACTION BUY
DAY 190 | PRICE $2333.41 | ACTION SELL
DAY 191 | PRICE $2413.04 | ACTION SELL
DAY 193 | PRICE $2507.30 | ACTION SELL
DAY 194 | PRICE $2507.80 | ACTION BUY
DAY 196 | PRICE $2532.16 | ACTION SELL
DAY 199 | PRICE $2556.00 | ACTION BUY
DAY 200 | PRICE $2491.13 | ACTION SELL
DAY 207 | PRICE $2668.38 | ACTION BUY
DAY 208 | PRICE $2666.84 | ACTION SELL
DAY 209 | PRICE $2738.18 | ACTION BUY
DAY 211 | PRICE $2705.31 | ACTION SELL
DAY 213 | PRICE $2604.37 | ACTION BUY
DAY 214 | PRICE $2665.21 | ACTION SELL
DAY 218 | PRICE $2677.07 | ACTION BUY
DAY 219 | PRICE $2667.63 | ACTION BUY
DAY 220 | PRICE $2752.61 | ACTION SELL
DAY 221 | PRICE $2796.37 | ACTION BUY
DAY 223 | PRICE $2808.88 | ACTION SELL
DAY 224 | PRICE $2879.28 | ACTION SELL
DAY 226 | PRICE $2703.86 | ACTION BUY
DAY 227 | PRICE $2772.97 | ACTION SELL
DAY 231 | PRICE $2668.66 | ACTION BUY
DAY 232 | PRICE $2529.31 | ACTION SELL
DAY 237 | PRICE $2594.05 | ACTION BUY
DAY 238 | PRICE $2587.20 | ACTION SELL
DAY 239 | PRICE $2542.68 | ACTION BUY
DAY 240 | PRICE $2525.56 | ACTION SELL
Initial Cash: $9650.20
Total Profit: $963.34
Final Cash:  $10613.54
Price Change: $2183.90 → $2413.62 (10.52%)
