Evaluation of nasdaq_ours_fold1 with a2c agent and cvar indicator
Namespace(stock='nasdaq_ours_fold1', window=30, episodes=10, agent='a2c', lr=0.001, cash=10, normalizer=1, indicator='cvar', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $9010.89 | ACTION BUY
DAY 1 | PRICE $9158.50 | ACTION BUY
DAY 2 | PRICE $9301.32 | ACTION BUY
DAY 3 | PRICE $9273.23 | ACTION BUY
DAY 8 | PRICE $8543.35 | ACTION SELL
DAY 9 | PRICE $7943.16 | ACTION SELL
DAY 11 | PRICE $6631.42 | ACTION BUY
DAY 12 | PRICE $7539.97 | ACTION BUY
DAY 16 | PRICE $8600.70 | ACTION SELL
DAY 18 | PRICE $9000.07 | ACTION BUY
DAY 23 | PRICE $9891.81 | ACTION SELL
DAY 24 | PRICE $9842.22 | ACTION BUY
DAY 26 | PRICE $10379.91 | ACTION SELL
DAY 27 | PRICE $10364.39 | ACTION BUY
DAY 28 | PRICE $10407.87 | ACTION SELL
DAY 29 | PRICE $10412.09 | ACTION BUY
DAY 57 | PRICE $13842.60 | ACTION SELL
DAY 58 | PRICE $13024.53 | ACTION SELL
DAY 59 | PRICE $12397.05 | ACTION BUY
DAY 60 | PRICE $13158.72 | ACTION BUY
DAY 63 | PRICE $13582.75 | ACTION SELL
DAY 64 | PRICE $13783.95 | ACTION BUY
DAY 65 | PRICE $13842.57 | ACTION SELL
DAY 66 | PRICE $14019.50 | ACTION BUY
DAY 68 | PRICE $13401.75 | ACTION SELL
DAY 69 | PRICE $13265.40 | ACTION BUY
DAY 75 | PRICE $14471.38 | ACTION SELL
DAY 76 | PRICE $14580.79 | ACTION BUY
DAY 81 | PRICE $14692.41 | ACTION SELL
DAY 82 | PRICE $14516.30 | ACTION BUY
DAY 89 | PRICE $14615.14 | ACTION SELL
DAY 90 | PRICE $14699.52 | ACTION BUY
DAY 91 | PRICE $15094.14 | ACTION SELL
DAY 92 | PRICE $15290.31 | ACTION BUY
DAY 93 | PRICE $15827.66 | ACTION SELL
DAY 96 | PRICE $15456.09 | ACTION BUY
DAY 97 | PRICE $14931.06 | ACTION SELL
DAY 98 | PRICE $15477.85 | ACTION BUY
DAY 100 | PRICE $15696.83 | ACTION SELL
DAY 103 | PRICE $14482.94 | ACTION BUY
DAY 109 | PRICE $13493.91 | ACTION SELL
DAY 111 | PRICE $12992.20 | ACTION BUY
DAY 117 | PRICE $12487.86 | ACTION SELL
DAY 119 | PRICE $11108.76 | ACTION BUY
DAY 129 | PRICE $11533.37 | ACTION SELL
DAY 130 | PRICE $12260.48 | ACTION BUY
DAY 131 | PRICE $12438.86 | ACTION SELL
DAY 132 | PRICE $12979.24 | ACTION BUY
DAY 149 | PRICE $10775.61 | ACTION SELL
DAY 152 | PRICE $10619.12 | ACTION BUY
DAY 167 | PRICE $11950.92 | ACTION SELL
DAY 168 | PRICE $11925.37 | ACTION BUY
DAY 173 | PRICE $13229.33 | ACTION SELL
DAY 175 | PRICE $13334.42 | ACTION BUY
DAY 183 | PRICE $13484.38 | ACTION SELL
DAY 184 | PRICE $13677.06 | ACTION BUY
DAY 201 | PRICE $14955.37 | ACTION SELL
DAY 202 | PRICE $14560.20 | ACTION BUY
DAY 205 | PRICE $15484.67 | ACTION SELL
DAY 206 | PRICE $15515.25 | ACTION BUY
DAY 209 | PRICE $15924.72 | ACTION SELL
DAY 210 | PRICE $15956.66 | ACTION BUY
DAY 218 | PRICE $15604.73 | ACTION SELL
DAY 219 | PRICE $16241.98 | ACTION BUY
DAY 220 | PRICE $16693.45 | ACTION SELL
DAY 221 | PRICE $16678.37 | ACTION SELL
DAY 224 | PRICE $17590.80 | ACTION BUY
DAY 225 | PRICE $17494.02 | ACTION SELL
DAY 227 | PRICE $18381.60 | ACTION BUY
DAY 229 | PRICE $17968.10 | ACTION BUY
DAY 233 | PRICE $17758.20 | ACTION SELL
DAY 234 | PRICE $17573.37 | ACTION BUY
DAY 243 | PRICE $18598.24 | ACTION SELL
DAY 244 | PRICE $18730.21 | ACTION BUY
DAY 245 | PRICE $19191.13 | ACTION SELL
DAY 246 | PRICE $18724.39 | ACTION BUY
DAY 250 | PRICE $19553.40 | ACTION LIQUIDATE
DAY 250 | PRICE $19553.40 | ACTION LIQUIDATE
DAY 250 | PRICE $19553.40 | ACTION LIQUIDATE
DAY 250 | PRICE $19553.40 | ACTION LIQUIDATE
Initial Cash: $38982.30
Total Profit: $42978.63
Final Cash:  $81960.93
Price Change: $9010.89 → $19553.40 (117.00%)
