Evaluation of nasdaq_ours_fold1 with a2c agent and sharpe indicator
Namespace(stock='nasdaq_ours_fold1', window=30, episodes=10, agent='a2c', lr=0.001, cash=10, normalizer=1, indicator='sharpe', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 1 | PRICE $9158.50 | ACTION BUY
DAY 2 | PRICE $9301.32 | ACTION SELL
DAY 6 | PRICE $9693.05 | ACTION BUY
DAY 7 | PRICE $9166.01 | ACTION SELL
DAY 16 | PRICE $8600.70 | ACTION BUY
DAY 17 | PRICE $8781.31 | ACTION SELL
DAY 21 | PRICE $9627.17 | ACTION BUY
DAY 22 | PRICE $9962.58 | ACTION SELL
DAY 24 | PRICE $9842.22 | ACTION BUY
DAY 25 | PRICE $10048.04 | ACTION SELL
DAY 26 | PRICE $10379.91 | ACTION BUY
DAY 27 | PRICE $10364.39 | ACTION BUY
DAY 28 | PRICE $10407.87 | ACTION SELL
DAY 29 | PRICE $10412.09 | ACTION SELL
DAY 31 | PRICE $11007.50 | ACTION BUY
DAY 32 | PRICE $11090.03 | ACTION SELL
DAY 34 | PRICE $11361.35 | ACTION BUY
DAY 36 | PRICE $10639.95 | ACTION BUY
DAY 37 | PRICE $10639.98 | ACTION SELL
DAY 38 | PRICE $11033.69 | ACTION SELL
DAY 39 | PRICE $11476.66 | ACTION BUY
DAY 44 | PRICE $11715.52 | ACTION BUY
DAY 45 | PRICE $11852.51 | ACTION BUY
DAY 46 | PRICE $12027.16 | ACTION SELL
DAY 47 | PRICE $12460.55 | ACTION SELL
DAY 48 | PRICE $12432.71 | ACTION BUY
DAY 49 | PRICE $12525.22 | ACTION SELL
DAY 50 | PRICE $12821.96 | ACTION SELL
DAY 51 | PRICE $12649.99 | ACTION BUY
DAY 53 | PRICE $13454.08 | ACTION SELL
DAY 55 | PRICE $13631.62 | ACTION BUY
DAY 56 | PRICE $13916.84 | ACTION SELL
DAY 65 | PRICE $13842.57 | ACTION BUY
DAY 67 | PRICE $13881.51 | ACTION SELL
DAY 75 | PRICE $14471.38 | ACTION BUY
DAY 76 | PRICE $14580.79 | ACTION SELL
DAY 98 | PRICE $15477.85 | ACTION BUY
DAY 100 | PRICE $15696.83 | ACTION SELL
DAY 105 | PRICE $14070.77 | ACTION BUY
DAY 106 | PRICE $13934.78 | ACTION SELL
DAY 117 | PRICE $12487.86 | ACTION BUY
DAY 118 | PRICE $12183.56 | ACTION SELL
DAY 120 | PRICE $11313.31 | ACTION BUY
DAY 121 | PRICE $11406.16 | ACTION SELL
DAY 124 | PRICE $10638.72 | ACTION BUY
DAY 125 | PRICE $11487.07 | ACTION SELL
DAY 126 | PRICE $10911.45 | ACTION BUY
DAY 127 | PRICE $11207.08 | ACTION BUY
DAY 128 | PRICE $11448.97 | ACTION SELL
DAY 129 | PRICE $11533.37 | ACTION SELL
DAY 132 | PRICE $12979.24 | ACTION BUY
DAY 133 | PRICE $12352.03 | ACTION BUY
DAY 134 | PRICE $11790.03 | ACTION BUY
DAY 135 | PRICE $11555.08 | ACTION SELL
DAY 136 | PRICE $11602.76 | ACTION SELL
DAY 137 | PRICE $11219.00 | ACTION SELL
DAY 139 | PRICE $10910.76 | ACTION BUY
DAY 140 | PRICE $10372.21 | ACTION SELL
DAY 152 | PRICE $10619.12 | ACTION BUY
DAY 153 | PRICE $11024.72 | ACTION SELL
DAY 154 | PRICE $11282.65 | ACTION BUY
DAY 155 | PRICE $11398.37 | ACTION SELL
DAY 157 | PRICE $11760.57 | ACTION BUY
DAY 159 | PRICE $11349.87 | ACTION BUY
DAY 160 | PRICE $11487.75 | ACTION SELL
DAY 162 | PRICE $11666.85 | ACTION SELL
DAY 166 | PRICE $12011.95 | ACTION BUY
DAY 167 | PRICE $11950.92 | ACTION SELL
DAY 169 | PRICE $12255.44 | ACTION BUY
DAY 171 | PRICE $12604.89 | ACTION SELL
DAY 175 | PRICE $13334.42 | ACTION BUY
DAY 176 | PRICE $13773.41 | ACTION SELL
DAY 182 | PRICE $13611.93 | ACTION BUY
DAY 183 | PRICE $13484.38 | ACTION BUY
DAY 186 | PRICE $13733.82 | ACTION SELL
DAY 187 | PRICE $13467.28 | ACTION SELL
DAY 189 | PRICE $13072.51 | ACTION BUY
DAY 190 | PRICE $13549.29 | ACTION SELL
DAY 195 | PRICE $14060.70 | ACTION BUY
DAY 196 | PRICE $14226.63 | ACTION BUY
DAY 197 | PRICE $14127.05 | ACTION BUY
DAY 198 | PRICE $14220.87 | ACTION SELL
DAY 199 | PRICE $14642.23 | ACTION SELL
DAY 200 | PRICE $14837.47 | ACTION SELL
DAY 214 | PRICE $16046.56 | ACTION BUY
DAY 216 | PRICE $15587.50 | ACTION SELL
DAY 226 | PRICE $17657.64 | ACTION BUY
DAY 227 | PRICE $18381.60 | ACTION BUY
DAY 228 | PRICE $18386.07 | ACTION SELL
DAY 229 | PRICE $17968.10 | ACTION SELL
DAY 234 | PRICE $17573.37 | ACTION BUY
DAY 235 | PRICE $16984.67 | ACTION SELL
DAY 239 | PRICE $17767.79 | ACTION BUY
DAY 241 | PRICE $18214.96 | ACTION BUY
DAY 244 | PRICE $18730.21 | ACTION SELL
DAY 245 | PRICE $19191.13 | ACTION BUY
DAY 247 | PRICE $18937.20 | ACTION SELL
DAY 248 | PRICE $19688.59 | ACTION SELL
DAY 250 | PRICE $19357.76 | ACTION BUY
DAY 250 | PRICE $19553.40 | ACTION LIQUIDATE
Initial Cash: $38982.30
Total Profit: $6869.60
Final Cash:  $45851.90
Price Change: $9010.89 → $19553.40 (117.00%)
