Evaluation of nasdaq_ours_fold4 with a2c agent and none indicator
Namespace(stock='nasdaq_ours_fold4', window=30, episodes=10, agent='a2c', lr=0.001, cash=10, normalizer=1, indicator='none', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $8909.19 | ACTION BUY
DAY 2 | PRICE $9226.49 | ACTION SELL
DAY 11 | PRICE $6858.38 | ACTION BUY
DAY 12 | PRICE $7462.21 | ACTION SELL
DAY 13 | PRICE $7307.95 | ACTION BUY
DAY 14 | PRICE $8072.32 | ACTION SELL
DAY 19 | PRICE $8821.38 | ACTION BUY
DAY 20 | PRICE $9239.41 | ACTION SELL
DAY 21 | PRICE $9462.32 | ACTION BUY
DAY 23 | PRICE $9403.00 | ACTION SELL
DAY 25 | PRICE $9663.61 | ACTION BUY
DAY 26 | PRICE $10337.98 | ACTION SELL
DAY 32 | PRICE $11103.83 | ACTION BUY
DAY 33 | PRICE $11343.04 | ACTION SELL
DAY 39 | PRICE $11258.35 | ACTION BUY
DAY 40 | PRICE $11714.35 | ACTION SELL
DAY 44 | PRICE $11638.90 | ACTION BUY
DAY 46 | PRICE $12020.95 | ACTION SELL
DAY 47 | PRICE $12356.99 | ACTION BUY
DAY 48 | PRICE $12214.74 | ACTION BUY
DAY 49 | PRICE $12696.35 | ACTION SELL
DAY 50 | PRICE $12767.64 | ACTION BUY
DAY 51 | PRICE $12543.24 | ACTION SELL
DAY 52 | PRICE $12999.51 | ACTION BUY
DAY 53 | PRICE $13078.70 | ACTION SELL
DAY 54 | PRICE $13603.19 | ACTION BUY
DAY 55 | PRICE $13535.86 | ACTION SELL
DAY 56 | PRICE $13966.55 | ACTION SELL
DAY 57 | PRICE $13804.26 | ACTION BUY
DAY 58 | PRICE $13286.59 | ACTION SELL
DAY 60 | PRICE $13035.44 | ACTION BUY
DAY 61 | PRICE $13272.69 | ACTION SELL
DAY 65 | PRICE $13970.42 | ACTION BUY
DAY 66 | PRICE $13771.04 | ACTION SELL
DAY 77 | PRICE $14672.63 | ACTION BUY
DAY 78 | PRICE $14178.66 | ACTION SELL
DAY 82 | PRICE $14610.02 | ACTION BUY
DAY 83 | PRICE $14776.98 | ACTION BUY
DAY 85 | PRICE $15343.28 | ACTION SELL
DAY 86 | PRICE $15008.30 | ACTION SELL
DAY 87 | PRICE $14696.47 | ACTION BUY
DAY 88 | PRICE $14539.88 | ACTION SELL
DAY 92 | PRICE $15198.23 | ACTION BUY
DAY 93 | PRICE $15569.27 | ACTION SELL
DAY 99 | PRICE $15055.23 | ACTION BUY
DAY 100 | PRICE $15303.06 | ACTION SELL
DAY 101 | PRICE $15729.16 | ACTION BUY
DAY 102 | PRICE $14914.87 | ACTION SELL
DAY 103 | PRICE $14782.24 | ACTION BUY
DAY 104 | PRICE $13764.24 | ACTION SELL
DAY 116 | PRICE $13281.22 | ACTION BUY
DAY 117 | PRICE $12490.74 | ACTION SELL
DAY 120 | PRICE $11754.28 | ACTION BUY
DAY 121 | PRICE $11092.48 | ACTION SELL
DAY 126 | PRICE $10850.01 | ACTION BUY
DAY 127 | PRICE $11479.77 | ACTION SELL
DAY 130 | PRICE $12181.13 | ACTION BUY
DAY 131 | PRICE $12525.77 | ACTION SELL
DAY 137 | PRICE $11337.83 | ACTION BUY
DAY 139 | PRICE $10577.89 | ACTION SELL
DAY 143 | PRICE $10914.00 | ACTION BUY
DAY 145 | PRICE $11167.17 | ACTION BUY
DAY 146 | PRICE $10999.75 | ACTION BUY
DAY 148 | PRICE $10956.20 | ACTION SELL
DAY 149 | PRICE $11160.54 | ACTION SELL
DAY 150 | PRICE $10446.82 | ACTION SELL
DAY 153 | PRICE $10797.12 | ACTION BUY
DAY 154 | PRICE $10885.64 | ACTION SELL
DAY 156 | PRICE $11946.86 | ACTION BUY
DAY 157 | PRICE $11630.54 | ACTION SELL
DAY 158 | PRICE $11673.21 | ACTION BUY
DAY 159 | PRICE $11444.60 | ACTION SELL
DAY 177 | PRICE $13656.74 | ACTION BUY
DAY 178 | PRICE $14081.96 | ACTION BUY
DAY 179 | PRICE $14020.45 | ACTION SELL
DAY 180 | PRICE $14188.10 | ACTION SELL
DAY 185 | PRICE $13982.42 | ACTION BUY
DAY 186 | PRICE $13805.13 | ACTION SELL
DAY 189 | PRICE $13204.08 | ACTION BUY
DAY 190 | PRICE $13277.48 | ACTION SELL
DAY 226 | PRICE $17765.42 | ACTION BUY
DAY 228 | PRICE $18293.60 | ACTION BUY
DAY 229 | PRICE $17691.43 | ACTION SELL
DAY 230 | PRICE $17239.99 | ACTION SELL
DAY 234 | PRICE $17700.27 | ACTION BUY
DAY 235 | PRICE $17498.79 | ACTION BUY
DAY 238 | PRICE $17936.37 | ACTION SELL
DAY 239 | PRICE $17997.56 | ACTION SELL
DAY 246 | PRICE $18672.30 | ACTION BUY
DAY 247 | PRICE $18969.35 | ACTION SELL
Initial Cash: $37110.90
Total Profit: $2353.96
Final Cash:  $39464.86
Price Change: $8909.19 → $19813.76 (122.40%)
