Evaluation of hangsen_ours_fold1 with a3c agent and sharpe indicator
Namespace(stock='hangsen_ours_fold1', window=30, episodes=10, agent='a3c', lr=0.001, cash=10, normalizer=1, indicator='sharpe', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 1 | PRICE $28165.13 | ACTION BUY
DAY 2 | PRICE $28264.07 | ACTION SELL
DAY 10 | PRICE $26315.36 | ACTION BUY
DAY 11 | PRICE $24117.94 | ACTION SELL
DAY 16 | PRICE $24225.55 | ACTION BUY
DAY 18 | PRICE $23868.02 | ACTION SELL
DAY 19 | PRICE $23979.37 | ACTION BUY
DAY 21 | PRICE $23134.61 | ACTION SELL
DAY 24 | PRICE $24195.82 | ACTION BUY
DAY 25 | PRICE $24770.95 | ACTION SELL
DAY 31 | PRICE $24167.79 | ACTION BUY
DAY 32 | PRICE $25040.55 | ACTION BUY
DAY 33 | PRICE $24885.86 | ACTION SELL
DAY 34 | PRICE $25258.16 | ACTION SELL
DAY 43 | PRICE $24733.23 | ACTION BUY
DAY 45 | PRICE $26344.86 | ACTION SELL
DAY 46 | PRICE $26591.30 | ACTION BUY
DAY 47 | PRICE $26379.48 | ACTION SELL
DAY 50 | PRICE $26071.76 | ACTION BUY
DAY 51 | PRICE $27163.51 | ACTION SELL
DAY 55 | PRICE $28259.73 | ACTION BUY
DAY 57 | PRICE $30497.40 | ACTION SELL
DAY 74 | PRICE $28299.66 | ACTION BUY
DAY 75 | PRICE $28924.61 | ACTION SELL
DAY 78 | PRICE $26971.03 | ACTION BUY
DAY 79 | PRICE $24848.43 | ACTION SELL
DAY 81 | PRICE $26454.45 | ACTION BUY
DAY 82 | PRICE $25708.95 | ACTION SELL
DAY 85 | PRICE $26164.79 | ACTION BUY
DAY 87 | PRICE $24313.68 | ACTION SELL
DAY 92 | PRICE $24972.50 | ACTION BUY
DAY 93 | PRICE $24633.57 | ACTION SELL
DAY 99 | PRICE $22665.25 | ACTION BUY
DAY 100 | PRICE $23099.48 | ACTION SELL
DAY 104 | PRICE $24001.96 | ACTION BUY
DAY 105 | PRICE $24140.89 | ACTION SELL
DAY 114 | PRICE $21132.54 | ACTION BUY
DAY 115 | PRICE $20889.02 | ACTION SELL
DAY 119 | PRICE $20408.68 | ACTION BUY
DAY 120 | PRICE $20494.15 | ACTION SELL
DAY 122 | PRICE $20993.76 | ACTION BUY
DAY 123 | PRICE $20839.02 | ACTION BUY
DAY 125 | PRICE $21799.19 | ACTION SELL
DAY 126 | PRICE $20779.59 | ACTION SELL
DAY 129 | PRICE $19515.54 | ACTION BUY
DAY 130 | PRICE $19856.23 | ACTION BUY
DAY 131 | PRICE $19662.61 | ACTION SELL
DAY 132 | PRICE $19377.09 | ACTION SELL
DAY 134 | PRICE $19107.60 | ACTION BUY
DAY 135 | PRICE $18797.79 | ACTION SELL
DAY 152 | PRICE $21417.25 | ACTION BUY
DAY 153 | PRICE $22483.78 | ACTION BUY
DAY 155 | PRICE $21157.52 | ACTION SELL
DAY 156 | PRICE $20703.74 | ACTION SELL
DAY 164 | PRICE $20336.71 | ACTION BUY
DAY 165 | PRICE $19520.97 | ACTION BUY
DAY 167 | PRICE $19567.62 | ACTION SELL
DAY 168 | PRICE $19630.76 | ACTION SELL
DAY 169 | PRICE $18620.84 | ACTION BUY
DAY 170 | PRICE $18548.30 | ACTION BUY
DAY 171 | PRICE $19231.13 | ACTION SELL
DAY 172 | PRICE $19876.42 | ACTION SELL
DAY 174 | PRICE $19002.55 | ACTION BUY
DAY 176 | PRICE $19413.78 | ACTION SELL
DAY 177 | PRICE $18562.12 | ACTION BUY
DAY 178 | PRICE $20019.79 | ACTION SELL
DAY 189 | PRICE $17292.36 | ACTION BUY
DAY 190 | PRICE $17078.24 | ACTION SELL
DAY 193 | PRICE $17413.46 | ACTION BUY
DAY 194 | PRICE $17545.61 | ACTION BUY
DAY 195 | PRICE $16830.30 | ACTION SELL
DAY 197 | PRICE $16610.70 | ACTION SELL
DAY 200 | PRICE $16036.42 | ACTION BUY
DAY 201 | PRICE $15194.94 | ACTION SELL
DAY 204 | PRICE $16035.43 | ACTION BUY
DAY 205 | PRICE $15937.28 | ACTION SELL
DAY 207 | PRICE $16321.12 | ACTION BUY
DAY 208 | PRICE $16275.39 | ACTION SELL
DAY 217 | PRICE $19342.96 | ACTION BUY
DAY 219 | PRICE $18077.39 | ACTION SELL
DAY 221 | PRICE $17752.96 | ACTION BUY
DAY 222 | PRICE $17789.57 | ACTION SELL
DAY 224 | PRICE $17376.48 | ACTION BUY
DAY 226 | PRICE $17451.86 | ACTION SELL
DAY 229 | PRICE $17074.69 | ACTION BUY
DAY 230 | PRICE $17449.99 | ACTION BUY
DAY 231 | PRICE $17624.42 | ACTION SELL
DAY 232 | PRICE $17583.70 | ACTION SELL
DAY 234 | PRICE $17602.45 | ACTION BUY
DAY 235 | PRICE $19176.58 | ACTION BUY
DAY 236 | PRICE $21824.68 | ACTION BUY
DAY 237 | PRICE $20693.75 | ACTION BUY
DAY 238 | PRICE $20423.09 | ACTION SELL
DAY 239 | PRICE $20428.94 | ACTION SELL
DAY 240 | PRICE $20446.26 | ACTION SELL
DAY 242 | PRICE $19470.43 | ACTION BUY
DAY 243 | PRICE $19102.06 | ACTION SELL
DAY 244 | PRICE $19387.20 | ACTION SELL
Initial Cash: $169335.20
Total Profit: -$2034.48
Final Cash:  $167300.72
Price Change: $27675.24 → $19746.46 (-28.65%)
