Evaluation of hangsen_ours_fold3 with a3c agent and var indicator
Namespace(stock='hangsen_ours_fold3', window=30, episodes=10, agent='a3c', lr=0.001, cash=10, normalizer=1, indicator='var', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 3 | PRICE $28709.57 | ACTION BUY
DAY 4 | PRICE $27706.37 | ACTION SELL
DAY 12 | PRICE $21659.55 | ACTION BUY
DAY 13 | PRICE $22973.33 | ACTION BUY
DAY 14 | PRICE $23271.47 | ACTION BUY
DAY 15 | PRICE $24090.50 | ACTION BUY
DAY 16 | PRICE $23483.31 | ACTION SELL
DAY 17 | PRICE $24549.62 | ACTION SELL
DAY 19 | PRICE $23671.61 | ACTION SELL
DAY 20 | PRICE $22878.26 | ACTION BUY
DAY 21 | PRICE $22781.11 | ACTION SELL
DAY 22 | PRICE $24253.56 | ACTION BUY
DAY 26 | PRICE $25911.74 | ACTION SELL
DAY 27 | PRICE $25254.32 | ACTION BUY
DAY 28 | PRICE $25378.38 | ACTION SELL
DAY 30 | PRICE $24539.44 | ACTION SELL
DAY 32 | PRICE $25257.88 | ACTION BUY
DAY 33 | PRICE $25352.26 | ACTION BUY
DAY 34 | PRICE $24995.45 | ACTION SELL
DAY 36 | PRICE $24621.65 | ACTION SELL
DAY 40 | PRICE $24102.21 | ACTION BUY
DAY 42 | PRICE $24029.95 | ACTION BUY
DAY 43 | PRICE $25540.98 | ACTION SELL
DAY 44 | PRICE $25909.18 | ACTION SELL
DAY 48 | PRICE $26443.01 | ACTION BUY
DAY 49 | PRICE $26363.05 | ACTION BUY
DAY 50 | PRICE $26264.32 | ACTION SELL
DAY 51 | PRICE $27150.38 | ACTION SELL
DAY 55 | PRICE $29198.86 | ACTION BUY
DAY 56 | PRICE $29263.98 | ACTION SELL
DAY 58 | PRICE $29833.05 | ACTION BUY
DAY 59 | PRICE $29102.10 | ACTION BUY
DAY 62 | PRICE $27505.08 | ACTION SELL
DAY 63 | PRICE $28511.65 | ACTION SELL
DAY 64 | PRICE $28452.12 | ACTION BUY
DAY 65 | PRICE $28885.55 | ACTION SELL
DAY 77 | PRICE $27878.53 | ACTION BUY
DAY 78 | PRICE $27222.04 | ACTION SELL
DAY 80 | PRICE $26002.41 | ACTION BUY
DAY 81 | PRICE $26200.24 | ACTION SELL
DAY 84 | PRICE $25811.77 | ACTION BUY
DAY 86 | PRICE $24424.74 | ACTION SELL
DAY 89 | PRICE $24865.80 | ACTION BUY
DAY 90 | PRICE $25915.62 | ACTION SELL
DAY 98 | PRICE $23325.92 | ACTION BUY
DAY 100 | PRICE $22990.24 | ACTION SELL
DAY 109 | PRICE $20638.95 | ACTION BUY
DAY 110 | PRICE $18235.48 | ACTION BUY
DAY 111 | PRICE $21266.90 | ACTION SELL
DAY 112 | PRICE $21722.17 | ACTION BUY
DAY 113 | PRICE $22015.12 | ACTION BUY
DAY 114 | PRICE $21141.06 | ACTION SELL
DAY 115 | PRICE $20184.96 | ACTION SELL
DAY 116 | PRICE $20040.07 | ACTION SELL
DAY 119 | PRICE $19989.62 | ACTION BUY
DAY 121 | PRICE $21734.49 | ACTION BUY
DAY 124 | PRICE $21844.05 | ACTION SELL
DAY 125 | PRICE $21200.93 | ACTION BUY
DAY 126 | PRICE $20554.15 | ACTION SELL
DAY 129 | PRICE $19995.46 | ACTION SELL
DAY 131 | PRICE $19675.46 | ACTION BUY
DAY 133 | PRICE $19532.86 | ACTION SELL
DAY 137 | PRICE $17016.28 | ACTION BUY
DAY 138 | PRICE $17174.61 | ACTION SELL
DAY 139 | PRICE $16308.95 | ACTION BUY
DAY 140 | PRICE $15082.84 | ACTION SELL
DAY 147 | PRICE $19366.22 | ACTION BUY
DAY 148 | PRICE $19255.95 | ACTION SELL
DAY 154 | PRICE $21259.21 | ACTION BUY
DAY 155 | PRICE $21074.94 | ACTION SELL
DAY 161 | PRICE $19559.47 | ACTION BUY
DAY 162 | PRICE $20126.90 | ACTION BUY
DAY 163 | PRICE $20297.16 | ACTION SELL
DAY 165 | PRICE $19879.07 | ACTION BUY
DAY 166 | PRICE $20081.70 | ACTION BUY
DAY 167 | PRICE $19498.04 | ACTION BUY
DAY 168 | PRICE $19410.07 | ACTION SELL
DAY 170 | PRICE $19033.85 | ACTION SELL
DAY 171 | PRICE $19273.42 | ACTION SELL
DAY 177 | PRICE $19245.66 | ACTION BUY
DAY 178 | PRICE $19475.15 | ACTION SELL
DAY 179 | PRICE $19056.10 | ACTION SELL
DAY 180 | PRICE $18261.85 | ACTION BUY
DAY 181 | PRICE $17730.79 | ACTION SELL
DAY 183 | PRICE $18173.44 | ACTION BUY
DAY 184 | PRICE $18030.79 | ACTION BUY
DAY 185 | PRICE $17573.81 | ACTION BUY
DAY 188 | PRICE $17601.50 | ACTION SELL
DAY 189 | PRICE $16879.66 | ACTION SELL
DAY 190 | PRICE $17042.10 | ACTION BUY
DAY 191 | PRICE $17658.91 | ACTION SELL
DAY 193 | PRICE $17689.01 | ACTION BUY
DAY 194 | PRICE $17303.82 | ACTION SELL
DAY 196 | PRICE $16157.68 | ACTION SELL
DAY 199 | PRICE $16455.57 | ACTION BUY
DAY 200 | PRICE $16185.91 | ACTION SELL
DAY 215 | PRICE $18389.54 | ACTION BUY
DAY 216 | PRICE $18827.60 | ACTION SELL
DAY 228 | PRICE $16665.06 | ACTION BUY
DAY 230 | PRICE $17389.94 | ACTION BUY
DAY 231 | PRICE $17502.53 | ACTION SELL
DAY 232 | PRICE $17332.49 | ACTION SELL
DAY 242 | PRICE $19575.91 | ACTION BUY
DAY 244 | PRICE $19615.61 | ACTION SELL
DAY 245 | PRICE $20100.07 | ACTION BUY
DAY 246 | PRICE $19802.22 | ACTION SELL
Initial Cash: $147639.70
Total Profit: -$2295.29
Final Cash:  $145344.41
Price Change: $27830.08 → $20009.95 (-28.10%)
