Evaluation of hangsen_ours_fold4 with a3c agent and kelly indicator
Namespace(stock='hangsen_ours_fold4', window=30, episodes=10, agent='a3c', lr=0.001, cash=10, normalizer=1, indicator='kelly', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 1 | PRICE $28428.17 | ACTION BUY
DAY 2 | PRICE $28504.27 | ACTION SELL
DAY 3 | PRICE $28813.13 | ACTION BUY
DAY 4 | PRICE $27774.50 | ACTION SELL
DAY 5 | PRICE $26491.66 | ACTION BUY
DAY 7 | PRICE $27496.25 | ACTION SELL
DAY 15 | PRICE $23854.79 | ACTION BUY
DAY 17 | PRICE $23584.95 | ACTION SELL
DAY 18 | PRICE $24470.18 | ACTION BUY
DAY 19 | PRICE $23722.17 | ACTION BUY
DAY 20 | PRICE $22519.73 | ACTION SELL
DAY 22 | PRICE $24678.55 | ACTION SELL
DAY 28 | PRICE $25057.94 | ACTION BUY
DAY 29 | PRICE $24671.51 | ACTION BUY
DAY 30 | PRICE $24868.29 | ACTION SELL
DAY 31 | PRICE $24685.44 | ACTION SELL
DAY 36 | PRICE $24635.24 | ACTION BUY
DAY 37 | PRICE $23559.99 | ACTION BUY
DAY 40 | PRICE $24194.41 | ACTION SELL
DAY 41 | PRICE $24683.25 | ACTION SELL
DAY 63 | PRICE $28598.86 | ACTION BUY
DAY 66 | PRICE $28887.33 | ACTION SELL
DAY 69 | PRICE $28293.23 | ACTION BUY
DAY 71 | PRICE $28902.67 | ACTION SELL
DAY 72 | PRICE $28664.94 | ACTION BUY
DAY 73 | PRICE $28532.08 | ACTION SELL
DAY 74 | PRICE $28971.60 | ACTION BUY
DAY 76 | PRICE $27420.35 | ACTION BUY
DAY 78 | PRICE $26177.40 | ACTION SELL
DAY 79 | PRICE $25743.09 | ACTION SELL
DAY 81 | PRICE $26046.90 | ACTION BUY
DAY 82 | PRICE $25036.99 | ACTION SELL
DAY 86 | PRICE $23871.84 | ACTION BUY
DAY 87 | PRICE $24232.98 | ACTION SELL
DAY 89 | PRICE $24836.76 | ACTION BUY
DAY 90 | PRICE $25840.59 | ACTION SELL
DAY 103 | PRICE $24723.92 | ACTION BUY
DAY 104 | PRICE $23507.03 | ACTION SELL
DAY 107 | PRICE $23500.92 | ACTION BUY
DAY 112 | PRICE $22033.78 | ACTION SELL
DAY 119 | PRICE $20067.98 | ACTION BUY
DAY 121 | PRICE $21737.94 | ACTION SELL
DAY 123 | PRICE $21010.89 | ACTION BUY
DAY 125 | PRICE $21614.65 | ACTION SELL
DAY 126 | PRICE $20215.97 | ACTION BUY
DAY 127 | PRICE $20513.80 | ACTION SELL
DAY 128 | PRICE $20050.05 | ACTION BUY
DAY 129 | PRICE $20096.54 | ACTION SELL
DAY 131 | PRICE $19656.80 | ACTION BUY
DAY 132 | PRICE $20050.97 | ACTION BUY
DAY 133 | PRICE $19342.49 | ACTION BUY
DAY 134 | PRICE $18893.65 | ACTION SELL
DAY 136 | PRICE $17727.40 | ACTION SELL
DAY 138 | PRICE $16789.97 | ACTION SELL
DAY 139 | PRICE $16558.41 | ACTION BUY
DAY 140 | PRICE $14947.39 | ACTION SELL
DAY 141 | PRICE $14859.92 | ACTION BUY
DAY 144 | PRICE $17287.60 | ACTION SELL
DAY 151 | PRICE $21474.98 | ACTION BUY
DAY 152 | PRICE $21754.35 | ACTION SELL
DAY 158 | PRICE $19969.47 | ACTION BUY
DAY 159 | PRICE $19431.09 | ACTION BUY
DAY 160 | PRICE $19428.36 | ACTION SELL
DAY 161 | PRICE $20107.73 | ACTION SELL
DAY 162 | PRICE $20099.48 | ACTION BUY
DAY 163 | PRICE $20299.15 | ACTION SELL
DAY 173 | PRICE $18837.32 | ACTION BUY
DAY 174 | PRICE $18483.08 | ACTION SELL
DAY 176 | PRICE $18888.76 | ACTION BUY
DAY 177 | PRICE $19482.47 | ACTION BUY
DAY 178 | PRICE $19369.06 | ACTION SELL
DAY 179 | PRICE $19030.39 | ACTION SELL
DAY 184 | PRICE $17894.81 | ACTION BUY
DAY 185 | PRICE $17722.49 | ACTION SELL
DAY 188 | PRICE $17671.99 | ACTION BUY
DAY 189 | PRICE $17001.43 | ACTION SELL
DAY 193 | PRICE $17650.49 | ACTION BUY
DAY 194 | PRICE $16881.98 | ACTION BUY
DAY 197 | PRICE $16549.49 | ACTION SELL
DAY 198 | PRICE $16950.90 | ACTION SELL
DAY 203 | PRICE $15336.86 | ACTION BUY
DAY 204 | PRICE $15456.32 | ACTION SELL
DAY 206 | PRICE $16517.84 | ACTION BUY
DAY 207 | PRICE $16145.22 | ACTION SELL
DAY 219 | PRICE $18375.27 | ACTION BUY
DAY 220 | PRICE $17971.57 | ACTION SELL
DAY 225 | PRICE $17376.23 | ACTION BUY
DAY 226 | PRICE $16924.58 | ACTION SELL
DAY 228 | PRICE $17079.35 | ACTION BUY
DAY 230 | PRICE $17493.08 | ACTION SELL
DAY 231 | PRICE $17778.10 | ACTION BUY
DAY 232 | PRICE $17067.45 | ACTION SELL
DAY 235 | PRICE $21289.60 | ACTION BUY
DAY 237 | PRICE $19977.35 | ACTION SELL
DAY 240 | PRICE $20370.44 | ACTION BUY
DAY 241 | PRICE $19392.59 | ACTION BUY
DAY 242 | PRICE $19552.50 | ACTION SELL
DAY 243 | PRICE $19312.26 | ACTION SELL
DAY 246 | PRICE $19591.49 | ACTION BUY
DAY 246 | PRICE $19968.07 | ACTION LIQUIDATE
Initial Cash: $151087.50
Total Profit: -$13780.84
Final Cash:  $137306.66
Price Change: $27792.66 → $19968.07 (-28.15%)
