Evaluation of hangsen_ours_fold5 with a3c agent and none indicator
Namespace(stock='hangsen_ours_fold5', window=30, episodes=10, agent='a3c', lr=0.001, cash=10, normalizer=1, indicator='none', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 3 | PRICE $28795.42 | ACTION BUY
DAY 4 | PRICE $27101.54 | ACTION SELL
DAY 8 | PRICE $26479.90 | ACTION BUY
DAY 9 | PRICE $26038.39 | ACTION SELL
DAY 10 | PRICE $25140.38 | ACTION BUY
DAY 11 | PRICE $22167.42 | ACTION SELL
DAY 18 | PRICE $24136.20 | ACTION BUY
DAY 19 | PRICE $24314.45 | ACTION SELL
DAY 20 | PRICE $23165.49 | ACTION BUY
DAY 21 | PRICE $23766.15 | ACTION SELL
DAY 22 | PRICE $24837.73 | ACTION BUY
DAY 23 | PRICE $24302.25 | ACTION SELL
DAY 27 | PRICE $24919.95 | ACTION BUY
DAY 28 | PRICE $24992.37 | ACTION SELL
DAY 30 | PRICE $24641.09 | ACTION BUY
DAY 31 | PRICE $25144.46 | ACTION SELL
DAY 45 | PRICE $26409.77 | ACTION BUY
DAY 46 | PRICE $26375.24 | ACTION SELL
DAY 47 | PRICE $26270.91 | ACTION BUY
DAY 48 | PRICE $26127.68 | ACTION SELL
DAY 53 | PRICE $29745.87 | ACTION BUY
DAY 55 | PRICE $28775.38 | ACTION SELL
DAY 61 | PRICE $28801.09 | ACTION BUY
DAY 63 | PRICE $28587.11 | ACTION BUY
DAY 64 | PRICE $28530.99 | ACTION SELL
DAY 65 | PRICE $28597.00 | ACTION SELL
DAY 70 | PRICE $29033.72 | ACTION BUY
DAY 71 | PRICE $28737.97 | ACTION BUY
DAY 72 | PRICE $28743.82 | ACTION SELL
DAY 73 | PRICE $28314.93 | ACTION SELL
DAY 74 | PRICE $29209.43 | ACTION BUY
DAY 75 | PRICE $27904.53 | ACTION SELL
DAY 80 | PRICE $26138.87 | ACTION BUY
DAY 81 | PRICE $25615.38 | ACTION SELL
DAY 85 | PRICE $25377.83 | ACTION BUY
DAY 86 | PRICE $23771.46 | ACTION SELL
DAY 91 | PRICE $25314.24 | ACTION BUY
DAY 92 | PRICE $24724.39 | ACTION SELL
DAY 93 | PRICE $25210.56 | ACTION BUY
DAY 94 | PRICE $24825.43 | ACTION SELL
DAY 104 | PRICE $23469.76 | ACTION BUY
DAY 105 | PRICE $24649.74 | ACTION SELL
DAY 107 | PRICE $22786.39 | ACTION BUY
DAY 108 | PRICE $22378.11 | ACTION SELL
DAY 112 | PRICE $21922.58 | ACTION BUY
DAY 113 | PRICE $21568.22 | ACTION SELL
DAY 124 | PRICE $21458.63 | ACTION BUY
DAY 126 | PRICE $20294.14 | ACTION SELL
DAY 129 | PRICE $19954.04 | ACTION BUY
DAY 130 | PRICE $19984.04 | ACTION SELL
DAY 140 | PRICE $15041.40 | ACTION BUY
DAY 142 | PRICE $16213.03 | ACTION SELL
DAY 149 | PRICE $19781.41 | ACTION BUY
DAY 151 | PRICE $21572.51 | ACTION SELL
DAY 154 | PRICE $21151.27 | ACTION BUY
DAY 155 | PRICE $20887.70 | ACTION BUY
DAY 156 | PRICE $20323.24 | ACTION BUY
DAY 157 | PRICE $20321.25 | ACTION BUY
DAY 158 | PRICE $19907.58 | ACTION SELL
DAY 161 | PRICE $20017.17 | ACTION BUY
DAY 162 | PRICE $20293.37 | ACTION SELL
DAY 163 | PRICE $20559.08 | ACTION BUY
DAY 164 | PRICE $19527.63 | ACTION BUY
DAY 166 | PRICE $19696.59 | ACTION SELL
DAY 167 | PRICE $19538.09 | ACTION SELL
DAY 168 | PRICE $19046.80 | ACTION SELL
DAY 169 | PRICE $18190.27 | ACTION SELL
DAY 170 | PRICE $19087.66 | ACTION SELL
DAY 172 | PRICE $18800.34 | ACTION BUY
DAY 173 | PRICE $18838.62 | ACTION SELL
DAY 175 | PRICE $19364.60 | ACTION BUY
DAY 176 | PRICE $18886.43 | ACTION SELL
DAY 180 | PRICE $17936.43 | ACTION BUY
DAY 181 | PRICE $17956.38 | ACTION SELL
DAY 194 | PRICE $16863.05 | ACTION BUY
DAY 195 | PRICE $16157.98 | ACTION BUY
DAY 196 | PRICE $16319.22 | ACTION SELL
DAY 199 | PRICE $16190.02 | ACTION SELL
DAY 203 | PRICE $15541.23 | ACTION BUY
DAY 204 | PRICE $15751.36 | ACTION SELL
DAY 208 | PRICE $16878.11 | ACTION BUY
DAY 210 | PRICE $16345.90 | ACTION SELL
DAY 211 | PRICE $16805.99 | ACTION BUY
DAY 212 | PRICE $16208.64 | ACTION BUY
DAY 213 | PRICE $16599.21 | ACTION BUY
DAY 214 | PRICE $17686.94 | ACTION SELL
DAY 216 | PRICE $19114.38 | ACTION SELL
DAY 217 | PRICE $18776.21 | ACTION SELL
DAY 221 | PRICE $17968.37 | ACTION BUY
DAY 222 | PRICE $17583.19 | ACTION SELL
DAY 223 | PRICE $17453.56 | ACTION BUY
DAY 224 | PRICE $17946.49 | ACTION BUY
DAY 225 | PRICE $17313.88 | ACTION SELL
DAY 226 | PRICE $17154.12 | ACTION SELL
DAY 245 | PRICE $19927.27 | ACTION BUY
DAY 246 | PRICE $19692.68 | ACTION SELL
Initial Cash: $156310.00
Total Profit: -$12443.61
Final Cash:  $143866.39
Price Change: $28000.62 → $20003.36 (-28.56%)
