Evaluation of japan_ni_ours_fold4 with a3c agent and cvar indicator
Namespace(stock='japan_ni_ours_fold4', window=30, episodes=10, agent='a3c', lr=0.001, cash=10, normalizer=1, indicator='cvar', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 2 | PRICE $23831.10 | ACTION BUY
DAY 3 | PRICE $23214.28 | ACTION BUY
DAY 5 | PRICE $23784.31 | ACTION BUY
DAY 6 | PRICE $23426.42 | ACTION SELL
DAY 7 | PRICE $20916.40 | ACTION BUY
DAY 8 | PRICE $20613.91 | ACTION BUY
DAY 9 | PRICE $16690.60 | ACTION BUY
DAY 10 | PRICE $16480.95 | ACTION SELL
DAY 11 | PRICE $18578.20 | ACTION SELL
DAY 13 | PRICE $19014.32 | ACTION BUY
DAY 14 | PRICE $19611.79 | ACTION BUY
DAY 16 | PRICE $19894.58 | ACTION BUY
DAY 17 | PRICE $19832.88 | ACTION SELL
DAY 18 | PRICE $20334.99 | ACTION BUY
DAY 19 | PRICE $21710.80 | ACTION BUY
DAY 20 | PRICE $22563.56 | ACTION BUY
DAY 23 | PRICE $22408.27 | ACTION SELL
DAY 24 | PRICE $22154.97 | ACTION BUY
DAY 25 | PRICE $22285.07 | ACTION SELL
DAY 26 | PRICE $22643.52 | ACTION BUY
DAY 29 | PRICE $22670.74 | ACTION SELL
DAY 30 | PRICE $22953.60 | ACTION BUY
DAY 31 | PRICE $23203.00 | ACTION SELL
DAY 32 | PRICE $23170.82 | ACTION BUY
DAY 33 | PRICE $22878.71 | ACTION SELL
DAY 35 | PRICE $23154.66 | ACTION BUY
DAY 40 | PRICE $23096.79 | ACTION SELL
DAY 42 | PRICE $25851.54 | ACTION BUY
DAY 49 | PRICE $27667.75 | ACTION SELL
DAY 52 | PRICE $27649.07 | ACTION BUY
DAY 65 | PRICE $28535.36 | ACTION SELL
DAY 66 | PRICE $27931.57 | ACTION BUY
DAY 70 | PRICE $29235.71 | ACTION SELL
DAY 71 | PRICE $28494.46 | ACTION BUY
DAY 84 | PRICE $30001.99 | ACTION SELL
DAY 85 | PRICE $27460.29 | ACTION BUY
DAY 86 | PRICE $28166.38 | ACTION SELL
DAY 87 | PRICE $29075.37 | ACTION BUY
DAY 92 | PRICE $29444.45 | ACTION SELL
DAY 93 | PRICE $27644.96 | ACTION SELL
DAY 94 | PRICE $28725.47 | ACTION BUY
DAY 95 | PRICE $28782.19 | ACTION BUY
DAY 105 | PRICE $26496.72 | ACTION SELL
DAY 106 | PRICE $25099.85 | ACTION BUY
DAY 107 | PRICE $26152.89 | ACTION SELL
DAY 108 | PRICE $27946.79 | ACTION SELL
DAY 111 | PRICE $26784.92 | ACTION SELL
DAY 113 | PRICE $26610.86 | ACTION BUY
DAY 114 | PRICE $25688.11 | ACTION SELL
DAY 115 | PRICE $26150.09 | ACTION SELL
DAY 116 | PRICE $26604.84 | ACTION SELL
DAY 117 | PRICE $27251.24 | ACTION BUY
DAY 118 | PRICE $28189.35 | ACTION SELL
DAY 119 | PRICE $26431.20 | ACTION BUY
DAY 120 | PRICE $26039.57 | ACTION SELL
DAY 121 | PRICE $26324.31 | ACTION BUY
DAY 122 | PRICE $26136.99 | ACTION SELL
DAY 123 | PRICE $26312.79 | ACTION BUY
DAY 125 | PRICE $27725.24 | ACTION BUY
DAY 127 | PRICE $28623.78 | ACTION BUY
DAY 128 | PRICE $28586.36 | ACTION BUY
DAY 129 | PRICE $27788.12 | ACTION SELL
DAY 130 | PRICE $27511.68 | ACTION BUY
DAY 131 | PRICE $28438.37 | ACTION BUY
DAY 132 | PRICE $27627.86 | ACTION SELL
DAY 134 | PRICE $27030.55 | ACTION BUY
DAY 140 | PRICE $27877.78 | ACTION SELL
DAY 141 | PRICE $28046.32 | ACTION SELL
DAY 142 | PRICE $27700.86 | ACTION SELL
DAY 143 | PRICE $27734.66 | ACTION BUY
DAY 144 | PRICE $27165.78 | ACTION SELL
DAY 145 | PRICE $26294.85 | ACTION SELL
DAY 146 | PRICE $25661.89 | ACTION BUY
DAY 148 | PRICE $26368.97 | ACTION BUY
DAY 151 | PRICE $27424.69 | ACTION BUY
DAY 152 | PRICE $27597.12 | ACTION SELL
DAY 153 | PRICE $27128.32 | ACTION SELL
DAY 154 | PRICE $27655.34 | ACTION SELL
DAY 155 | PRICE $28118.74 | ACTION BUY
DAY 156 | PRICE $27071.71 | ACTION BUY
DAY 157 | PRICE $27359.72 | ACTION BUY
DAY 158 | PRICE $28120.71 | ACTION BUY
DAY 159 | PRICE $27597.18 | ACTION SELL
DAY 160 | PRICE $28414.98 | ACTION BUY
DAY 161 | PRICE $28567.24 | ACTION SELL
DAY 162 | PRICE $29016.83 | ACTION BUY
DAY 164 | PRICE $30381.90 | ACTION SELL
DAY 166 | PRICE $30853.44 | ACTION SELL
DAY 167 | PRICE $31420.45 | ACTION SELL
DAY 168 | PRICE $33386.01 | ACTION BUY
DAY 170 | PRICE $33185.20 | ACTION BUY
DAY 171 | PRICE $32637.72 | ACTION SELL
DAY 172 | PRICE $31952.98 | ACTION BUY
DAY 174 | PRICE $32037.55 | ACTION BUY
DAY 188 | PRICE $32193.20 | ACTION SELL
DAY 190 | PRICE $33622.57 | ACTION SELL
DAY 191 | PRICE $33397.42 | ACTION SELL
DAY 192 | PRICE $32205.38 | ACTION BUY
DAY 193 | PRICE $32732.66 | ACTION BUY
DAY 194 | PRICE $33151.70 | ACTION BUY
DAY 195 | PRICE $33305.17 | ACTION SELL
DAY 196 | PRICE $34849.57 | ACTION SELL
DAY 198 | PRICE $36236.47 | ACTION BUY
DAY 199 | PRICE $35924.60 | ACTION BUY
DAY 200 | PRICE $36206.20 | ACTION SELL
DAY 202 | PRICE $39181.03 | ACTION SELL
DAY 203 | PRICE $40001.55 | ACTION SELL
DAY 205 | PRICE $38935.47 | ACTION SELL
DAY 206 | PRICE $40280.85 | ACTION BUY
DAY 207 | PRICE $39707.87 | ACTION BUY
DAY 208 | PRICE $39476.13 | ACTION BUY
DAY 210 | PRICE $37397.27 | ACTION SELL
DAY 212 | PRICE $38126.91 | ACTION BUY
DAY 213 | PRICE $38539.56 | ACTION SELL
DAY 214 | PRICE $38367.70 | ACTION BUY
DAY 215 | PRICE $38087.61 | ACTION SELL
DAY 216 | PRICE $38560.85 | ACTION SELL
DAY 217 | PRICE $38554.75 | ACTION BUY
DAY 218 | PRICE $38532.13 | ACTION SELL
DAY 220 | PRICE $40746.89 | ACTION SELL
DAY 222 | PRICE $39519.39 | ACTION BUY
DAY 223 | PRICE $38010.01 | ACTION BUY
DAY 224 | PRICE $31156.12 | ACTION BUY
DAY 225 | PRICE $35476.79 | ACTION BUY
DAY 226 | PRICE $37738.30 | ACTION SELL
DAY 227 | PRICE $37911.32 | ACTION BUY
DAY 231 | PRICE $38240.65 | ACTION SELL
DAY 232 | PRICE $38457.62 | ACTION BUY
DAY 233 | PRICE $39282.19 | ACTION SELL
DAY 234 | PRICE $38893.52 | ACTION BUY
DAY 235 | PRICE $37713.00 | ACTION SELL
DAY 237 | PRICE $39315.61 | ACTION BUY
DAY 239 | PRICE $38672.17 | ACTION SELL
DAY 241 | PRICE $38972.78 | ACTION SELL
DAY 242 | PRICE $39371.42 | ACTION BUY
DAY 243 | PRICE $38847.13 | ACTION BUY
DAY 243 | PRICE $39864.46 | ACTION LIQUIDATE
DAY 243 | PRICE $39864.46 | ACTION LIQUIDATE
DAY 243 | PRICE $39864.46 | ACTION LIQUIDATE
DAY 243 | PRICE $39864.46 | ACTION LIQUIDATE
DAY 243 | PRICE $39864.46 | ACTION LIQUIDATE
DAY 243 | PRICE $39864.46 | ACTION LIQUIDATE
DAY 243 | PRICE $39864.46 | ACTION LIQUIDATE
DAY 243 | PRICE $39864.46 | ACTION LIQUIDATE
Initial Cash: $188509.20
Total Profit: $137426.45
Final Cash:  $325935.65
Price Change: $23299.92 → $39864.46 (71.09%)
