Evaluation of japan_ni_ours_fold5 with a3c agent and kelly indicator
Namespace(stock='japan_ni_ours_fold5', window=30, episodes=10, agent='a3c', lr=0.001, cash=10, normalizer=1, indicator='kelly', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 2 | PRICE $23905.38 | ACTION BUY
DAY 3 | PRICE $23779.23 | ACTION SELL
DAY 6 | PRICE $23603.48 | ACTION BUY
DAY 8 | PRICE $20834.29 | ACTION BUY
DAY 9 | PRICE $19472.26 | ACTION SELL
DAY 10 | PRICE $16914.45 | ACTION BUY
DAY 12 | PRICE $18834.16 | ACTION SELL
DAY 13 | PRICE $18553.14 | ACTION BUY
DAY 14 | PRICE $19093.12 | ACTION SELL
DAY 15 | PRICE $19193.22 | ACTION SELL
DAY 24 | PRICE $21969.59 | ACTION BUY
DAY 27 | PRICE $22580.19 | ACTION SELL
DAY 28 | PRICE $22366.34 | ACTION BUY
DAY 29 | PRICE $22356.25 | ACTION BUY
DAY 30 | PRICE $23111.50 | ACTION BUY
DAY 31 | PRICE $22851.83 | ACTION BUY
DAY 32 | PRICE $23177.85 | ACTION SELL
DAY 33 | PRICE $23426.11 | ACTION BUY
DAY 34 | PRICE $23134.02 | ACTION BUY
DAY 35 | PRICE $23272.23 | ACTION SELL
DAY 37 | PRICE $23331.40 | ACTION BUY
DAY 38 | PRICE $23490.95 | ACTION SELL
DAY 39 | PRICE $23518.29 | ACTION SELL
DAY 40 | PRICE $23232.31 | ACTION SELL
DAY 41 | PRICE $23505.78 | ACTION SELL
DAY 45 | PRICE $26719.23 | ACTION BUY
DAY 46 | PRICE $26639.98 | ACTION BUY
DAY 49 | PRICE $27042.32 | ACTION SELL
DAY 51 | PRICE $28373.34 | ACTION SELL
DAY 52 | PRICE $28527.81 | ACTION SELL
DAY 54 | PRICE $29350.48 | ACTION BUY
DAY 55 | PRICE $30191.01 | ACTION SELL
DAY 56 | PRICE $30044.43 | ACTION BUY
DAY 58 | PRICE $28995.33 | ACTION BUY
DAY 59 | PRICE $30041.50 | ACTION SELL
DAY 60 | PRICE $28414.92 | ACTION SELL
DAY 61 | PRICE $29318.82 | ACTION BUY
DAY 62 | PRICE $29516.42 | ACTION BUY
DAY 63 | PRICE $29558.55 | ACTION BUY
DAY 64 | PRICE $28800.86 | ACTION BUY
DAY 65 | PRICE $28760.27 | ACTION SELL
