Evaluation of kosdaq_ours_fold1 with a3c agent and none indicator
Namespace(stock='kosdaq_ours_fold1', window=30, episodes=10, agent='a3c', lr=0.001, cash=10, normalizer=1, indicator='none', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $637.20 | ACTION BUY
DAY 2 | PRICE $435.11 | ACTION BUY
DAY 3 | PRICE $502.48 | ACTION SELL
DAY 4 | PRICE $564.02 | ACTION BUY
DAY 6 | PRICE $634.20 | ACTION SELL
DAY 7 | PRICE $638.58 | ACTION BUY
DAY 8 | PRICE $658.93 | ACTION SELL
DAY 9 | PRICE $684.33 | ACTION BUY
DAY 10 | PRICE $711.71 | ACTION SELL
DAY 11 | PRICE $695.30 | ACTION SELL
DAY 12 | PRICE $733.91 | ACTION BUY
DAY 18 | PRICE $769.39 | ACTION SELL
DAY 21 | PRICE $847.90 | ACTION BUY
DAY 22 | PRICE $852.15 | ACTION SELL
DAY 27 | PRICE $878.78 | ACTION BUY
DAY 29 | PRICE $856.66 | ACTION BUY
DAY 30 | PRICE $833.55 | ACTION BUY
DAY 32 | PRICE $791.02 | ACTION SELL
DAY 33 | PRICE $831.78 | ACTION SELL
DAY 34 | PRICE $835.95 | ACTION SELL
DAY 38 | PRICE $905.76 | ACTION BUY
DAY 39 | PRICE $938.88 | ACTION SELL
DAY 45 | PRICE $953.72 | ACTION BUY
DAY 47 | PRICE $967.42 | ACTION SELL
DAY 49 | PRICE $907.41 | ACTION BUY
DAY 50 | PRICE $910.41 | ACTION BUY
DAY 51 | PRICE $935.27 | ACTION BUY
DAY 53 | PRICE $966.34 | ACTION BUY
DAY 55 | PRICE $1014.40 | ACTION BUY
DAY 59 | PRICE $958.64 | ACTION SELL
DAY 60 | PRICE $949.78 | ACTION SELL
DAY 61 | PRICE $979.13 | ACTION SELL
DAY 62 | PRICE $982.75 | ACTION BUY
DAY 63 | PRICE $993.64 | ACTION SELL
DAY 64 | PRICE $1008.11 | ACTION BUY
DAY 66 | PRICE $1043.51 | ACTION SELL
DAY 67 | PRICE $1035.68 | ACTION BUY
DAY 68 | PRICE $1036.14 | ACTION SELL
DAY 69 | PRICE $1045.66 | ACTION SELL
DAY 70 | PRICE $1029.05 | ACTION SELL
DAY 72 | PRICE $999.26 | ACTION BUY
DAY 73 | PRICE $1006.98 | ACTION BUY
DAY 74 | PRICE $1035.09 | ACTION SELL
DAY 79 | PRICE $939.28 | ACTION SELL
DAY 81 | PRICE $1006.03 | ACTION BUY
DAY 82 | PRICE $1003.66 | ACTION SELL
DAY 85 | PRICE $1003.19 | ACTION BUY
DAY 86 | PRICE $949.86 | ACTION BUY
