Evaluation of kospi_ours_fold2 with a3c agent and cvar indicator
Namespace(stock='kospi_ours_fold2', window=30, episodes=10, agent='a3c', lr=0.001, cash=10, normalizer=1, indicator='cvar', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $2171.84 | ACTION BUY
DAY 1 | PRICE $2172.16 | ACTION BUY
DAY 8 | PRICE $1969.34 | ACTION BUY
DAY 9 | PRICE $1946.90 | ACTION SELL
DAY 10 | PRICE $1714.38 | ACTION BUY
DAY 11 | PRICE $1458.41 | ACTION BUY
DAY 12 | PRICE $1659.95 | ACTION BUY
DAY 13 | PRICE $1742.67 | ACTION SELL
DAY 14 | PRICE $1825.76 | ACTION BUY
DAY 15 | PRICE $1841.66 | ACTION SELL
DAY 16 | PRICE $1911.63 | ACTION BUY
DAY 19 | PRICE $1961.40 | ACTION SELL
DAY 20 | PRICE $2006.62 | ACTION SELL
DAY 21 | PRICE $2138.18 | ACTION SELL
DAY 22 | PRICE $2084.63 | ACTION BUY
DAY 24 | PRICE $2115.25 | ACTION SELL
DAY 25 | PRICE $2135.30 | ACTION SELL
DAY 28 | PRICE $2195.49 | ACTION BUY
DAY 30 | PRICE $2333.62 | ACTION SELL
DAY 31 | PRICE $2383.69 | ACTION SELL
DAY 33 | PRICE $2326.06 | ACTION BUY
DAY 34 | PRICE $2362.42 | ACTION BUY
DAY 35 | PRICE $2410.79 | ACTION BUY
DAY 37 | PRICE $2291.32 | ACTION SELL
DAY 39 | PRICE $2325.03 | ACTION SELL
DAY 41 | PRICE $2266.93 | ACTION SELL
DAY 42 | PRICE $2404.97 | ACTION BUY
DAY 44 | PRICE $2539.79 | ACTION SELL
DAY 50 | PRICE $2961.37 | ACTION BUY
DAY 52 | PRICE $3077.15 | ACTION BUY
DAY 53 | PRICE $3118.89 | ACTION SELL
DAY 54 | PRICE $3091.85 | ACTION BUY
DAY 55 | PRICE $3064.25 | ACTION BUY
DAY 57 | PRICE $2988.28 | ACTION SELL
DAY 58 | PRICE $2992.64 | ACTION BUY
DAY 63 | PRICE $3127.91 | ACTION SELL
DAY 64 | PRICE $3193.40 | ACTION BUY
DAY 81 | PRICE $3097.83 | ACTION SELL
DAY 82 | PRICE $3121.04 | ACTION BUY
DAY 84 | PRICE $3111.49 | ACTION SELL
DAY 86 | PRICE $3095.72 | ACTION BUY
DAY 101 | PRICE $2914.73 | ACTION SELL
DAY 103 | PRICE $2591.53 | ACTION BUY
DAY 112 | PRICE $2685.52 | ACTION SELL
DAY 113 | PRICE $2685.01 | ACTION BUY
