Evaluation of kospi_ours_fold4 with a3c agent and sharpe indicator
Namespace(stock='kospi_ours_fold4', window=30, episodes=10, agent='a3c', lr=0.001, cash=10, normalizer=1, indicator='sharpe', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 2 | PRICE $2204.49 | ACTION BUY
DAY 3 | PRICE $2258.09 | ACTION BUY
DAY 4 | PRICE $2172.33 | ACTION SELL
DAY 5 | PRICE $2154.88 | ACTION BUY
DAY 6 | PRICE $2214.77 | ACTION SELL
DAY 7 | PRICE $2191.20 | ACTION SELL
DAY 11 | PRICE $1591.12 | ACTION BUY
DAY 12 | PRICE $1645.28 | ACTION BUY
DAY 13 | PRICE $1685.37 | ACTION SELL
DAY 14 | PRICE $1801.80 | ACTION BUY
DAY 15 | PRICE $1828.13 | ACTION BUY
DAY 17 | PRICE $1894.29 | ACTION SELL
DAY 18 | PRICE $1905.17 | ACTION SELL
DAY 19 | PRICE $1968.59 | ACTION SELL
DAY 29 | PRICE $2237.21 | ACTION BUY
DAY 31 | PRICE $2396.11 | ACTION SELL
DAY 33 | PRICE $2336.98 | ACTION BUY
DAY 34 | PRICE $2341.29 | ACTION SELL
DAY 36 | PRICE $2429.94 | ACTION BUY
DAY 38 | PRICE $2327.83 | ACTION BUY
DAY 40 | PRICE $2322.06 | ACTION BUY
DAY 41 | PRICE $2321.23 | ACTION SELL
DAY 42 | PRICE $2315.30 | ACTION SELL
DAY 43 | PRICE $2435.59 | ACTION BUY
DAY 44 | PRICE $2533.34 | ACTION SELL
DAY 46 | PRICE $2611.67 | ACTION SELL
DAY 47 | PRICE $2700.92 | ACTION BUY
DAY 48 | PRICE $2735.08 | ACTION SELL
DAY 52 | PRICE $3085.90 | ACTION BUY
DAY 53 | PRICE $3140.60 | ACTION BUY
DAY 54 | PRICE $2962.70 | ACTION SELL
DAY 55 | PRICE $3081.78 | ACTION BUY
DAY 56 | PRICE $3145.84 | ACTION SELL
DAY 57 | PRICE $3035.46 | ACTION SELL
DAY 61 | PRICE $2971.04 | ACTION BUY
DAY 62 | PRICE $3061.40 | ACTION SELL
DAY 63 | PRICE $3125.33 | ACTION BUY
DAY 64 | PRICE $3162.12 | ACTION BUY
DAY 66 | PRICE $3176.55 | ACTION BUY
DAY 67 | PRICE $3133.64 | ACTION SELL
DAY 68 | PRICE $3103.88 | ACTION SELL
DAY 69 | PRICE $3149.46 | ACTION BUY
DAY 70 | PRICE $3171.85 | ACTION BUY
DAY 73 | PRICE $3262.58 | ACTION SELL
DAY 75 | PRICE $3278.19 | ACTION SELL
DAY 76 | PRICE $3188.80 | ACTION BUY
DAY 77 | PRICE $3259.32 | ACTION BUY
DAY 81 | PRICE $3146.76 | ACTION SELL
DAY 82 | PRICE $3064.65 | ACTION SELL
DAY 83 | PRICE $3132.77 | ACTION SELL
DAY 86 | PRICE $3107.98 | ACTION BUY
DAY 87 | PRICE $3046.43 | ACTION BUY
DAY 88 | PRICE $2949.01 | ACTION SELL
DAY 90 | PRICE $2983.29 | ACTION SELL
DAY 91 | PRICE $2976.87 | ACTION BUY
DAY 92 | PRICE $2930.90 | ACTION BUY
DAY 93 | PRICE $2979.96 | ACTION BUY
DAY 97 | PRICE $3000.51 | ACTION SELL
DAY 98 | PRICE $2962.07 | ACTION SELL
DAY 99 | PRICE $2999.30 | ACTION BUY
DAY 100 | PRICE $2973.08 | ACTION BUY
DAY 101 | PRICE $2909.82 | ACTION SELL
DAY 102 | PRICE $2857.26 | ACTION SELL
DAY 103 | PRICE $2703.99 | ACTION SELL
DAY 104 | PRICE $2712.87 | ACTION BUY
DAY 106 | PRICE $2711.88 | ACTION SELL
DAY 110 | PRICE $2686.58 | ACTION BUY
DAY 111 | PRICE $2733.22 | ACTION BUY
