Evaluation of nasdaq_ours_fold2 with a3c agent and var indicator
Namespace(stock='nasdaq_ours_fold2', window=30, episodes=10, agent='a3c', lr=0.001, cash=10, normalizer=1, indicator='var', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 3 | PRICE $9088.04 | ACTION BUY
DAY 4 | PRICE $9188.55 | ACTION SELL
DAY 5 | PRICE $9493.63 | ACTION BUY
DAY 6 | PRICE $9675.80 | ACTION BUY
DAY 8 | PRICE $8602.89 | ACTION BUY
DAY 9 | PRICE $7930.43 | ACTION BUY
DAY 10 | PRICE $6828.91 | ACTION SELL
DAY 11 | PRICE $7169.86 | ACTION SELL
DAY 12 | PRICE $7642.86 | ACTION SELL
DAY 14 | PRICE $8308.79 | ACTION SELL
DAY 16 | PRICE $8765.01 | ACTION BUY
DAY 17 | PRICE $8819.37 | ACTION SELL
DAY 25 | PRICE $10194.06 | ACTION BUY
DAY 27 | PRICE $10421.20 | ACTION BUY
DAY 31 | PRICE $10972.06 | ACTION SELL
DAY 33 | PRICE $11634.77 | ACTION BUY
DAY 34 | PRICE $10875.87 | ACTION SELL
DAY 35 | PRICE $10982.26 | ACTION BUY
DAY 36 | PRICE $10519.49 | ACTION SELL
DAY 37 | PRICE $11019.14 | ACTION BUY
DAY 40 | PRICE $11454.57 | ACTION SELL
DAY 41 | PRICE $11221.06 | ACTION SELL
DAY 42 | PRICE $10830.94 | ACTION BUY
DAY 44 | PRICE $11814.89 | ACTION SELL
DAY 45 | PRICE $11796.53 | ACTION BUY
DAY 46 | PRICE $12263.93 | ACTION BUY
DAY 47 | PRICE $12453.21 | ACTION SELL
DAY 48 | PRICE $12465.42 | ACTION BUY
DAY 55 | PRICE $13761.66 | ACTION SELL
DAY 58 | PRICE $13362.66 | ACTION SELL
DAY 59 | PRICE $12599.23 | ACTION BUY
DAY 61 | PRICE $13278.78 | ACTION SELL
DAY 64 | PRICE $13902.45 | ACTION BUY
DAY 66 | PRICE $14064.28 | ACTION BUY
DAY 67 | PRICE $13485.59 | ACTION SELL
DAY 68 | PRICE $13107.67 | ACTION BUY
DAY 70 | PRICE $13631.80 | ACTION SELL
DAY 73 | PRICE $13903.73 | ACTION SELL
DAY 79 | PRICE $14761.38 | ACTION BUY
DAY 80 | PRICE $14776.03 | ACTION BUY
DAY 81 | PRICE $14698.94 | ACTION SELL
DAY 83 | PRICE $14939.56 | ACTION BUY
