Evaluation of hangsen_ours_fold1 with ac agent and var indicator
Namespace(stock='hangsen_ours_fold1', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='var', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $27675.24 | ACTION BUY
DAY 7 | PRICE $27695.60 | ACTION SELL
DAY 10 | PRICE $26315.36 | ACTION BUY
DAY 11 | PRICE $24117.94 | ACTION BUY
DAY 12 | PRICE $21139.26 | ACTION SELL
DAY 13 | PRICE $23163.67 | ACTION SELL
DAY 14 | PRICE $22756.13 | ACTION BUY
DAY 15 | PRICE $24045.18 | ACTION SELL
DAY 17 | PRICE $24030.54 | ACTION BUY
DAY 18 | PRICE $23868.02 | ACTION BUY
DAY 20 | PRICE $24315.75 | ACTION BUY
DAY 22 | PRICE $24219.96 | ACTION SELL
DAY 23 | PRICE $24968.30 | ACTION SELL
DAY 26 | PRICE $25182.60 | ACTION BUY
DAY 28 | PRICE $25015.28 | ACTION SELL
DAY 32 | PRICE $25040.55 | ACTION BUY
DAY 33 | PRICE $24885.86 | ACTION SELL
DAY 34 | PRICE $25258.16 | ACTION BUY
DAY 36 | PRICE $24293.03 | ACTION SELL
DAY 37 | PRICE $24295.01 | ACTION BUY
DAY 38 | PRICE $23124.25 | ACTION BUY
DAY 39 | PRICE $23842.25 | ACTION SELL
DAY 41 | PRICE $24456.84 | ACTION SELL
DAY 42 | PRICE $24586.06 | ACTION SELL
DAY 44 | PRICE $26168.63 | ACTION BUY
DAY 46 | PRICE $26591.30 | ACTION SELL
DAY 48 | PRICE $26445.66 | ACTION BUY
DAY 49 | PRICE $26318.74 | ACTION SELL
DAY 50 | PRICE $26071.76 | ACTION BUY
DAY 51 | PRICE $27163.51 | ACTION SELL
DAY 53 | PRICE $28294.66 | ACTION BUY
DAY 58 | PRICE $30126.40 | ACTION SELL
DAY 60 | PRICE $28326.13 | ACTION BUY
DAY 61 | PRICE $28872.40 | ACTION SELL
DAY 65 | PRICE $28711.11 | ACTION BUY
DAY 67 | PRICE $28701.69 | ACTION SELL
DAY 68 | PRICE $28530.71 | ACTION BUY
DAY 69 | PRICE $27715.88 | ACTION SELL
DAY 81 | PRICE $26454.45 | ACTION BUY
DAY 83 | PRICE $25548.47 | ACTION SELL
DAY 95 | PRICE $24869.94 | ACTION BUY
DAY 100 | PRICE $23099.48 | ACTION SELL
DAY 113 | PRICE $21558.05 | ACTION BUY
DAY 114 | PRICE $21132.54 | ACTION SELL
DAY 122 | PRICE $20993.76 | ACTION BUY
DAY 123 | PRICE $20839.02 | ACTION SELL
DAY 126 | PRICE $20779.59 | ACTION BUY
