Evaluation of hangsen_ours_fold2 with ac agent and cvar indicator
Namespace(stock='hangsen_ours_fold2', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='cvar', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 4 | PRICE $27937.68 | ACTION BUY
DAY 7 | PRICE $27695.59 | ACTION BUY
DAY 11 | PRICE $22519.32 | ACTION BUY
DAY 13 | PRICE $23354.01 | ACTION BUY
DAY 14 | PRICE $23030.58 | ACTION BUY
DAY 15 | PRICE $24283.13 | ACTION SELL
DAY 20 | PRICE $24208.16 | ACTION BUY
DAY 21 | PRICE $22779.62 | ACTION BUY
DAY 36 | PRICE $24556.52 | ACTION SELL
DAY 37 | PRICE $23928.02 | ACTION BUY
DAY 38 | PRICE $23250.34 | ACTION SELL
DAY 40 | PRICE $24498.94 | ACTION SELL
DAY 41 | PRICE $24653.16 | ACTION BUY
DAY 42 | PRICE $24258.56 | ACTION SELL
DAY 44 | PRICE $26071.15 | ACTION BUY
DAY 45 | PRICE $26311.64 | ACTION BUY
DAY 47 | PRICE $26556.02 | ACTION SELL
DAY 51 | PRICE $27079.24 | ACTION BUY
DAY 60 | PRICE $28710.91 | ACTION SELL
DAY 61 | PRICE $28780.23 | ACTION BUY
DAY 63 | PRICE $28332.78 | ACTION SELL
DAY 64 | PRICE $28274.27 | ACTION BUY
DAY 65 | PRICE $28806.76 | ACTION SELL
DAY 67 | PRICE $28256.03 | ACTION BUY
DAY 77 | PRICE $27741.09 | ACTION SELL
DAY 78 | PRICE $27455.43 | ACTION BUY
DAY 85 | PRICE $25624.52 | ACTION SELL
DAY 86 | PRICE $24505.21 | ACTION BUY
DAY 90 | PRICE $25458.03 | ACTION SELL
DAY 91 | PRICE $25905.08 | ACTION BUY
DAY 104 | PRICE $24123.70 | ACTION SELL
DAY 106 | PRICE $24482.86 | ACTION SELL
DAY 109 | PRICE $20826.36 | ACTION SELL
DAY 111 | PRICE $21096.31 | ACTION SELL
DAY 117 | PRICE $19973.47 | ACTION BUY
DAY 118 | PRICE $19764.96 | ACTION BUY
DAY 120 | PRICE $20885.02 | ACTION SELL
DAY 122 | PRICE $20717.64 | ACTION BUY
DAY 126 | PRICE $20751.48 | ACTION BUY
DAY 127 | PRICE $20884.92 | ACTION SELL
DAY 131 | PRICE $19800.58 | ACTION BUY
DAY 132 | PRICE $19189.54 | ACTION BUY
DAY 136 | PRICE $17965.33 | ACTION BUY
DAY 157 | PRICE $19804.56 | ACTION SELL
DAY 158 | PRICE $20410.00 | ACTION SELL
DAY 159 | PRICE $19390.38 | ACTION BUY
DAY 161 | PRICE $19509.49 | ACTION SELL
DAY 162 | PRICE $20226.95 | ACTION SELL
DAY 164 | PRICE $20308.33 | ACTION BUY
DAY 166 | PRICE $19968.41 | ACTION BUY
DAY 168 | PRICE $19352.81 | ACTION BUY
DAY 169 | PRICE $18517.86 | ACTION SELL
DAY 170 | PRICE $18896.13 | ACTION BUY
DAY 192 | PRICE $17126.61 | ACTION SELL
DAY 193 | PRICE $17532.73 | ACTION BUY
DAY 198 | PRICE $16439.26 | ACTION SELL
DAY 201 | PRICE $15183.96 | ACTION BUY
DAY 211 | PRICE $16689.19 | ACTION SELL
DAY 212 | PRICE $16856.19 | ACTION BUY
DAY 217 | PRICE $19574.56 | ACTION SELL
DAY 218 | PRICE $18504.53 | ACTION BUY
DAY 219 | PRICE $18283.56 | ACTION SELL
DAY 221 | PRICE $17854.79 | ACTION BUY
DAY 223 | PRICE $17808.27 | ACTION SELL
DAY 226 | PRICE $17251.26 | ACTION BUY
DAY 229 | PRICE $17055.70 | ACTION SELL
DAY 230 | PRICE $17232.13 | ACTION BUY
DAY 231 | PRICE $17659.29 | ACTION SELL
DAY 242 | PRICE $19522.59 | ACTION BUY
DAY 246 | PRICE $19908.57 | ACTION LIQUIDATE
DAY 246 | PRICE $19908.57 | ACTION LIQUIDATE
DAY 246 | PRICE $19908.57 | ACTION LIQUIDATE
DAY 246 | PRICE $19908.57 | ACTION LIQUIDATE
DAY 246 | PRICE $19908.57 | ACTION LIQUIDATE
DAY 246 | PRICE $19908.57 | ACTION LIQUIDATE
DAY 246 | PRICE $19908.57 | ACTION LIQUIDATE
Initial Cash: $156884.90
Total Profit: -$15919.60
Final Cash:  $140965.30
Price Change: $27740.66 → $19908.57 (-28.23%)
