Evaluation of hangsen_ours_fold2 with ac agent and sharpe indicator
Namespace(stock='hangsen_ours_fold2', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='sharpe', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 3 | PRICE $28619.10 | ACTION BUY
DAY 5 | PRICE $26295.49 | ACTION SELL
DAY 10 | PRICE $26084.23 | ACTION BUY
DAY 11 | PRICE $22519.32 | ACTION BUY
DAY 12 | PRICE $22147.34 | ACTION SELL
DAY 16 | PRICE $23676.13 | ACTION SELL
DAY 17 | PRICE $24176.88 | ACTION BUY
DAY 19 | PRICE $23790.27 | ACTION BUY
DAY 20 | PRICE $24208.16 | ACTION BUY
DAY 21 | PRICE $22779.62 | ACTION BUY
DAY 23 | PRICE $24480.15 | ACTION SELL
DAY 24 | PRICE $24121.89 | ACTION SELL
DAY 25 | PRICE $24537.77 | ACTION SELL
DAY 26 | PRICE $25543.15 | ACTION SELL
DAY 28 | PRICE $24766.17 | ACTION BUY
DAY 29 | PRICE $24526.91 | ACTION SELL
DAY 33 | PRICE $25325.15 | ACTION BUY
DAY 34 | PRICE $25177.05 | ACTION SELL
DAY 39 | PRICE $23905.42 | ACTION BUY
DAY 41 | PRICE $24653.16 | ACTION SELL
DAY 47 | PRICE $26556.02 | ACTION BUY
DAY 49 | PRICE $26390.59 | ACTION SELL
DAY 50 | PRICE $26221.30 | ACTION BUY
DAY 53 | PRICE $28390.29 | ACTION SELL
DAY 54 | PRICE $29673.26 | ACTION BUY
DAY 55 | PRICE $28382.26 | ACTION SELL
DAY 59 | PRICE $29183.59 | ACTION BUY
DAY 60 | PRICE $28710.91 | ACTION SELL
DAY 61 | PRICE $28780.23 | ACTION BUY
DAY 62 | PRICE $27827.05 | ACTION SELL
DAY 75 | PRICE $28827.70 | ACTION BUY
DAY 76 | PRICE $27110.62 | ACTION SELL
DAY 80 | PRICE $26126.37 | ACTION BUY
DAY 81 | PRICE $26385.45 | ACTION BUY
DAY 82 | PRICE $25183.67 | ACTION SELL
DAY 83 | PRICE $25255.83 | ACTION BUY
DAY 84 | PRICE $25967.98 | ACTION SELL
DAY 85 | PRICE $25624.52 | ACTION SELL
DAY 87 | PRICE $24095.79 | ACTION BUY
DAY 88 | PRICE $23908.05 | ACTION SELL
DAY 96 | PRICE $23175.37 | ACTION BUY
DAY 97 | PRICE $23512.50 | ACTION SELL
DAY 98 | PRICE $23560.13 | ACTION BUY
DAY 102 | PRICE $24069.52 | ACTION SELL
DAY 105 | PRICE $24365.89 | ACTION BUY
DAY 106 | PRICE $24482.86 | ACTION BUY
DAY 107 | PRICE $23998.77 | ACTION SELL
DAY 109 | PRICE $20826.36 | ACTION SELL
DAY 110 | PRICE $19416.78 | ACTION BUY
DAY 111 | PRICE $21096.31 | ACTION BUY
DAY 112 | PRICE $21202.69 | ACTION BUY
DAY 113 | PRICE $22124.03 | ACTION BUY
DAY 114 | PRICE $20988.20 | ACTION BUY
DAY 116 | PRICE $19956.67 | ACTION SELL
DAY 117 | PRICE $19973.47 | ACTION SELL
DAY 118 | PRICE $19764.96 | ACTION SELL
DAY 119 | PRICE $20303.55 | ACTION BUY
DAY 120 | PRICE $20885.02 | ACTION BUY
DAY 121 | PRICE $21394.59 | ACTION BUY
DAY 122 | PRICE $20717.64 | ACTION BUY
DAY 124 | PRICE $21952.44 | ACTION SELL
DAY 125 | PRICE $21286.66 | ACTION SELL
DAY 126 | PRICE $20751.48 | ACTION SELL
