Evaluation of hangsen_ours_fold3 with ac agent and kelly indicator
Namespace(stock='hangsen_ours_fold3', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='kelly', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $27830.08 | ACTION BUY
DAY 1 | PRICE $28245.97 | ACTION BUY
DAY 3 | PRICE $28709.57 | ACTION BUY
DAY 4 | PRICE $27706.37 | ACTION SELL
DAY 5 | PRICE $26145.59 | ACTION SELL
DAY 6 | PRICE $27044.88 | ACTION BUY
DAY 7 | PRICE $27766.71 | ACTION SELL
DAY 8 | PRICE $26813.22 | ACTION SELL
DAY 22 | PRICE $24253.56 | ACTION BUY
DAY 23 | PRICE $23895.03 | ACTION SELL
DAY 25 | PRICE $24148.62 | ACTION BUY
DAY 26 | PRICE $25911.74 | ACTION SELL
DAY 31 | PRICE $24662.04 | ACTION BUY
DAY 32 | PRICE $25257.88 | ACTION SELL
DAY 38 | PRICE $23256.92 | ACTION BUY
DAY 39 | PRICE $24021.93 | ACTION BUY
DAY 40 | PRICE $24102.21 | ACTION SELL
DAY 41 | PRICE $24556.55 | ACTION BUY
DAY 42 | PRICE $24029.95 | ACTION SELL
DAY 43 | PRICE $25540.98 | ACTION BUY
DAY 44 | PRICE $25909.18 | ACTION SELL
DAY 47 | PRICE $26652.34 | ACTION SELL
DAY 50 | PRICE $26264.32 | ACTION BUY
DAY 51 | PRICE $27150.38 | ACTION BUY
DAY 52 | PRICE $27781.42 | ACTION SELL
DAY 53 | PRICE $29100.17 | ACTION SELL
DAY 54 | PRICE $29345.74 | ACTION BUY
DAY 55 | PRICE $29198.86 | ACTION SELL
DAY 59 | PRICE $29102.10 | ACTION BUY
DAY 61 | PRICE $29317.61 | ACTION SELL
DAY 62 | PRICE $27505.08 | ACTION BUY
DAY 63 | PRICE $28511.65 | ACTION SELL
DAY 66 | PRICE $28793.22 | ACTION BUY
DAY 68 | PRICE $27910.71 | ACTION SELL
DAY 75 | PRICE $28231.73 | ACTION BUY
DAY 76 | PRICE $26861.87 | ACTION BUY
DAY 77 | PRICE $27878.53 | ACTION BUY
DAY 78 | PRICE $27222.04 | ACTION BUY
DAY 79 | PRICE $25636.89 | ACTION SELL
DAY 80 | PRICE $26002.41 | ACTION SELL
DAY 81 | PRICE $26200.24 | ACTION SELL
DAY 82 | PRICE $24581.60 | ACTION SELL
DAY 86 | PRICE $24424.74 | ACTION BUY
DAY 87 | PRICE $24131.42 | ACTION SELL
DAY 88 | PRICE $23681.44 | ACTION BUY
DAY 89 | PRICE $24865.80 | ACTION SELL
DAY 95 | PRICE $24557.63 | ACTION BUY
DAY 96 | PRICE $23537.65 | ACTION BUY
DAY 97 | PRICE $23907.30 | ACTION SELL
DAY 98 | PRICE $23325.92 | ACTION BUY
DAY 100 | PRICE $22990.24 | ACTION SELL
DAY 103 | PRICE $24233.18 | ACTION SELL
DAY 105 | PRICE $24149.75 | ACTION BUY
DAY 106 | PRICE $24219.90 | ACTION SELL
DAY 107 | PRICE $23336.78 | ACTION BUY
DAY 108 | PRICE $22591.73 | ACTION SELL
DAY 109 | PRICE $20638.95 | ACTION BUY
DAY 110 | PRICE $18235.48 | ACTION SELL
DAY 113 | PRICE $22015.12 | ACTION BUY
DAY 114 | PRICE $21141.06 | ACTION SELL
DAY 116 | PRICE $20040.07 | ACTION BUY
DAY 117 | PRICE $19178.89 | ACTION SELL
DAY 118 | PRICE $20169.24 | ACTION BUY
DAY 119 | PRICE $19989.62 | ACTION SELL
DAY 124 | PRICE $21844.05 | ACTION BUY
DAY 128 | PRICE $20533.42 | ACTION SELL
DAY 138 | PRICE $17174.61 | ACTION BUY
DAY 139 | PRICE $16308.95 | ACTION BUY
DAY 141 | PRICE $14597.31 | ACTION BUY
DAY 143 | PRICE $17518.88 | ACTION BUY
DAY 145 | PRICE $16833.68 | ACTION BUY
DAY 147 | PRICE $19366.22 | ACTION SELL
DAY 148 | PRICE $19255.95 | ACTION BUY
DAY 149 | PRICE $19787.94 | ACTION BUY
DAY 150 | PRICE $20962.40 | ACTION SELL
DAY 151 | PRICE $21223.84 | ACTION BUY
DAY 152 | PRICE $21383.03 | ACTION BUY
DAY 157 | PRICE $19783.07 | ACTION SELL
DAY 158 | PRICE $20358.78 | ACTION SELL
DAY 159 | PRICE $19122.82 | ACTION SELL
DAY 161 | PRICE $19559.47 | ACTION SELL
DAY 162 | PRICE $20126.90 | ACTION BUY
DAY 164 | PRICE $19974.91 | ACTION BUY
DAY 165 | PRICE $19879.07 | ACTION SELL
DAY 166 | PRICE $20081.70 | ACTION BUY
DAY 167 | PRICE $19498.04 | ACTION BUY
DAY 168 | PRICE $19410.07 | ACTION SELL
DAY 169 | PRICE $18369.93 | ACTION SELL
DAY 170 | PRICE $19033.85 | ACTION SELL
DAY 171 | PRICE $19273.42 | ACTION BUY
DAY 172 | PRICE $19504.63 | ACTION BUY
DAY 173 | PRICE $19019.26 | ACTION SELL
DAY 174 | PRICE $19095.60 | ACTION SELL
DAY 176 | PRICE $18711.03 | ACTION SELL
DAY 177 | PRICE $19245.66 | ACTION BUY
DAY 178 | PRICE $19475.15 | ACTION BUY
DAY 179 | PRICE $19056.10 | ACTION BUY
DAY 180 | PRICE $18261.85 | ACTION SELL
DAY 181 | PRICE $17730.79 | ACTION SELL
DAY 182 | PRICE $18427.22 | ACTION SELL
DAY 183 | PRICE $18173.44 | ACTION SELL
