Evaluation of hangsen_ours_fold4 with ac agent and none indicator
Namespace(stock='hangsen_ours_fold4', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='none', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 5 | PRICE $26491.66 | ACTION BUY
DAY 6 | PRICE $27436.99 | ACTION SELL
DAY 11 | PRICE $22676.46 | ACTION BUY
DAY 12 | PRICE $22383.25 | ACTION SELL
DAY 15 | PRICE $23854.79 | ACTION BUY
DAY 16 | PRICE $23806.30 | ACTION SELL
DAY 18 | PRICE $24470.18 | ACTION BUY
DAY 20 | PRICE $22519.73 | ACTION SELL
DAY 27 | PRICE $25299.36 | ACTION BUY
DAY 29 | PRICE $24671.51 | ACTION SELL
DAY 34 | PRICE $24931.17 | ACTION BUY
DAY 36 | PRICE $24635.24 | ACTION BUY
DAY 37 | PRICE $23559.99 | ACTION SELL
DAY 38 | PRICE $23368.49 | ACTION BUY
DAY 39 | PRICE $24059.29 | ACTION SELL
DAY 40 | PRICE $24194.41 | ACTION SELL
DAY 43 | PRICE $25950.41 | ACTION BUY
DAY 44 | PRICE $26191.54 | ACTION SELL
DAY 46 | PRICE $26322.68 | ACTION BUY
DAY 47 | PRICE $26256.40 | ACTION SELL
DAY 48 | PRICE $26318.11 | ACTION BUY
DAY 49 | PRICE $26274.65 | ACTION SELL
DAY 55 | PRICE $28967.01 | ACTION BUY
DAY 56 | PRICE $29732.23 | ACTION SELL
DAY 62 | PRICE $28014.29 | ACTION BUY
DAY 63 | PRICE $28598.86 | ACTION SELL
DAY 68 | PRICE $27897.47 | ACTION BUY
DAY 70 | PRICE $28950.72 | ACTION SELL
DAY 71 | PRICE $28902.67 | ACTION BUY
DAY 72 | PRICE $28664.94 | ACTION BUY
DAY 73 | PRICE $28532.08 | ACTION BUY
DAY 74 | PRICE $28971.60 | ACTION SELL
DAY 75 | PRICE $28042.71 | ACTION SELL
DAY 77 | PRICE $27397.29 | ACTION SELL
DAY 79 | PRICE $25743.09 | ACTION BUY
DAY 82 | PRICE $25036.99 | ACTION SELL
DAY 93 | PRICE $24836.21 | ACTION BUY
DAY 95 | PRICE $24532.82 | ACTION SELL
DAY 104 | PRICE $23507.03 | ACTION BUY
DAY 105 | PRICE $24690.45 | ACTION SELL
DAY 108 | PRICE $22299.14 | ACTION BUY
DAY 109 | PRICE $20102.57 | ACTION SELL
DAY 120 | PRICE $21154.04 | ACTION BUY
DAY 121 | PRICE $21737.94 | ACTION BUY
DAY 122 | PRICE $20697.41 | ACTION SELL
DAY 123 | PRICE $21010.89 | ACTION BUY
DAY 124 | PRICE $21719.17 | ACTION SELL
DAY 125 | PRICE $21614.65 | ACTION SELL
DAY 135 | PRICE $18494.54 | ACTION BUY
DAY 137 | PRICE $16906.96 | ACTION SELL
DAY 138 | PRICE $16789.97 | ACTION BUY
DAY 139 | PRICE $16558.41 | ACTION SELL
DAY 148 | PRICE $18885.20 | ACTION BUY
DAY 149 | PRICE $19539.84 | ACTION SELL
DAY 152 | PRICE $21754.35 | ACTION BUY
DAY 153 | PRICE $21703.60 | ACTION BUY
DAY 154 | PRICE $21178.87 | ACTION SELL
DAY 155 | PRICE $20726.83 | ACTION SELL
DAY 156 | PRICE $20344.86 | ACTION BUY
DAY 157 | PRICE $19849.97 | ACTION SELL
DAY 162 | PRICE $20099.48 | ACTION BUY
DAY 163 | PRICE $20299.15 | ACTION SELL
DAY 165 | PRICE $19761.13 | ACTION BUY
DAY 166 | PRICE $19817.78 | ACTION BUY
DAY 167 | PRICE $19891.49 | ACTION SELL
DAY 168 | PRICE $19363.50 | ACTION BUY
DAY 171 | PRICE $19352.34 | ACTION BUY
DAY 172 | PRICE $19174.16 | ACTION SELL
DAY 173 | PRICE $18837.32 | ACTION BUY
DAY 174 | PRICE $18483.08 | ACTION SELL
DAY 176 | PRICE $18888.76 | ACTION SELL
DAY 177 | PRICE $19482.47 | ACTION SELL
DAY 188 | PRICE $17671.99 | ACTION BUY
DAY 189 | PRICE $17001.43 | ACTION SELL
DAY 190 | PRICE $16979.26 | ACTION BUY
DAY 193 | PRICE $17650.49 | ACTION SELL
DAY 200 | PRICE $16104.50 | ACTION BUY
DAY 201 | PRICE $14794.16 | ACTION BUY
DAY 202 | PRICE $16012.59 | ACTION BUY
DAY 205 | PRICE $16138.81 | ACTION SELL
DAY 206 | PRICE $16517.84 | ACTION SELL
DAY 207 | PRICE $16145.22 | ACTION SELL
DAY 211 | PRICE $16580.53 | ACTION BUY
DAY 213 | PRICE $16410.83 | ACTION SELL
DAY 215 | PRICE $18411.02 | ACTION BUY
DAY 216 | PRICE $19072.64 | ACTION BUY
DAY 217 | PRICE $19149.41 | ACTION SELL
DAY 218 | PRICE $18425.09 | ACTION SELL
DAY 219 | PRICE $18375.27 | ACTION BUY
DAY 221 | PRICE $18274.20 | ACTION SELL
DAY 228 | PRICE $17079.35 | ACTION BUY
DAY 230 | PRICE $17493.08 | ACTION SELL
DAY 233 | PRICE $17177.08 | ACTION BUY
DAY 235 | PRICE $21289.60 | ACTION SELL
Initial Cash: $151087.50
Total Profit: -$2130.29
Final Cash:  $148957.21
Price Change: $27792.66 → $19968.07 (-28.15%)
