Evaluation of japan_ni_ours_fold2 with ac agent and none indicator
Namespace(stock='japan_ni_ours_fold2', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='none', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 3 | PRICE $23317.32 | ACTION BUY
DAY 4 | PRICE $22775.92 | ACTION BUY
DAY 5 | PRICE $23621.72 | ACTION BUY
DAY 6 | PRICE $23133.60 | ACTION BUY
DAY 9 | PRICE $19392.25 | ACTION SELL
DAY 10 | PRICE $16698.46 | ACTION SELL
DAY 11 | PRICE $18512.81 | ACTION SELL
DAY 12 | PRICE $17707.66 | ACTION SELL
DAY 23 | PRICE $22479.86 | ACTION BUY
DAY 24 | PRICE $22039.56 | ACTION SELL
DAY 25 | PRICE $22438.65 | ACTION BUY
DAY 26 | PRICE $22800.11 | ACTION SELL
DAY 28 | PRICE $21710.00 | ACTION BUY
DAY 29 | PRICE $22204.61 | ACTION BUY
DAY 31 | PRICE $22862.54 | ACTION BUY
DAY 32 | PRICE $23102.61 | ACTION BUY
DAY 34 | PRICE $23429.42 | ACTION SELL
DAY 35 | PRICE $23154.45 | ACTION BUY
DAY 38 | PRICE $23458.43 | ACTION SELL
DAY 39 | PRICE $23436.17 | ACTION BUY
DAY 40 | PRICE $23170.76 | ACTION BUY
DAY 41 | PRICE $24039.16 | ACTION SELL
DAY 42 | PRICE $25215.31 | ACTION BUY
DAY 44 | PRICE $26405.83 | ACTION BUY
DAY 48 | PRICE $26664.60 | ACTION SELL
DAY 49 | PRICE $27002.18 | ACTION SELL
DAY 50 | PRICE $28411.58 | ACTION SELL
DAY 52 | PRICE $27975.85 | ACTION SELL
DAY 53 | PRICE $28325.89 | ACTION SELL
DAY 55 | PRICE $29847.33 | ACTION BUY
DAY 56 | PRICE $29396.04 | ACTION SELL
DAY 57 | PRICE $28644.26 | ACTION SELL
DAY 58 | PRICE $29670.31 | ACTION BUY
DAY 59 | PRICE $29107.63 | ACTION SELL
DAY 60 | PRICE $29200.88 | ACTION BUY
DAY 61 | PRICE $30024.25 | ACTION SELL
DAY 62 | PRICE $29538.73 | ACTION BUY
DAY 63 | PRICE $29530.84 | ACTION BUY
DAY 65 | PRICE $29237.36 | ACTION BUY
DAY 66 | PRICE $27723.70 | ACTION SELL
DAY 67 | PRICE $28193.03 | ACTION SELL
DAY 70 | PRICE $28839.54 | ACTION BUY
DAY 71 | PRICE $28957.98 | ACTION BUY
DAY 72 | PRICE $28992.74 | ACTION SELL
DAY 73 | PRICE $28688.63 | ACTION BUY
DAY 76 | PRICE $27862.69 | ACTION SELL
DAY 78 | PRICE $27974.99 | ACTION SELL
DAY 79 | PRICE $27347.77 | ACTION SELL
DAY 80 | PRICE $27684.05 | ACTION BUY
DAY 82 | PRICE $29787.13 | ACTION SELL
DAY 85 | PRICE $28680.73 | ACTION BUY
DAY 87 | PRICE $28726.22 | ACTION SELL
DAY 94 | PRICE $27961.66 | ACTION BUY
DAY 95 | PRICE $28309.67 | ACTION BUY
DAY 96 | PRICE $28226.43 | ACTION BUY
DAY 97 | PRICE $28879.68 | ACTION SELL
DAY 100 | PRICE $27129.61 | ACTION SELL
DAY 101 | PRICE $26289.69 | ACTION BUY
DAY 102 | PRICE $27075.99 | ACTION SELL
DAY 103 | PRICE $26947.65 | ACTION BUY
DAY 104 | PRICE $26549.00 | ACTION SELL
DAY 105 | PRICE $26821.75 | ACTION SELL
DAY 106 | PRICE $24767.33 | ACTION BUY
DAY 107 | PRICE $25219.13 | ACTION SELL
DAY 109 | PRICE $27736.27 | ACTION BUY
DAY 110 | PRICE $27214.61 | ACTION BUY
DAY 111 | PRICE $26429.47 | ACTION SELL
DAY 112 | PRICE $27066.18 | ACTION BUY
DAY 115 | PRICE $26440.62 | ACTION SELL
DAY 117 | PRICE $27250.70 | ACTION SELL
DAY 119 | PRICE $26357.90 | ACTION BUY
DAY 120 | PRICE $25972.28 | ACTION SELL
DAY 127 | PRICE $27729.46 | ACTION BUY
