Evaluation of japan_ni_ours_fold3 with ac agent and sharpe indicator
Namespace(stock='japan_ni_ours_fold3', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='sharpe', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 4 | PRICE $22854.45 | ACTION BUY
DAY 5 | PRICE $23693.72 | ACTION SELL
DAY 7 | PRICE $21844.29 | ACTION BUY
DAY 8 | PRICE $21220.76 | ACTION SELL
DAY 9 | PRICE $18339.27 | ACTION BUY
DAY 10 | PRICE $16358.19 | ACTION BUY
DAY 12 | PRICE $17646.50 | ACTION BUY
DAY 13 | PRICE $19235.96 | ACTION BUY
DAY 14 | PRICE $19554.70 | ACTION BUY
DAY 15 | PRICE $19175.38 | ACTION BUY
DAY 17 | PRICE $19902.93 | ACTION SELL
DAY 19 | PRICE $21580.50 | ACTION SELL
DAY 21 | PRICE $22466.54 | ACTION BUY
DAY 22 | PRICE $22125.35 | ACTION BUY
DAY 23 | PRICE $22165.14 | ACTION SELL
DAY 25 | PRICE $22434.38 | ACTION SELL
DAY 26 | PRICE $22739.42 | ACTION BUY
DAY 29 | PRICE $22497.07 | ACTION SELL
DAY 30 | PRICE $22948.89 | ACTION BUY
DAY 31 | PRICE $23225.39 | ACTION SELL
DAY 32 | PRICE $23047.77 | ACTION SELL
DAY 34 | PRICE $23351.35 | ACTION BUY
DAY 35 | PRICE $23039.48 | ACTION SELL
DAY 36 | PRICE $22951.41 | ACTION SELL
DAY 38 | PRICE $23382.67 | ACTION BUY
DAY 41 | PRICE $24541.28 | ACTION SELL
DAY 42 | PRICE $25640.29 | ACTION SELL
DAY 44 | PRICE $26618.39 | ACTION BUY
DAY 46 | PRICE $26605.54 | ACTION BUY
DAY 48 | PRICE $26921.14 | ACTION BUY
DAY 49 | PRICE $27340.46 | ACTION BUY
DAY 51 | PRICE $28527.16 | ACTION BUY
DAY 52 | PRICE $27629.80 | ACTION BUY
DAY 54 | PRICE $29662.41 | ACTION SELL
DAY 55 | PRICE $30089.18 | ACTION SELL
DAY 56 | PRICE $29314.82 | ACTION SELL
DAY 57 | PRICE $28609.21 | ACTION BUY
DAY 58 | PRICE $29755.47 | ACTION BUY
DAY 59 | PRICE $28995.92 | ACTION SELL
DAY 60 | PRICE $29283.89 | ACTION BUY
DAY 62 | PRICE $29573.79 | ACTION SELL
DAY 63 | PRICE $29014.36 | ACTION SELL
DAY 64 | PRICE $28990.19 | ACTION BUY
DAY 65 | PRICE $29346.14 | ACTION BUY
DAY 66 | PRICE $27632.53 | ACTION BUY
DAY 70 | PRICE $29026.27 | ACTION SELL
DAY 71 | PRICE $27795.86 | ACTION BUY
DAY 74 | PRICE $28405.60 | ACTION SELL
DAY 77 | PRICE $27488.74 | ACTION SELL
DAY 78 | PRICE $28006.31 | ACTION BUY
DAY 80 | PRICE $27684.50 | ACTION BUY
DAY 81 | PRICE $28412.91 | ACTION SELL
DAY 82 | PRICE $29909.92 | ACTION SELL
DAY 83 | PRICE $30202.51 | ACTION SELL
DAY 84 | PRICE $30197.40 | ACTION BUY
DAY 86 | PRICE $27893.32 | ACTION BUY
DAY 87 | PRICE $28924.40 | ACTION SELL
DAY 89 | PRICE $29267.63 | ACTION BUY
DAY 90 | PRICE $29240.31 | ACTION SELL
DAY 91 | PRICE $29681.25 | ACTION SELL
DAY 92 | PRICE $29212.93 | ACTION SELL
DAY 93 | PRICE $27594.01 | ACTION BUY
DAY 94 | PRICE $28621.47 | ACTION BUY
DAY 96 | PRICE $28473.85 | ACTION SELL
DAY 97 | PRICE $28729.61 | ACTION SELL
DAY 99 | PRICE $28274.18 | ACTION SELL
DAY 101 | PRICE $26541.65 | ACTION SELL
DAY 102 | PRICE $27085.32 | ACTION SELL
DAY 104 | PRICE $26243.73 | ACTION BUY
DAY 105 | PRICE $26313.72 | ACTION SELL
DAY 106 | PRICE $24681.74 | ACTION BUY
DAY 107 | PRICE $25470.46 | ACTION SELL
DAY 114 | PRICE $26003.26 | ACTION BUY
DAY 115 | PRICE $26741.34 | ACTION BUY
DAY 119 | PRICE $26321.68 | ACTION SELL
DAY 121 | PRICE $26687.47 | ACTION BUY
DAY 122 | PRICE $26051.19 | ACTION BUY
DAY 123 | PRICE $26389.10 | ACTION SELL
DAY 125 | PRICE $27651.99 | ACTION SELL
DAY 126 | PRICE $27870.05 | ACTION BUY
DAY 127 | PRICE $28207.86 | ACTION BUY
DAY 128 | PRICE $28913.05 | ACTION SELL
DAY 129 | PRICE $28608.70 | ACTION SELL
DAY 130 | PRICE $27570.74 | ACTION BUY
DAY 131 | PRICE $28091.38 | ACTION BUY
DAY 132 | PRICE $27525.68 | ACTION SELL
DAY 133 | PRICE $26523.77 | ACTION SELL
DAY 134 | PRICE $26633.52 | ACTION SELL
