Evaluation of japan_ni_ours_fold4 with ac agent and cvar indicator
Namespace(stock='japan_ni_ours_fold4', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='cvar', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 3 | PRICE $23214.28 | ACTION BUY
DAY 5 | PRICE $23784.31 | ACTION BUY
DAY 6 | PRICE $23426.42 | ACTION BUY
DAY 7 | PRICE $20916.40 | ACTION SELL
DAY 9 | PRICE $16690.60 | ACTION BUY
DAY 10 | PRICE $16480.95 | ACTION BUY
DAY 13 | PRICE $19014.32 | ACTION BUY
DAY 14 | PRICE $19611.79 | ACTION BUY
DAY 15 | PRICE $19410.18 | ACTION BUY
DAY 17 | PRICE $19832.88 | ACTION SELL
DAY 18 | PRICE $20334.99 | ACTION BUY
DAY 19 | PRICE $21710.80 | ACTION SELL
DAY 20 | PRICE $22563.56 | ACTION SELL
DAY 22 | PRICE $22352.16 | ACTION BUY
DAY 23 | PRICE $22408.27 | ACTION BUY
DAY 25 | PRICE $22285.07 | ACTION BUY
DAY 27 | PRICE $22646.22 | ACTION BUY
DAY 30 | PRICE $22953.60 | ACTION SELL
DAY 31 | PRICE $23203.00 | ACTION BUY
DAY 34 | PRICE $23397.43 | ACTION SELL
DAY 36 | PRICE $23252.69 | ACTION BUY
DAY 37 | PRICE $23501.26 | ACTION SELL
DAY 39 | PRICE $23475.52 | ACTION SELL
DAY 40 | PRICE $23096.79 | ACTION BUY
DAY 41 | PRICE $24833.18 | ACTION SELL
DAY 42 | PRICE $25851.54 | ACTION SELL
DAY 43 | PRICE $26258.35 | ACTION BUY
DAY 44 | PRICE $26695.28 | ACTION BUY
DAY 54 | PRICE $30191.65 | ACTION SELL
DAY 55 | PRICE $29671.70 | ACTION SELL
DAY 56 | PRICE $29336.60 | ACTION SELL
DAY 59 | PRICE $28379.06 | ACTION BUY
DAY 60 | PRICE $29165.52 | ACTION SELL
DAY 61 | PRICE $29523.55 | ACTION SELL
DAY 63 | PRICE $28419.84 | ACTION BUY
DAY 64 | PRICE $28875.91 | ACTION SELL
DAY 65 | PRICE $28535.36 | ACTION SELL
DAY 69 | PRICE $28897.64 | ACTION BUY
DAY 70 | PRICE $29235.71 | ACTION BUY
DAY 71 | PRICE $28494.46 | ACTION SELL
DAY 72 | PRICE $28735.55 | ACTION SELL
DAY 73 | PRICE $28587.61 | ACTION BUY
DAY 74 | PRICE $28699.04 | ACTION BUY
DAY 77 | PRICE $27526.67 | ACTION BUY
DAY 78 | PRICE $27949.33 | ACTION SELL
DAY 79 | PRICE $26954.81 | ACTION BUY
DAY 80 | PRICE $27481.23 | ACTION BUY
DAY 82 | PRICE $30064.02 | ACTION SELL
DAY 83 | PRICE $30358.93 | ACTION SELL
DAY 84 | PRICE $30001.99 | ACTION SELL
DAY 85 | PRICE $27460.29 | ACTION SELL
DAY 86 | PRICE $28166.38 | ACTION BUY
DAY 88 | PRICE $28893.95 | ACTION BUY
DAY 89 | PRICE $29457.18 | ACTION BUY
DAY 90 | PRICE $29079.77 | ACTION BUY
DAY 92 | PRICE $29444.45 | ACTION SELL
DAY 94 | PRICE $28725.47 | ACTION BUY
DAY 95 | PRICE $28782.19 | ACTION SELL
DAY 96 | PRICE $28640.15 | ACTION BUY
DAY 99 | PRICE $28129.66 | ACTION BUY
DAY 100 | PRICE $26890.94 | ACTION SELL
DAY 101 | PRICE $27016.71 | ACTION BUY
DAY 102 | PRICE $27280.25 | ACTION BUY
DAY 105 | PRICE $26496.72 | ACTION SELL
DAY 107 | PRICE $26152.89 | ACTION BUY
DAY 109 | PRICE $27399.48 | ACTION SELL
DAY 110 | PRICE $26764.36 | ACTION SELL
DAY 111 | PRICE $26784.92 | ACTION BUY
DAY 112 | PRICE $26904.38 | ACTION SELL
DAY 113 | PRICE $26610.86 | ACTION SELL
