Evaluation of japan_ni_ours_fold4 with ac agent and kelly indicator
Namespace(stock='japan_ni_ours_fold4', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='kelly', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $23299.92 | ACTION BUY
DAY 1 | PRICE $23875.82 | ACTION SELL
DAY 3 | PRICE $23214.28 | ACTION BUY
DAY 4 | PRICE $23241.64 | ACTION BUY
DAY 5 | PRICE $23784.31 | ACTION SELL
DAY 6 | PRICE $23426.42 | ACTION SELL
DAY 11 | PRICE $18578.20 | ACTION BUY
DAY 13 | PRICE $19014.32 | ACTION BUY
DAY 14 | PRICE $19611.79 | ACTION BUY
DAY 15 | PRICE $19410.18 | ACTION SELL
DAY 16 | PRICE $19894.58 | ACTION SELL
DAY 18 | PRICE $20334.99 | ACTION SELL
DAY 23 | PRICE $22408.27 | ACTION BUY
DAY 24 | PRICE $22154.97 | ACTION SELL
DAY 29 | PRICE $22670.74 | ACTION BUY
DAY 30 | PRICE $22953.60 | ACTION SELL
DAY 32 | PRICE $23170.82 | ACTION BUY
DAY 33 | PRICE $22878.71 | ACTION SELL
DAY 34 | PRICE $23397.43 | ACTION BUY
DAY 35 | PRICE $23154.66 | ACTION SELL
DAY 46 | PRICE $26717.03 | ACTION BUY
DAY 47 | PRICE $26414.74 | ACTION SELL
DAY 52 | PRICE $27649.07 | ACTION BUY
DAY 53 | PRICE $28817.60 | ACTION SELL
DAY 54 | PRICE $30191.65 | ACTION BUY
DAY 55 | PRICE $29671.70 | ACTION SELL
DAY 60 | PRICE $29165.52 | ACTION BUY
DAY 63 | PRICE $28419.84 | ACTION SELL
DAY 69 | PRICE $28897.64 | ACTION BUY
DAY 70 | PRICE $29235.71 | ACTION SELL
DAY 72 | PRICE $28735.55 | ACTION BUY
DAY 74 | PRICE $28699.04 | ACTION SELL
DAY 79 | PRICE $26954.81 | ACTION BUY
DAY 80 | PRICE $27481.23 | ACTION BUY
DAY 82 | PRICE $30064.02 | ACTION SELL
DAY 83 | PRICE $30358.93 | ACTION SELL
DAY 86 | PRICE $28166.38 | ACTION BUY
DAY 87 | PRICE $29075.37 | ACTION SELL
DAY 88 | PRICE $28893.95 | ACTION BUY
DAY 89 | PRICE $29457.18 | ACTION SELL
DAY 91 | PRICE $29623.79 | ACTION BUY
DAY 92 | PRICE $29444.45 | ACTION BUY
DAY 93 | PRICE $27644.96 | ACTION BUY
DAY 96 | PRICE $28640.15 | ACTION SELL
DAY 98 | PRICE $28089.49 | ACTION SELL
DAY 99 | PRICE $28129.66 | ACTION SELL
DAY 101 | PRICE $27016.71 | ACTION BUY
DAY 102 | PRICE $27280.25 | ACTION BUY
DAY 103 | PRICE $27227.24 | ACTION BUY
DAY 104 | PRICE $25775.64 | ACTION BUY
DAY 105 | PRICE $26496.72 | ACTION SELL
DAY 106 | PRICE $25099.85 | ACTION SELL
DAY 107 | PRICE $26152.89 | ACTION SELL
DAY 108 | PRICE $27946.79 | ACTION SELL
DAY 109 | PRICE $27399.48 | ACTION BUY
DAY 110 | PRICE $26764.36 | ACTION SELL
DAY 114 | PRICE $25688.11 | ACTION BUY
DAY 116 | PRICE $26604.84 | ACTION BUY
DAY 117 | PRICE $27251.24 | ACTION SELL
DAY 118 | PRICE $28189.35 | ACTION SELL
DAY 121 | PRICE $26324.31 | ACTION BUY
DAY 122 | PRICE $26136.99 | ACTION SELL
DAY 124 | PRICE $27701.25 | ACTION BUY
DAY 125 | PRICE $27725.24 | ACTION SELL
DAY 130 | PRICE $27511.68 | ACTION BUY
DAY 131 | PRICE $28438.37 | ACTION SELL
DAY 132 | PRICE $27627.86 | ACTION BUY
DAY 133 | PRICE $25938.36 | ACTION BUY
DAY 134 | PRICE $27030.55 | ACTION SELL
DAY 136 | PRICE $26872.45 | ACTION BUY
DAY 137 | PRICE $27330.79 | ACTION BUY
DAY 138 | PRICE $27032.02 | ACTION BUY
DAY 139 | PRICE $27837.09 | ACTION BUY
DAY 140 | PRICE $27877.78 | ACTION BUY
DAY 142 | PRICE $27700.86 | ACTION SELL
DAY 144 | PRICE $27165.78 | ACTION BUY
DAY 146 | PRICE $25661.89 | ACTION SELL
DAY 147 | PRICE $26381.93 | ACTION SELL
DAY 148 | PRICE $26368.97 | ACTION SELL
DAY 149 | PRICE $27284.08 | ACTION BUY
DAY 150 | PRICE $27338.43 | ACTION BUY
DAY 152 | PRICE $27597.12 | ACTION SELL
DAY 153 | PRICE $27128.32 | ACTION SELL
DAY 154 | PRICE $27655.34 | ACTION SELL
DAY 155 | PRICE $28118.74 | ACTION SELL
DAY 156 | PRICE $27071.71 | ACTION BUY
DAY 157 | PRICE $27359.72 | ACTION SELL
DAY 158 | PRICE $28120.71 | ACTION SELL
DAY 159 | PRICE $27597.18 | ACTION BUY
DAY 160 | PRICE $28414.98 | ACTION SELL
DAY 166 | PRICE $30853.44 | ACTION BUY
DAY 167 | PRICE $31420.45 | ACTION SELL
DAY 181 | PRICE $33128.86 | ACTION BUY
DAY 182 | PRICE $32315.05 | ACTION BUY
DAY 183 | PRICE $31157.40 | ACTION SELL
DAY 184 | PRICE $31804.09 | ACTION BUY
DAY 185 | PRICE $31866.95 | ACTION SELL
DAY 186 | PRICE $31195.58 | ACTION BUY
DAY 187 | PRICE $31301.51 | ACTION SELL
DAY 188 | PRICE $32193.20 | ACTION BUY
DAY 189 | PRICE $33233.84 | ACTION BUY
DAY 190 | PRICE $33622.57 | ACTION SELL
DAY 191 | PRICE $33397.42 | ACTION SELL
DAY 192 | PRICE $32205.38 | ACTION BUY
DAY 193 | PRICE $32732.66 | ACTION SELL
DAY 194 | PRICE $33151.70 | ACTION SELL
DAY 195 | PRICE $33305.17 | ACTION BUY
DAY 196 | PRICE $34849.57 | ACTION BUY
DAY 197 | PRICE $35371.25 | ACTION SELL
DAY 199 | PRICE $35924.60 | ACTION SELL
DAY 203 | PRICE $40001.55 | ACTION BUY
DAY 204 | PRICE $38496.66 | ACTION SELL
DAY 208 | PRICE $39476.13 | ACTION BUY
DAY 209 | PRICE $38322.32 | ACTION SELL
DAY 212 | PRICE $38126.91 | ACTION BUY
DAY 213 | PRICE $38539.56 | ACTION BUY
DAY 214 | PRICE $38367.70 | ACTION SELL
DAY 215 | PRICE $38087.61 | ACTION BUY
DAY 216 | PRICE $38560.85 | ACTION SELL
DAY 217 | PRICE $38554.75 | ACTION SELL
DAY 218 | PRICE $38532.13 | ACTION BUY
DAY 219 | PRICE $39485.73 | ACTION SELL
DAY 223 | PRICE $38010.01 | ACTION BUY
DAY 224 | PRICE $31156.12 | ACTION SELL
DAY 225 | PRICE $35476.79 | ACTION BUY
DAY 226 | PRICE $37738.30 | ACTION SELL
DAY 227 | PRICE $37911.32 | ACTION BUY
DAY 228 | PRICE $38581.55 | ACTION SELL
DAY 233 | PRICE $39282.19 | ACTION BUY
DAY 234 | PRICE $38893.52 | ACTION SELL
DAY 235 | PRICE $37713.00 | ACTION BUY
DAY 236 | PRICE $37946.66 | ACTION SELL
Initial Cash: $188509.20
Total Profit: $10815.41
Final Cash:  $199324.61
Price Change: $23299.92 → $39864.46 (71.09%)
