Evaluation of japan_ni_ours_fold4 with ac agent and var indicator
Namespace(stock='japan_ni_ours_fold4', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='var', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 1 | PRICE $23875.82 | ACTION BUY
DAY 2 | PRICE $23831.10 | ACTION BUY
DAY 3 | PRICE $23214.28 | ACTION BUY
DAY 4 | PRICE $23241.64 | ACTION SELL
DAY 5 | PRICE $23784.31 | ACTION BUY
DAY 6 | PRICE $23426.42 | ACTION BUY
DAY 8 | PRICE $20613.91 | ACTION SELL
DAY 9 | PRICE $16690.60 | ACTION BUY
DAY 13 | PRICE $19014.32 | ACTION SELL
DAY 17 | PRICE $19832.88 | ACTION BUY
DAY 18 | PRICE $20334.99 | ACTION BUY
DAY 19 | PRICE $21710.80 | ACTION BUY
DAY 20 | PRICE $22563.56 | ACTION SELL
DAY 21 | PRICE $21786.93 | ACTION BUY
DAY 22 | PRICE $22352.16 | ACTION BUY
DAY 23 | PRICE $22408.27 | ACTION SELL
DAY 24 | PRICE $22154.97 | ACTION SELL
DAY 25 | PRICE $22285.07 | ACTION SELL
DAY 26 | PRICE $22643.52 | ACTION SELL
DAY 27 | PRICE $22646.22 | ACTION SELL
DAY 32 | PRICE $23170.82 | ACTION BUY
DAY 33 | PRICE $22878.71 | ACTION SELL
DAY 35 | PRICE $23154.66 | ACTION SELL
DAY 36 | PRICE $23252.69 | ACTION SELL
DAY 46 | PRICE $26717.03 | ACTION BUY
DAY 47 | PRICE $26414.74 | ACTION SELL
DAY 48 | PRICE $27338.56 | ACTION BUY
DAY 49 | PRICE $27667.75 | ACTION SELL
DAY 50 | PRICE $28111.54 | ACTION BUY
DAY 52 | PRICE $27649.07 | ACTION SELL
DAY 59 | PRICE $28379.06 | ACTION BUY
DAY 61 | PRICE $29523.55 | ACTION BUY
DAY 64 | PRICE $28875.91 | ACTION SELL
DAY 65 | PRICE $28535.36 | ACTION SELL
DAY 69 | PRICE $28897.64 | ACTION BUY
DAY 70 | PRICE $29235.71 | ACTION SELL
DAY 73 | PRICE $28587.61 | ACTION BUY
DAY 74 | PRICE $28699.04 | ACTION BUY
DAY 75 | PRICE $27330.15 | ACTION BUY
DAY 76 | PRICE $27663.41 | ACTION BUY
DAY 77 | PRICE $27526.67 | ACTION BUY
DAY 78 | PRICE $27949.33 | ACTION SELL
DAY 79 | PRICE $26954.81 | ACTION SELL
DAY 80 | PRICE $27481.23 | ACTION BUY
DAY 82 | PRICE $30064.02 | ACTION SELL
DAY 83 | PRICE $30358.93 | ACTION SELL
DAY 84 | PRICE $30001.99 | ACTION BUY
DAY 86 | PRICE $28166.38 | ACTION BUY
DAY 87 | PRICE $29075.37 | ACTION SELL
DAY 88 | PRICE $28893.95 | ACTION SELL
DAY 89 | PRICE $29457.18 | ACTION SELL
DAY 91 | PRICE $29623.79 | ACTION SELL
DAY 93 | PRICE $27644.96 | ACTION BUY
DAY 94 | PRICE $28725.47 | ACTION BUY
DAY 96 | PRICE $28640.15 | ACTION BUY
DAY 97 | PRICE $28579.49 | ACTION BUY
DAY 99 | PRICE $28129.66 | ACTION BUY
DAY 101 | PRICE $27016.71 | ACTION BUY
DAY 103 | PRICE $27227.24 | ACTION SELL
DAY 104 | PRICE $25775.64 | ACTION BUY
DAY 105 | PRICE $26496.72 | ACTION BUY
DAY 107 | PRICE $26152.89 | ACTION SELL
DAY 108 | PRICE $27946.79 | ACTION SELL
DAY 109 | PRICE $27399.48 | ACTION BUY
DAY 110 | PRICE $26764.36 | ACTION SELL
DAY 111 | PRICE $26784.92 | ACTION SELL
DAY 112 | PRICE $26904.38 | ACTION BUY
DAY 113 | PRICE $26610.86 | ACTION BUY
DAY 114 | PRICE $25688.11 | ACTION SELL
DAY 115 | PRICE $26150.09 | ACTION SELL
DAY 116 | PRICE $26604.84 | ACTION SELL
DAY 117 | PRICE $27251.24 | ACTION SELL
DAY 118 | PRICE $28189.35 | ACTION BUY
DAY 119 | PRICE $26431.20 | ACTION BUY
DAY 121 | PRICE $26324.31 | ACTION SELL
DAY 122 | PRICE $26136.99 | ACTION SELL
DAY 123 | PRICE $26312.79 | ACTION SELL
DAY 125 | PRICE $27725.24 | ACTION SELL
DAY 127 | PRICE $28623.78 | ACTION BUY
DAY 128 | PRICE $28586.36 | ACTION BUY
DAY 129 | PRICE $27788.12 | ACTION SELL
DAY 130 | PRICE $27511.68 | ACTION SELL
DAY 132 | PRICE $27627.86 | ACTION BUY
DAY 133 | PRICE $25938.36 | ACTION SELL
DAY 136 | PRICE $26872.45 | ACTION BUY
DAY 138 | PRICE $27032.02 | ACTION BUY
DAY 139 | PRICE $27837.09 | ACTION BUY
DAY 140 | PRICE $27877.78 | ACTION SELL
DAY 141 | PRICE $28046.32 | ACTION SELL
DAY 142 | PRICE $27700.86 | ACTION SELL
DAY 145 | PRICE $26294.85 | ACTION BUY
DAY 147 | PRICE $26381.93 | ACTION SELL
DAY 149 | PRICE $27284.08 | ACTION BUY
DAY 150 | PRICE $27338.43 | ACTION SELL
DAY 153 | PRICE $27128.32 | ACTION BUY
DAY 154 | PRICE $27655.34 | ACTION SELL
DAY 156 | PRICE $27071.71 | ACTION BUY
DAY 157 | PRICE $27359.72 | ACTION BUY
DAY 158 | PRICE $28120.71 | ACTION SELL
DAY 159 | PRICE $27597.18 | ACTION BUY
DAY 160 | PRICE $28414.98 | ACTION SELL
DAY 161 | PRICE $28567.24 | ACTION SELL
DAY 162 | PRICE $29016.83 | ACTION BUY
DAY 163 | PRICE $29028.71 | ACTION BUY
DAY 166 | PRICE $30853.44 | ACTION SELL
DAY 167 | PRICE $31420.45 | ACTION BUY
