Evaluation of kosdaq_ours_fold1 with ac agent and sharpe indicator
Namespace(stock='kosdaq_ours_fold1', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='sharpe', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 3 | PRICE $502.48 | ACTION BUY
DAY 6 | PRICE $634.20 | ACTION SELL
DAY 11 | PRICE $695.30 | ACTION BUY
DAY 12 | PRICE $733.91 | ACTION SELL
DAY 15 | PRICE $745.98 | ACTION BUY
DAY 16 | PRICE $732.09 | ACTION BUY
DAY 17 | PRICE $769.31 | ACTION SELL
DAY 18 | PRICE $769.39 | ACTION SELL
DAY 19 | PRICE $792.27 | ACTION BUY
DAY 23 | PRICE $781.41 | ACTION BUY
DAY 24 | PRICE $837.86 | ACTION SELL
DAY 25 | PRICE $841.37 | ACTION BUY
DAY 26 | PRICE $877.58 | ACTION SELL
DAY 28 | PRICE $799.53 | ACTION SELL
DAY 29 | PRICE $856.66 | ACTION BUY
DAY 30 | PRICE $833.55 | ACTION SELL
DAY 32 | PRICE $791.02 | ACTION BUY
DAY 33 | PRICE $831.78 | ACTION SELL
DAY 35 | PRICE $849.72 | ACTION BUY
DAY 36 | PRICE $861.05 | ACTION SELL
DAY 38 | PRICE $905.76 | ACTION BUY
DAY 39 | PRICE $938.88 | ACTION SELL
DAY 47 | PRICE $967.42 | ACTION BUY
DAY 49 | PRICE $907.41 | ACTION SELL
DAY 50 | PRICE $910.41 | ACTION BUY
DAY 53 | PRICE $966.34 | ACTION BUY
DAY 56 | PRICE $1018.87 | ACTION BUY
DAY 57 | PRICE $975.66 | ACTION SELL
DAY 58 | PRICE $979.38 | ACTION BUY
DAY 59 | PRICE $958.64 | ACTION BUY
DAY 60 | PRICE $949.78 | ACTION SELL
DAY 61 | PRICE $979.13 | ACTION SELL
DAY 62 | PRICE $982.75 | ACTION SELL
DAY 63 | PRICE $993.64 | ACTION BUY
DAY 65 | PRICE $1019.28 | ACTION SELL
DAY 66 | PRICE $1043.51 | ACTION BUY
DAY 67 | PRICE $1035.68 | ACTION SELL
DAY 69 | PRICE $1045.66 | ACTION BUY
DAY 70 | PRICE $1029.05 | ACTION SELL
DAY 71 | PRICE $1048.98 | ACTION SELL
DAY 73 | PRICE $1006.98 | ACTION BUY
DAY 77 | PRICE $1031.93 | ACTION SELL
DAY 81 | PRICE $1006.03 | ACTION BUY
DAY 82 | PRICE $1003.66 | ACTION BUY
DAY 83 | PRICE $983.82 | ACTION BUY
DAY 84 | PRICE $1028.02 | ACTION BUY
DAY 85 | PRICE $1003.19 | ACTION BUY
DAY 88 | PRICE $999.21 | ACTION SELL
DAY 89 | PRICE $999.05 | ACTION SELL
DAY 92 | PRICE $981.31 | ACTION BUY
DAY 93 | PRICE $933.97 | ACTION BUY
DAY 94 | PRICE $847.34 | ACTION BUY
DAY 95 | PRICE $887.54 | ACTION SELL
DAY 96 | PRICE $837.83 | ACTION BUY
DAY 97 | PRICE $865.23 | ACTION SELL
DAY 98 | PRICE $879.03 | ACTION BUY
DAY 99 | PRICE $884.98 | ACTION SELL
DAY 100 | PRICE $903.75 | ACTION BUY
DAY 104 | PRICE $925.61 | ACTION SELL
DAY 105 | PRICE $929.54 | ACTION BUY
DAY 109 | PRICE $866.76 | ACTION SELL
DAY 110 | PRICE $873.21 | ACTION SELL
DAY 113 | PRICE $764.69 | ACTION SELL
DAY 115 | PRICE $728.32 | ACTION SELL
DAY 116 | PRICE $747.74 | ACTION SELL
DAY 117 | PRICE $771.69 | ACTION SELL
DAY 120 | PRICE $826.45 | ACTION BUY
DAY 123 | PRICE $791.01 | ACTION SELL
DAY 124 | PRICE $765.08 | ACTION BUY
DAY 125 | PRICE $768.70 | ACTION BUY
DAY 127 | PRICE $661.65 | ACTION BUY
DAY 130 | PRICE $686.21 | ACTION BUY
DAY 131 | PRICE $693.92 | ACTION SELL
DAY 132 | PRICE $703.36 | ACTION BUY
DAY 134 | PRICE $711.92 | ACTION BUY
DAY 135 | PRICE $713.26 | ACTION BUY
DAY 142 | PRICE $708.79 | ACTION SELL
DAY 143 | PRICE $737.90 | ACTION SELL
DAY 145 | PRICE $771.62 | ACTION BUY
DAY 146 | PRICE $772.96 | ACTION SELL
DAY 147 | PRICE $774.21 | ACTION SELL
DAY 148 | PRICE $804.47 | ACTION BUY
DAY 150 | PRICE $791.45 | ACTION SELL
DAY 154 | PRICE $898.84 | ACTION BUY
DAY 155 | PRICE $852.48 | ACTION BUY
DAY 156 | PRICE $844.68 | ACTION BUY
DAY 157 | PRICE $827.88 | ACTION SELL
DAY 162 | PRICE $878.99 | ACTION BUY
DAY 166 | PRICE $890.21 | ACTION SELL
DAY 167 | PRICE $918.19 | ACTION BUY
DAY 169 | PRICE $914.30 | ACTION SELL
DAY 170 | PRICE $908.27 | ACTION BUY
DAY 171 | PRICE $879.80 | ACTION SELL
DAY 172 | PRICE $901.84 | ACTION SELL
DAY 173 | PRICE $913.04 | ACTION SELL
DAY 174 | PRICE $907.90 | ACTION SELL
DAY 175 | PRICE $889.99 | ACTION BUY
DAY 176 | PRICE $839.17 | ACTION SELL
DAY 177 | PRICE $803.88 | ACTION SELL
DAY 178 | PRICE $800.62 | ACTION SELL
DAY 180 | PRICE $744.63 | ACTION BUY
DAY 181 | PRICE $793.72 | ACTION BUY
DAY 182 | PRICE $774.33 | ACTION BUY
DAY 183 | PRICE $797.51 | ACTION SELL
DAY 184 | PRICE $809.26 | ACTION SELL
DAY 187 | PRICE $843.61 | ACTION SELL
DAY 192 | PRICE $820.64 | ACTION BUY
DAY 193 | PRICE $786.28 | ACTION BUY
DAY 194 | PRICE $816.27 | ACTION SELL
DAY 196 | PRICE $866.43 | ACTION SELL
DAY 199 | PRICE $884.45 | ACTION BUY
DAY 200 | PRICE $910.86 | ACTION BUY
DAY 201 | PRICE $888.88 | ACTION SELL
DAY 202 | PRICE $856.49 | ACTION SELL
DAY 203 | PRICE $833.03 | ACTION BUY
DAY 204 | PRICE $855.79 | ACTION SELL
DAY 206 | PRICE $864.03 | ACTION BUY
DAY 210 | PRICE $865.91 | ACTION SELL
DAY 211 | PRICE $855.35 | ACTION BUY
DAY 214 | PRICE $857.60 | ACTION SELL
DAY 218 | PRICE $707.72 | ACTION BUY
DAY 219 | PRICE $757.19 | ACTION SELL
DAY 221 | PRICE $761.06 | ACTION BUY
DAY 222 | PRICE $729.32 | ACTION BUY
DAY 223 | PRICE $706.93 | ACTION SELL
DAY 227 | PRICE $763.21 | ACTION BUY
DAY 228 | PRICE $734.26 | ACTION SELL
DAY 230 | PRICE $727.10 | ACTION SELL
DAY 235 | PRICE $674.31 | ACTION BUY
DAY 236 | PRICE $679.85 | ACTION BUY
DAY 236 | PRICE $661.24 | ACTION LIQUIDATE
DAY 236 | PRICE $661.24 | ACTION LIQUIDATE
Initial Cash: $5393.00
Total Profit: -$94.04
Final Cash:  $5298.96
Price Change: $637.20 → $661.24 (3.77%)
