Evaluation of kosdaq_ours_fold2 with ac agent and kelly indicator
Namespace(stock='kosdaq_ours_fold2', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='kelly', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $614.58 | ACTION BUY
DAY 4 | PRICE $577.83 | ACTION BUY
DAY 5 | PRICE $596.71 | ACTION SELL
DAY 6 | PRICE $602.05 | ACTION BUY
DAY 7 | PRICE $638.69 | ACTION SELL
DAY 9 | PRICE $686.23 | ACTION SELL
DAY 19 | PRICE $788.72 | ACTION BUY
DAY 20 | PRICE $814.23 | ACTION SELL
DAY 22 | PRICE $831.15 | ACTION BUY
DAY 23 | PRICE $787.93 | ACTION BUY
DAY 24 | PRICE $839.63 | ACTION BUY
DAY 27 | PRICE $859.40 | ACTION SELL
DAY 29 | PRICE $867.63 | ACTION SELL
DAY 34 | PRICE $826.17 | ACTION BUY
DAY 35 | PRICE $861.29 | ACTION SELL
DAY 37 | PRICE $908.24 | ACTION BUY
DAY 38 | PRICE $923.39 | ACTION SELL
DAY 39 | PRICE $942.46 | ACTION BUY
DAY 42 | PRICE $972.10 | ACTION BUY
DAY 43 | PRICE $959.52 | ACTION SELL
DAY 44 | PRICE $984.37 | ACTION BUY
DAY 46 | PRICE $951.21 | ACTION BUY
DAY 50 | PRICE $921.71 | ACTION SELL
DAY 52 | PRICE $952.22 | ACTION SELL
DAY 53 | PRICE $966.52 | ACTION BUY
DAY 55 | PRICE $1020.58 | ACTION SELL
DAY 56 | PRICE $1025.73 | ACTION BUY
DAY 57 | PRICE $961.30 | ACTION BUY
DAY 59 | PRICE $959.98 | ACTION SELL
DAY 60 | PRICE $962.69 | ACTION SELL
DAY 61 | PRICE $977.74 | ACTION BUY
DAY 62 | PRICE $978.79 | ACTION BUY
DAY 63 | PRICE $995.35 | ACTION BUY
DAY 64 | PRICE $1012.78 | ACTION BUY
DAY 66 | PRICE $1042.42 | ACTION SELL
DAY 67 | PRICE $1038.68 | ACTION BUY
DAY 68 | PRICE $1041.44 | ACTION SELL
DAY 69 | PRICE $1030.04 | ACTION BUY
DAY 70 | PRICE $1035.98 | ACTION SELL
DAY 74 | PRICE $1042.36 | ACTION BUY
DAY 76 | PRICE $1037.72 | ACTION SELL
DAY 77 | PRICE $1012.51 | ACTION SELL
DAY 78 | PRICE $922.36 | ACTION BUY
DAY 79 | PRICE $960.52 | ACTION SELL
DAY 81 | PRICE $999.59 | ACTION SELL
DAY 82 | PRICE $995.73 | ACTION SELL
DAY 83 | PRICE $979.68 | ACTION BUY
DAY 86 | PRICE $961.98 | ACTION BUY
DAY 90 | PRICE $1021.59 | ACTION SELL
DAY 94 | PRICE $835.55 | ACTION BUY
DAY 100 | PRICE $912.00 | ACTION SELL
DAY 101 | PRICE $933.09 | ACTION SELL
DAY 102 | PRICE $936.86 | ACTION SELL
DAY 103 | PRICE $924.73 | ACTION BUY
DAY 105 | PRICE $916.65 | ACTION SELL
DAY 106 | PRICE $894.62 | ACTION SELL
DAY 111 | PRICE $873.61 | ACTION BUY
DAY 112 | PRICE $795.42 | ACTION SELL
DAY 116 | PRICE $747.74 | ACTION BUY
DAY 117 | PRICE $788.02 | ACTION BUY
DAY 119 | PRICE $803.20 | ACTION SELL
DAY 120 | PRICE $820.27 | ACTION BUY
DAY 122 | PRICE $794.16 | ACTION BUY
DAY 123 | PRICE $788.13 | ACTION BUY
DAY 124 | PRICE $775.31 | ACTION SELL
DAY 125 | PRICE $750.64 | ACTION BUY
DAY 126 | PRICE $690.60 | ACTION SELL
DAY 127 | PRICE $683.63 | ACTION BUY
DAY 128 | PRICE $663.60 | ACTION SELL
DAY 129 | PRICE $689.67 | ACTION BUY
DAY 130 | PRICE $683.14 | ACTION SELL
DAY 131 | PRICE $694.94 | ACTION SELL
DAY 132 | PRICE $711.15 | ACTION SELL
DAY 133 | PRICE $737.87 | ACTION SELL
DAY 135 | PRICE $722.40 | ACTION BUY
DAY 136 | PRICE $711.63 | ACTION BUY
DAY 140 | PRICE $677.77 | ACTION SELL
DAY 143 | PRICE $736.90 | ACTION BUY
DAY 145 | PRICE $767.64 | ACTION BUY
DAY 146 | PRICE $773.86 | ACTION SELL
DAY 147 | PRICE $769.75 | ACTION SELL
