Evaluation of kosdaq_ours_fold4 with ac agent and cvar indicator
Namespace(stock='kosdaq_ours_fold4', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='cvar', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 1 | PRICE $485.14 | ACTION BUY
DAY 3 | PRICE $551.30 | ACTION SELL
DAY 6 | PRICE $637.33 | ACTION BUY
DAY 7 | PRICE $635.16 | ACTION SELL
DAY 16 | PRICE $755.44 | ACTION BUY
DAY 18 | PRICE $785.75 | ACTION SELL
DAY 20 | PRICE $830.55 | ACTION BUY
DAY 21 | PRICE $858.00 | ACTION BUY
DAY 22 | PRICE $805.52 | ACTION BUY
DAY 23 | PRICE $827.27 | ACTION BUY
DAY 26 | PRICE $891.99 | ACTION BUY
DAY 27 | PRICE $821.89 | ACTION SELL
DAY 28 | PRICE $843.06 | ACTION SELL
DAY 29 | PRICE $865.95 | ACTION BUY
DAY 30 | PRICE $803.24 | ACTION SELL
DAY 32 | PRICE $810.01 | ACTION SELL
DAY 33 | PRICE $835.27 | ACTION SELL
DAY 35 | PRICE $868.89 | ACTION BUY
DAY 36 | PRICE $883.24 | ACTION BUY
DAY 37 | PRICE $906.31 | ACTION SELL
DAY 38 | PRICE $921.27 | ACTION SELL
DAY 40 | PRICE $955.38 | ACTION BUY
DAY 41 | PRICE $978.12 | ACTION BUY
DAY 42 | PRICE $963.09 | ACTION SELL
DAY 44 | PRICE $918.68 | ACTION BUY
DAY 45 | PRICE $961.26 | ACTION BUY
DAY 46 | PRICE $974.30 | ACTION SELL
DAY 47 | PRICE $934.35 | ACTION BUY
DAY 50 | PRICE $935.11 | ACTION BUY
DAY 51 | PRICE $939.19 | ACTION SELL
DAY 52 | PRICE $954.17 | ACTION BUY
DAY 53 | PRICE $968.35 | ACTION SELL
DAY 54 | PRICE $1009.34 | ACTION BUY
DAY 55 | PRICE $1019.59 | ACTION SELL
DAY 56 | PRICE $995.96 | ACTION SELL
DAY 57 | PRICE $961.16 | ACTION SELL
DAY 58 | PRICE $948.04 | ACTION SELL
DAY 59 | PRICE $965.55 | ACTION BUY
DAY 61 | PRICE $983.02 | ACTION SELL
DAY 62 | PRICE $989.15 | ACTION SELL
DAY 63 | PRICE $1004.57 | ACTION BUY
DAY 64 | PRICE $1011.31 | ACTION SELL
DAY 67 | PRICE $1044.70 | ACTION BUY
DAY 70 | PRICE $1055.64 | ACTION SELL
DAY 72 | PRICE $969.48 | ACTION BUY
DAY 75 | PRICE $1023.98 | ACTION BUY
DAY 77 | PRICE $999.58 | ACTION SELL
DAY 78 | PRICE $948.02 | ACTION BUY
DAY 80 | PRICE $986.55 | ACTION BUY
