Evaluation of kosdaq_ours_fold4 with ac agent and none indicator
Namespace(stock='kosdaq_ours_fold4', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='none', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 3 | PRICE $551.30 | ACTION BUY
DAY 7 | PRICE $635.16 | ACTION SELL
DAY 18 | PRICE $785.75 | ACTION BUY
DAY 19 | PRICE $802.04 | ACTION BUY
DAY 20 | PRICE $830.55 | ACTION BUY
DAY 22 | PRICE $805.52 | ACTION SELL
DAY 23 | PRICE $827.27 | ACTION BUY
DAY 24 | PRICE $858.23 | ACTION BUY
DAY 26 | PRICE $891.99 | ACTION BUY
DAY 27 | PRICE $821.89 | ACTION BUY
DAY 28 | PRICE $843.06 | ACTION SELL
DAY 29 | PRICE $865.95 | ACTION SELL
DAY 30 | PRICE $803.24 | ACTION SELL
DAY 32 | PRICE $810.01 | ACTION SELL
DAY 34 | PRICE $836.00 | ACTION SELL
DAY 35 | PRICE $868.89 | ACTION BUY
DAY 36 | PRICE $883.24 | ACTION BUY
DAY 37 | PRICE $906.31 | ACTION BUY
DAY 38 | PRICE $921.27 | ACTION BUY
DAY 39 | PRICE $928.51 | ACTION SELL
DAY 40 | PRICE $955.38 | ACTION SELL
DAY 41 | PRICE $978.12 | ACTION SELL
DAY 42 | PRICE $963.09 | ACTION BUY
DAY 43 | PRICE $975.05 | ACTION SELL
DAY 44 | PRICE $918.68 | ACTION BUY
DAY 47 | PRICE $934.35 | ACTION SELL
DAY 48 | PRICE $920.07 | ACTION SELL
DAY 49 | PRICE $890.07 | ACTION BUY
DAY 50 | PRICE $935.11 | ACTION BUY
DAY 52 | PRICE $954.17 | ACTION SELL
DAY 53 | PRICE $968.35 | ACTION SELL
DAY 57 | PRICE $961.16 | ACTION BUY
DAY 58 | PRICE $948.04 | ACTION BUY
