Evaluation of kosdaq_ours_fold5 with ac agent and var indicator
Namespace(stock='kosdaq_ours_fold5', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='var', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $555.47 | ACTION BUY
DAY 1 | PRICE $419.55 | ACTION BUY
DAY 2 | PRICE $501.82 | ACTION SELL
DAY 3 | PRICE $542.75 | ACTION BUY
DAY 4 | PRICE $610.66 | ACTION SELL
DAY 5 | PRICE $628.05 | ACTION BUY
DAY 6 | PRICE $629.12 | ACTION SELL
DAY 7 | PRICE $647.52 | ACTION BUY
DAY 8 | PRICE $676.24 | ACTION BUY
DAY 9 | PRICE $697.09 | ACTION BUY
DAY 10 | PRICE $722.04 | ACTION BUY
DAY 11 | PRICE $734.63 | ACTION SELL
DAY 12 | PRICE $752.29 | ACTION BUY
DAY 13 | PRICE $717.68 | ACTION SELL
DAY 14 | PRICE $755.12 | ACTION SELL
DAY 16 | PRICE $758.38 | ACTION BUY
DAY 17 | PRICE $775.96 | ACTION BUY
DAY 18 | PRICE $785.97 | ACTION BUY
DAY 20 | PRICE $837.11 | ACTION BUY
DAY 22 | PRICE $785.00 | ACTION BUY
DAY 23 | PRICE $832.74 | ACTION BUY
DAY 28 | PRICE $855.65 | ACTION SELL
DAY 31 | PRICE $784.88 | ACTION BUY
DAY 40 | PRICE $960.52 | ACTION SELL
DAY 45 | PRICE $956.93 | ACTION BUY
DAY 48 | PRICE $916.75 | ACTION SELL
DAY 49 | PRICE $890.97 | ACTION SELL
DAY 50 | PRICE $945.11 | ACTION BUY
DAY 53 | PRICE $969.53 | ACTION BUY
DAY 66 | PRICE $1030.36 | ACTION SELL
DAY 72 | PRICE $1000.72 | ACTION BUY
DAY 80 | PRICE $1000.29 | ACTION SELL
DAY 83 | PRICE $1027.07 | ACTION BUY
DAY 94 | PRICE $893.91 | ACTION SELL
DAY 97 | PRICE $868.91 | ACTION BUY
DAY 105 | PRICE $888.97 | ACTION SELL
DAY 109 | PRICE $868.81 | ACTION BUY
DAY 111 | PRICE $828.76 | ACTION SELL
DAY 112 | PRICE $763.22 | ACTION BUY
DAY 114 | PRICE $712.53 | ACTION SELL
DAY 115 | PRICE $763.14 | ACTION BUY
DAY 121 | PRICE $781.92 | ACTION SELL
DAY 122 | PRICE $783.99 | ACTION BUY
DAY 126 | PRICE $675.07 | ACTION SELL
DAY 128 | PRICE $664.83 | ACTION BUY
DAY 131 | PRICE $695.10 | ACTION SELL
DAY 132 | PRICE $728.81 | ACTION SELL
DAY 133 | PRICE $717.55 | ACTION SELL
DAY 134 | PRICE $717.13 | ACTION BUY
DAY 135 | PRICE $731.07 | ACTION BUY
DAY 136 | PRICE $714.26 | ACTION BUY
DAY 142 | PRICE $733.23 | ACTION SELL
DAY 145 | PRICE $772.16 | ACTION BUY
DAY 154 | PRICE $868.36 | ACTION SELL
DAY 155 | PRICE $839.67 | ACTION BUY
DAY 162 | PRICE $869.79 | ACTION SELL
DAY 163 | PRICE $859.77 | ACTION BUY
DAY 174 | PRICE $897.11 | ACTION SELL
DAY 175 | PRICE $847.56 | ACTION BUY
DAY 197 | PRICE $868.48 | ACTION SELL
DAY 198 | PRICE $882.58 | ACTION BUY
DAY 199 | PRICE $905.70 | ACTION SELL
DAY 200 | PRICE $907.48 | ACTION BUY
DAY 202 | PRICE $829.76 | ACTION SELL
DAY 204 | PRICE $867.32 | ACTION SELL
DAY 205 | PRICE $869.00 | ACTION BUY
DAY 206 | PRICE $854.47 | ACTION BUY
DAY 214 | PRICE $847.68 | ACTION SELL
DAY 215 | PRICE $806.79 | ACTION BUY
DAY 218 | PRICE $767.21 | ACTION SELL
DAY 221 | PRICE $760.07 | ACTION BUY
DAY 223 | PRICE $745.32 | ACTION SELL
DAY 224 | PRICE $773.36 | ACTION BUY
DAY 235 | PRICE $674.81 | ACTION LIQUIDATE
DAY 235 | PRICE $674.81 | ACTION LIQUIDATE
DAY 235 | PRICE $674.81 | ACTION LIQUIDATE
DAY 235 | PRICE $674.81 | ACTION LIQUIDATE
DAY 235 | PRICE $674.81 | ACTION LIQUIDATE
DAY 235 | PRICE $674.81 | ACTION LIQUIDATE
DAY 235 | PRICE $674.81 | ACTION LIQUIDATE
DAY 235 | PRICE $674.81 | ACTION LIQUIDATE
DAY 235 | PRICE $674.81 | ACTION LIQUIDATE
Initial Cash: $6504.00
Total Profit: -$349.23
Final Cash:  $6154.77
Price Change: $555.47 → $674.81 (21.48%)
