Evaluation of kospi_ours_fold1 with ac agent and kelly indicator
Namespace(stock='kospi_ours_fold1', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='kelly', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 1 | PRICE $2137.72 | ACTION BUY
DAY 2 | PRICE $2223.39 | ACTION SELL
DAY 3 | PRICE $2235.13 | ACTION BUY
DAY 7 | PRICE $2160.28 | ACTION BUY
DAY 9 | PRICE $2032.13 | ACTION SELL
DAY 11 | PRICE $1466.48 | ACTION BUY
DAY 12 | PRICE $1668.21 | ACTION SELL
DAY 13 | PRICE $1706.68 | ACTION SELL
DAY 19 | PRICE $1993.00 | ACTION BUY
DAY 20 | PRICE $2003.75 | ACTION SELL
DAY 25 | PRICE $2113.98 | ACTION BUY
DAY 26 | PRICE $2166.74 | ACTION SELL
DAY 30 | PRICE $2322.64 | ACTION BUY
DAY 31 | PRICE $2412.49 | ACTION SELL
DAY 35 | PRICE $2374.00 | ACTION BUY
DAY 36 | PRICE $2396.33 | ACTION SELL
DAY 37 | PRICE $2267.63 | ACTION BUY
DAY 38 | PRICE $2347.82 | ACTION SELL
DAY 39 | PRICE $2348.74 | ACTION BUY
DAY 41 | PRICE $2299.91 | ACTION SELL
DAY 42 | PRICE $2370.85 | ACTION BUY
DAY 44 | PRICE $2529.53 | ACTION BUY
DAY 45 | PRICE $2592.43 | ACTION BUY
DAY 47 | PRICE $2718.70 | ACTION SELL
DAY 48 | PRICE $2742.25 | ACTION SELL
DAY 50 | PRICE $2921.84 | ACTION BUY
DAY 52 | PRICE $3011.32 | ACTION BUY
DAY 55 | PRICE $3084.67 | ACTION SELL
DAY 56 | PRICE $3086.66 | ACTION SELL
DAY 57 | PRICE $3026.47 | ACTION BUY
DAY 58 | PRICE $2982.45 | ACTION BUY
DAY 69 | PRICE $3148.30 | ACTION SELL
DAY 70 | PRICE $3199.18 | ACTION SELL
DAY 71 | PRICE $3242.56 | ACTION SELL
DAY 86 | PRICE $3119.26 | ACTION BUY
DAY 88 | PRICE $2909.47 | ACTION BUY
DAY 89 | PRICE $3012.97 | ACTION SELL
DAY 90 | PRICE $3019.00 | ACTION SELL
DAY 91 | PRICE $2969.01 | ACTION BUY
DAY 92 | PRICE $2924.36 | ACTION SELL
DAY 96 | PRICE $2995.34 | ACTION BUY
DAY 98 | PRICE $2976.65 | ACTION SELL
DAY 103 | PRICE $2614.49 | ACTION BUY
DAY 105 | PRICE $2665.47 | ACTION BUY
DAY 106 | PRICE $2690.09 | ACTION SELL
DAY 107 | PRICE $2692.24 | ACTION SELL
DAY 108 | PRICE $2660.86 | ACTION BUY
DAY 109 | PRICE $2694.51 | ACTION SELL
DAY 110 | PRICE $2705.14 | ACTION BUY
DAY 114 | PRICE $2725.04 | ACTION BUY
DAY 115 | PRICE $2638.37 | ACTION BUY
DAY 116 | PRICE $2635.97 | ACTION SELL
DAY 117 | PRICE $2565.96 | ACTION SELL
DAY 119 | PRICE $2631.49 | ACTION BUY
DAY 123 | PRICE $2393.96 | ACTION SELL
DAY 124 | PRICE $2309.62 | ACTION SELL
DAY 133 | PRICE $2365.35 | ACTION BUY
DAY 139 | PRICE $2230.75 | ACTION SELL
DAY 146 | PRICE $2364.87 | ACTION BUY
DAY 147 | PRICE $2324.66 | ACTION SELL
DAY 148 | PRICE $2321.48 | ACTION BUY
DAY 149 | PRICE $2198.82 | ACTION SELL
DAY 155 | PRICE $2445.74 | ACTION BUY
DAY 156 | PRICE $2421.47 | ACTION SELL
DAY 157 | PRICE $2441.07 | ACTION BUY
DAY 158 | PRICE $2369.79 | ACTION SELL
DAY 159 | PRICE $2378.70 | ACTION BUY
DAY 160 | PRICE $2395.97 | ACTION SELL
DAY 165 | PRICE $2503.21 | ACTION BUY
DAY 166 | PRICE $2488.42 | ACTION SELL
DAY 168 | PRICE $2555.04 | ACTION BUY
DAY 169 | PRICE $2565.00 | ACTION SELL
DAY 173 | PRICE $2541.72 | ACTION BUY
DAY 174 | PRICE $2515.07 | ACTION BUY
DAY 175 | PRICE $2603.36 | ACTION BUY
DAY 178 | PRICE $2598.38 | ACTION SELL
DAY 179 | PRICE $2589.94 | ACTION BUY
DAY 181 | PRICE $2525.64 | ACTION SELL
DAY 182 | PRICE $2560.32 | ACTION SELL
DAY 183 | PRICE $2540.44 | ACTION BUY
DAY 185 | PRICE $2486.44 | ACTION BUY
DAY 186 | PRICE $2403.92 | ACTION BUY
DAY 187 | PRICE $2422.52 | ACTION SELL
DAY 188 | PRICE $2354.70 | ACTION BUY
DAY 190 | PRICE $2395.03 | ACTION SELL
DAY 192 | PRICE $2464.04 | ACTION BUY
DAY 198 | PRICE $2580.09 | ACTION SELL
DAY 199 | PRICE $2540.27 | ACTION SELL
DAY 200 | PRICE $2429.12 | ACTION BUY
