Evaluation of kospi_ours_fold1 with ac agent and var indicator
Namespace(stock='kospi_ours_fold1', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='var', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 1 | PRICE $2137.72 | ACTION BUY
DAY 2 | PRICE $2223.39 | ACTION SELL
DAY 4 | PRICE $2119.01 | ACTION BUY
DAY 5 | PRICE $2198.14 | ACTION SELL
DAY 6 | PRICE $2221.90 | ACTION BUY
DAY 8 | PRICE $1980.82 | ACTION SELL
DAY 10 | PRICE $1680.60 | ACTION BUY
DAY 11 | PRICE $1466.48 | ACTION BUY
DAY 12 | PRICE $1668.21 | ACTION SELL
DAY 14 | PRICE $1824.43 | ACTION SELL
DAY 15 | PRICE $1893.17 | ACTION BUY
DAY 17 | PRICE $1918.57 | ACTION SELL
DAY 19 | PRICE $1993.00 | ACTION BUY
DAY 20 | PRICE $2003.75 | ACTION SELL
DAY 38 | PRICE $2347.82 | ACTION BUY
DAY 39 | PRICE $2348.74 | ACTION BUY
DAY 40 | PRICE $2339.73 | ACTION SELL
DAY 41 | PRICE $2299.91 | ACTION SELL
DAY 42 | PRICE $2370.85 | ACTION BUY
DAY 43 | PRICE $2467.04 | ACTION SELL
DAY 51 | PRICE $3047.56 | ACTION BUY
DAY 52 | PRICE $3011.32 | ACTION SELL
DAY 56 | PRICE $3086.66 | ACTION BUY
DAY 57 | PRICE $3026.47 | ACTION SELL
DAY 66 | PRICE $3143.38 | ACTION BUY
DAY 67 | PRICE $3201.46 | ACTION BUY
DAY 69 | PRICE $3148.30 | ACTION SELL
DAY 71 | PRICE $3242.56 | ACTION SELL
DAY 76 | PRICE $3253.24 | ACTION BUY
DAY 77 | PRICE $3214.42 | ACTION BUY
DAY 78 | PRICE $3230.75 | ACTION SELL
DAY 81 | PRICE $3124.56 | ACTION SELL
DAY 84 | PRICE $3157.07 | ACTION BUY
DAY 86 | PRICE $3119.26 | ACTION SELL
DAY 94 | PRICE $2981.02 | ACTION BUY
DAY 95 | PRICE $2837.03 | ACTION SELL
DAY 96 | PRICE $2995.34 | ACTION BUY
DAY 97 | PRICE $2973.00 | ACTION SELL
DAY 99 | PRICE $2988.67 | ACTION BUY
