Evaluation of kospi_ours_fold2 with ac agent and cvar indicator
Namespace(stock='kospi_ours_fold2', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='cvar', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $2171.84 | ACTION BUY
DAY 2 | PRICE $2225.41 | ACTION SELL
DAY 3 | PRICE $2241.94 | ACTION BUY
DAY 4 | PRICE $2082.74 | ACTION BUY
DAY 5 | PRICE $2180.51 | ACTION SELL
DAY 6 | PRICE $2230.26 | ACTION SELL
DAY 7 | PRICE $2079.03 | ACTION BUY
DAY 8 | PRICE $1969.34 | ACTION BUY
DAY 9 | PRICE $1946.90 | ACTION SELL
DAY 11 | PRICE $1458.41 | ACTION BUY
DAY 12 | PRICE $1659.95 | ACTION SELL
DAY 15 | PRICE $1841.66 | ACTION BUY
DAY 16 | PRICE $1911.63 | ACTION BUY
DAY 17 | PRICE $1942.54 | ACTION SELL
DAY 19 | PRICE $1961.40 | ACTION BUY
DAY 20 | PRICE $2006.62 | ACTION SELL
DAY 21 | PRICE $2138.18 | ACTION SELL
DAY 23 | PRICE $2108.91 | ACTION BUY
DAY 25 | PRICE $2135.30 | ACTION BUY
DAY 26 | PRICE $2140.29 | ACTION BUY
DAY 27 | PRICE $2187.85 | ACTION SELL
DAY 28 | PRICE $2195.49 | ACTION BUY
DAY 29 | PRICE $2248.49 | ACTION SELL
DAY 30 | PRICE $2333.62 | ACTION BUY
DAY 37 | PRICE $2291.32 | ACTION SELL
DAY 38 | PRICE $2383.82 | ACTION SELL
DAY 39 | PRICE $2325.03 | ACTION SELL
DAY 40 | PRICE $2344.49 | ACTION BUY
DAY 41 | PRICE $2266.93 | ACTION SELL
DAY 43 | PRICE $2460.96 | ACTION BUY
DAY 44 | PRICE $2539.79 | ACTION BUY
DAY 46 | PRICE $2705.34 | ACTION BUY
DAY 47 | PRICE $2754.16 | ACTION SELL
DAY 51 | PRICE $3109.63 | ACTION BUY
DAY 54 | PRICE $3091.85 | ACTION SELL
DAY 55 | PRICE $3064.25 | ACTION SELL
DAY 56 | PRICE $3040.28 | ACTION SELL
DAY 57 | PRICE $2988.28 | ACTION BUY
DAY 58 | PRICE $2992.64 | ACTION BUY
DAY 59 | PRICE $3036.14 | ACTION BUY
DAY 61 | PRICE $3025.39 | ACTION SELL
DAY 62 | PRICE $3101.86 | ACTION BUY
DAY 69 | PRICE $3160.30 | ACTION SELL
DAY 74 | PRICE $3288.63 | ACTION BUY
DAY 77 | PRICE $3215.91 | ACTION SELL
DAY 78 | PRICE $3210.90 | ACTION BUY
DAY 81 | PRICE $3097.83 | ACTION SELL
DAY 82 | PRICE $3121.04 | ACTION SELL
DAY 83 | PRICE $3171.78 | ACTION SELL
DAY 84 | PRICE $3111.49 | ACTION SELL
DAY 88 | PRICE $2962.33 | ACTION BUY
DAY 89 | PRICE $3002.74 | ACTION SELL
DAY 93 | PRICE $2937.53 | ACTION BUY
DAY 95 | PRICE $2874.64 | ACTION BUY
DAY 96 | PRICE $3001.55 | ACTION BUY
DAY 97 | PRICE $2989.63 | ACTION SELL
DAY 98 | PRICE $2980.91 | ACTION BUY
DAY 99 | PRICE $2975.74 | ACTION SELL
DAY 100 | PRICE $2933.10 | ACTION BUY
DAY 101 | PRICE $2914.73 | ACTION BUY
DAY 104 | PRICE $2753.51 | ACTION SELL
DAY 105 | PRICE $2711.34 | ACTION SELL
DAY 106 | PRICE $2705.31 | ACTION SELL
DAY 108 | PRICE $2647.28 | ACTION BUY
DAY 109 | PRICE $2688.71 | ACTION BUY
DAY 112 | PRICE $2685.52 | ACTION BUY
DAY 120 | PRICE $2621.96 | ACTION SELL
DAY 126 | PRICE $2382.65 | ACTION BUY
DAY 129 | PRICE $2478.21 | ACTION SELL
DAY 133 | PRICE $2379.06 | ACTION SELL
DAY 135 | PRICE $2215.36 | ACTION SELL
DAY 137 | PRICE $2181.65 | ACTION SELL
DAY 138 | PRICE $2234.59 | ACTION BUY
DAY 139 | PRICE $2234.49 | ACTION SELL
DAY 144 | PRICE $2421.42 | ACTION BUY
DAY 145 | PRICE $2377.98 | ACTION SELL
DAY 146 | PRICE $2379.44 | ACTION BUY
DAY 147 | PRICE $2325.78 | ACTION SELL
DAY 149 | PRICE $2252.97 | ACTION BUY
DAY 150 | PRICE $2358.33 | ACTION BUY
DAY 151 | PRICE $2354.56 | ACTION SELL
DAY 152 | PRICE $2446.59 | ACTION SELL
DAY 155 | PRICE $2430.27 | ACTION BUY
DAY 156 | PRICE $2383.76 | ACTION SELL
DAY 159 | PRICE $2383.17 | ACTION BUY
DAY 160 | PRICE $2415.34 | ACTION SELL
DAY 170 | PRICE $2623.43 | ACTION BUY
DAY 173 | PRICE $2580.49 | ACTION SELL
DAY 176 | PRICE $2595.21 | ACTION BUY
DAY 177 | PRICE $2622.21 | ACTION BUY
DAY 178 | PRICE $2580.71 | ACTION BUY
DAY 181 | PRICE $2545.27 | ACTION BUY
DAY 187 | PRICE $2449.42 | ACTION SELL
DAY 188 | PRICE $2326.67 | ACTION SELL
DAY 189 | PRICE $2273.97 | ACTION BUY
