Evaluation of kospi_ours_fold4 with ac agent and none indicator
Namespace(stock='kospi_ours_fold4', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='none', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 10 | PRICE $1898.27 | ACTION BUY
DAY 11 | PRICE $1591.12 | ACTION SELL
DAY 12 | PRICE $1645.28 | ACTION BUY
DAY 13 | PRICE $1685.37 | ACTION SELL
DAY 16 | PRICE $1895.98 | ACTION BUY
DAY 17 | PRICE $1894.29 | ACTION BUY
DAY 18 | PRICE $1905.17 | ACTION SELL
DAY 19 | PRICE $1968.59 | ACTION SELL
DAY 20 | PRICE $1997.94 | ACTION BUY
DAY 21 | PRICE $2059.14 | ACTION SELL
DAY 27 | PRICE $2165.60 | ACTION BUY
DAY 28 | PRICE $2214.28 | ACTION SELL
DAY 30 | PRICE $2269.69 | ACTION BUY
DAY 31 | PRICE $2396.11 | ACTION SELL
DAY 33 | PRICE $2336.98 | ACTION BUY
DAY 34 | PRICE $2341.29 | ACTION SELL
DAY 35 | PRICE $2369.12 | ACTION BUY
DAY 36 | PRICE $2429.94 | ACTION SELL
DAY 45 | PRICE $2605.03 | ACTION BUY
DAY 46 | PRICE $2611.67 | ACTION SELL
DAY 48 | PRICE $2735.08 | ACTION BUY
DAY 49 | PRICE $2733.64 | ACTION SELL
DAY 50 | PRICE $2809.35 | ACTION BUY
DAY 52 | PRICE $3085.90 | ACTION BUY
DAY 53 | PRICE $3140.60 | ACTION SELL
DAY 54 | PRICE $2962.70 | ACTION SELL
DAY 64 | PRICE $3162.12 | ACTION BUY
DAY 66 | PRICE $3176.55 | ACTION SELL
DAY 74 | PRICE $3289.18 | ACTION BUY
DAY 76 | PRICE $3188.80 | ACTION SELL
DAY 77 | PRICE $3259.32 | ACTION BUY
DAY 78 | PRICE $3246.09 | ACTION SELL
DAY 85 | PRICE $3109.01 | ACTION BUY
DAY 86 | PRICE $3107.98 | ACTION BUY
DAY 87 | PRICE $3046.43 | ACTION SELL
DAY 89 | PRICE $2990.44 | ACTION SELL
DAY 92 | PRICE $2930.90 | ACTION BUY
DAY 93 | PRICE $2979.96 | ACTION SELL
DAY 96 | PRICE $2932.49 | ACTION BUY
DAY 97 | PRICE $3000.51 | ACTION SELL
DAY 100 | PRICE $2973.08 | ACTION BUY
DAY 102 | PRICE $2857.26 | ACTION SELL
DAY 104 | PRICE $2712.87 | ACTION BUY
DAY 106 | PRICE $2711.88 | ACTION SELL
DAY 107 | PRICE $2665.96 | ACTION BUY
DAY 108 | PRICE $2644.10 | ACTION SELL
DAY 109 | PRICE $2615.08 | ACTION BUY
DAY 110 | PRICE $2686.58 | ACTION BUY
DAY 111 | PRICE $2733.22 | ACTION SELL
DAY 112 | PRICE $2750.50 | ACTION SELL
DAY 113 | PRICE $2658.40 | ACTION BUY
DAY 114 | PRICE $2705.32 | ACTION SELL
DAY 117 | PRICE $2579.09 | ACTION BUY
DAY 118 | PRICE $2618.00 | ACTION SELL
DAY 125 | PRICE $2348.74 | ACTION BUY
DAY 126 | PRICE $2293.45 | ACTION BUY
DAY 127 | PRICE $2391.48 | ACTION SELL
DAY 128 | PRICE $2442.01 | ACTION SELL
DAY 133 | PRICE $2392.63 | ACTION BUY
DAY 134 | PRICE $2381.50 | ACTION BUY
DAY 138 | PRICE $2193.63 | ACTION SELL
DAY 139 | PRICE $2204.64 | ACTION SELL
DAY 158 | PRICE $2416.25 | ACTION BUY
DAY 159 | PRICE $2346.11 | ACTION BUY
DAY 160 | PRICE $2397.91 | ACTION SELL
DAY 161 | PRICE $2439.43 | ACTION BUY
DAY 162 | PRICE $2458.50 | ACTION SELL
DAY 163 | PRICE $2531.07 | ACTION BUY
DAY 165 | PRICE $2465.83 | ACTION BUY
DAY 166 | PRICE $2511.13 | ACTION SELL
DAY 167 | PRICE $2455.99 | ACTION SELL
DAY 168 | PRICE $2533.50 | ACTION BUY
DAY 169 | PRICE $2574.82 | ACTION SELL
DAY 170 | PRICE $2613.68 | ACTION BUY
DAY 171 | PRICE $2614.25 | ACTION SELL
DAY 172 | PRICE $2579.52 | ACTION SELL
DAY 176 | PRICE $2598.52 | ACTION BUY
DAY 177 | PRICE $2580.98 | ACTION SELL
DAY 180 | PRICE $2482.06 | ACTION BUY
DAY 181 | PRICE $2520.73 | ACTION SELL
DAY 184 | PRICE $2541.11 | ACTION BUY
DAY 187 | PRICE $2464.84 | ACTION SELL
DAY 192 | PRICE $2472.69 | ACTION BUY
DAY 193 | PRICE $2507.30 | ACTION SELL
DAY 201 | PRICE $2464.24 | ACTION BUY
DAY 203 | PRICE $2563.87 | ACTION SELL
DAY 208 | PRICE $2666.84 | ACTION BUY
DAY 210 | PRICE $2739.12 | ACTION SELL
DAY 213 | PRICE $2604.37 | ACTION BUY
DAY 214 | PRICE $2665.21 | ACTION SELL
DAY 220 | PRICE $2752.61 | ACTION BUY
DAY 221 | PRICE $2796.37 | ACTION SELL
DAY 228 | PRICE $2518.52 | ACTION BUY
DAY 229 | PRICE $2680.74 | ACTION SELL
DAY 238 | PRICE $2587.20 | ACTION BUY
DAY 239 | PRICE $2542.68 | ACTION BUY
DAY 240 | PRICE $2525.56 | ACTION SELL
DAY 241 | PRICE $2437.53 | ACTION SELL
Initial Cash: $9650.20
Total Profit: $611.21
Final Cash:  $10261.41
Price Change: $2183.90 → $2413.62 (10.52%)
