Evaluation of kospi_ours_fold4 with ac agent and sharpe indicator
Namespace(stock='kospi_ours_fold4', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='sharpe', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 2 | PRICE $2204.49 | ACTION BUY
DAY 3 | PRICE $2258.09 | ACTION BUY
DAY 4 | PRICE $2172.33 | ACTION SELL
DAY 5 | PRICE $2154.88 | ACTION SELL
DAY 11 | PRICE $1591.12 | ACTION BUY
DAY 12 | PRICE $1645.28 | ACTION SELL
DAY 18 | PRICE $1905.17 | ACTION BUY
DAY 19 | PRICE $1968.59 | ACTION SELL
DAY 28 | PRICE $2214.28 | ACTION BUY
DAY 29 | PRICE $2237.21 | ACTION SELL
DAY 33 | PRICE $2336.98 | ACTION BUY
DAY 35 | PRICE $2369.12 | ACTION BUY
DAY 36 | PRICE $2429.94 | ACTION BUY
DAY 40 | PRICE $2322.06 | ACTION SELL
DAY 41 | PRICE $2321.23 | ACTION BUY
DAY 43 | PRICE $2435.59 | ACTION SELL
DAY 44 | PRICE $2533.34 | ACTION SELL
DAY 47 | PRICE $2700.92 | ACTION BUY
DAY 48 | PRICE $2735.08 | ACTION BUY
DAY 49 | PRICE $2733.64 | ACTION SELL
DAY 50 | PRICE $2809.35 | ACTION BUY
DAY 51 | PRICE $3040.11 | ACTION SELL
DAY 53 | PRICE $3140.60 | ACTION BUY
DAY 57 | PRICE $3035.46 | ACTION SELL
DAY 59 | PRICE $2951.53 | ACTION SELL
DAY 60 | PRICE $3027.20 | ACTION SELL
DAY 63 | PRICE $3125.33 | ACTION BUY
DAY 64 | PRICE $3162.12 | ACTION BUY
DAY 67 | PRICE $3133.64 | ACTION SELL
DAY 68 | PRICE $3103.88 | ACTION SELL
DAY 69 | PRICE $3149.46 | ACTION BUY
DAY 70 | PRICE $3171.85 | ACTION SELL
DAY 79 | PRICE $3202.32 | ACTION BUY
DAY 81 | PRICE $3146.76 | ACTION SELL
DAY 82 | PRICE $3064.65 | ACTION BUY
DAY 84 | PRICE $3186.79 | ACTION BUY
DAY 86 | PRICE $3107.98 | ACTION SELL
DAY 87 | PRICE $3046.43 | ACTION SELL
DAY 88 | PRICE $2949.01 | ACTION BUY
DAY 89 | PRICE $2990.44 | ACTION SELL
DAY 93 | PRICE $2979.96 | ACTION BUY
DAY 94 | PRICE $2980.73 | ACTION SELL
DAY 102 | PRICE $2857.26 | ACTION BUY
DAY 105 | PRICE $2735.08 | ACTION BUY
DAY 106 | PRICE $2711.88 | ACTION BUY
DAY 108 | PRICE $2644.10 | ACTION SELL
DAY 111 | PRICE $2733.22 | ACTION SELL
DAY 116 | PRICE $2680.46 | ACTION BUY
DAY 117 | PRICE $2579.09 | ACTION BUY
DAY 123 | PRICE $2319.99 | ACTION SELL
DAY 124 | PRICE $2291.49 | ACTION SELL
DAY 126 | PRICE $2293.45 | ACTION BUY
DAY 127 | PRICE $2391.48 | ACTION BUY
DAY 129 | PRICE $2480.05 | ACTION SELL
DAY 130 | PRICE $2514.31 | ACTION SELL
DAY 131 | PRICE $2457.08 | ACTION SELL
DAY 135 | PRICE $2341.79 | ACTION BUY
DAY 136 | PRICE $2151.60 | ACTION BUY
DAY 137 | PRICE $2223.36 | ACTION SELL
DAY 140 | PRICE $2266.44 | ACTION SELL
DAY 143 | PRICE $2442.87 | ACTION BUY
DAY 145 | PRICE $2434.33 | ACTION BUY
DAY 146 | PRICE $2367.25 | ACTION BUY
DAY 147 | PRICE $2326.83 | ACTION SELL
DAY 148 | PRICE $2311.90 | ACTION BUY
DAY 149 | PRICE $2222.37 | ACTION SELL
DAY 150 | PRICE $2312.56 | ACTION BUY
DAY 153 | PRICE $2433.37 | ACTION SELL
