Evaluation of nasdaq_ours_fold1 with ac agent and kelly indicator
Namespace(stock='nasdaq_ours_fold1', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='kelly', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 1 | PRICE $9158.50 | ACTION BUY
DAY 2 | PRICE $9301.32 | ACTION BUY
DAY 3 | PRICE $9273.23 | ACTION SELL
DAY 6 | PRICE $9693.05 | ACTION BUY
DAY 8 | PRICE $8543.35 | ACTION SELL
DAY 11 | PRICE $6631.42 | ACTION SELL
DAY 12 | PRICE $7539.97 | ACTION BUY
DAY 13 | PRICE $7617.79 | ACTION BUY
DAY 14 | PRICE $8338.08 | ACTION SELL
DAY 15 | PRICE $8215.69 | ACTION SELL
DAY 22 | PRICE $9962.58 | ACTION BUY
DAY 23 | PRICE $9891.81 | ACTION BUY
DAY 25 | PRICE $10048.04 | ACTION SELL
DAY 26 | PRICE $10379.91 | ACTION SELL
DAY 27 | PRICE $10364.39 | ACTION BUY
DAY 28 | PRICE $10407.87 | ACTION SELL
DAY 33 | PRICE $11551.01 | ACTION BUY
DAY 34 | PRICE $11361.35 | ACTION SELL
DAY 37 | PRICE $10639.98 | ACTION BUY
DAY 39 | PRICE $11476.66 | ACTION BUY
DAY 41 | PRICE $11434.86 | ACTION BUY
DAY 46 | PRICE $12027.16 | ACTION SELL
DAY 47 | PRICE $12460.55 | ACTION SELL
DAY 48 | PRICE $12432.71 | ACTION SELL
DAY 49 | PRICE $12525.22 | ACTION BUY
DAY 50 | PRICE $12821.96 | ACTION BUY
DAY 51 | PRICE $12649.99 | ACTION BUY
DAY 55 | PRICE $13631.62 | ACTION SELL
DAY 57 | PRICE $13842.60 | ACTION SELL
DAY 58 | PRICE $13024.53 | ACTION BUY
DAY 59 | PRICE $12397.05 | ACTION SELL
DAY 60 | PRICE $13158.72 | ACTION BUY
DAY 61 | PRICE $13039.45 | ACTION BUY
DAY 70 | PRICE $13551.01 | ACTION SELL
DAY 71 | PRICE $13678.76 | ACTION BUY
DAY 74 | PRICE $14121.00 | ACTION SELL
DAY 75 | PRICE $14471.38 | ACTION BUY
DAY 79 | PRICE $14645.63 | ACTION SELL
DAY 81 | PRICE $14692.41 | ACTION SELL
DAY 84 | PRICE $15302.11 | ACTION BUY
DAY 85 | PRICE $15245.17 | ACTION BUY
DAY 91 | PRICE $15094.14 | ACTION SELL
DAY 96 | PRICE $15456.09 | ACTION BUY
DAY 98 | PRICE $15477.85 | ACTION SELL
DAY 100 | PRICE $15696.83 | ACTION SELL
DAY 101 | PRICE $15644.09 | ACTION SELL
DAY 103 | PRICE $14482.94 | ACTION BUY
DAY 104 | PRICE $13414.14 | ACTION BUY
DAY 107 | PRICE $13976.29 | ACTION BUY
DAY 108 | PRICE $13032.17 | ACTION SELL
DAY 109 | PRICE $13493.91 | ACTION BUY
DAY 111 | PRICE $12992.20 | ACTION SELL
DAY 112 | PRICE $13921.65 | ACTION BUY
DAY 114 | PRICE $13788.90 | ACTION SELL
DAY 115 | PRICE $13353.66 | ACTION SELL
DAY 119 | PRICE $11108.76 | ACTION BUY
DAY 120 | PRICE $11313.31 | ACTION BUY
DAY 121 | PRICE $11406.16 | ACTION SELL
DAY 122 | PRICE $11966.62 | ACTION SELL
DAY 123 | PRICE $11328.27 | ACTION BUY
DAY 125 | PRICE $11487.07 | ACTION SELL
DAY 127 | PRICE $11207.08 | ACTION SELL
DAY 130 | PRICE $12260.48 | ACTION BUY
DAY 131 | PRICE $12438.86 | ACTION SELL
DAY 132 | PRICE $12979.24 | ACTION BUY
DAY 133 | PRICE $12352.03 | ACTION BUY
DAY 135 | PRICE $11555.08 | ACTION SELL
DAY 136 | PRICE $11602.76 | ACTION BUY
DAY 137 | PRICE $11219.00 | ACTION BUY
DAY 141 | PRICE $10592.88 | ACTION SELL
DAY 146 | PRICE $11174.61 | ACTION BUY
DAY 147 | PRICE $11378.75 | ACTION SELL
DAY 148 | PRICE $10939.47 | ACTION SELL
DAY 149 | PRICE $10775.61 | ACTION BUY
DAY 150 | PRICE $10313.32 | ACTION SELL
DAY 151 | PRICE $10324.70 | ACTION SELL
DAY 153 | PRICE $11024.72 | ACTION BUY
DAY 154 | PRICE $11282.65 | ACTION SELL
DAY 157 | PRICE $11760.57 | ACTION BUY
DAY 158 | PRICE $11445.17 | ACTION BUY
DAY 159 | PRICE $11349.87 | ACTION BUY
DAY 160 | PRICE $11487.75 | ACTION SELL
DAY 161 | PRICE $11238.44 | ACTION BUY
DAY 163 | PRICE $11823.35 | ACTION SELL
DAY 164 | PRICE $11931.84 | ACTION SELL
DAY 165 | PRICE $11995.94 | ACTION BUY
DAY 166 | PRICE $12011.95 | ACTION SELL
DAY 169 | PRICE $12255.44 | ACTION BUY
DAY 170 | PRICE $12512.26 | ACTION BUY
DAY 173 | PRICE $13229.33 | ACTION SELL
DAY 175 | PRICE $13334.42 | ACTION SELL
DAY 176 | PRICE $13773.41 | ACTION BUY
DAY 177 | PRICE $13643.32 | ACTION SELL
DAY 178 | PRICE $14176.11 | ACTION BUY
DAY 180 | PRICE $14215.64 | ACTION BUY
DAY 190 | PRICE $13549.29 | ACTION SELL
DAY 191 | PRICE $13275.30 | ACTION SELL
DAY 192 | PRICE $12804.30 | ACTION SELL
DAY 197 | PRICE $14127.05 | ACTION BUY
DAY 200 | PRICE $14837.47 | ACTION SELL
DAY 201 | PRICE $14955.37 | ACTION BUY
DAY 202 | PRICE $14560.20 | ACTION SELL
DAY 205 | PRICE $15484.67 | ACTION BUY
DAY 206 | PRICE $15515.25 | ACTION BUY
DAY 209 | PRICE $15924.72 | ACTION SELL
DAY 210 | PRICE $15956.66 | ACTION SELL
DAY 212 | PRICE $16127.48 | ACTION BUY
DAY 213 | PRICE $16279.17 | ACTION SELL
DAY 214 | PRICE $16046.56 | ACTION BUY
DAY 215 | PRICE $16154.65 | ACTION SELL
DAY 218 | PRICE $15604.73 | ACTION BUY
DAY 219 | PRICE $16241.98 | ACTION SELL
DAY 224 | PRICE $17590.80 | ACTION BUY
DAY 225 | PRICE $17494.02 | ACTION BUY
DAY 230 | PRICE $17015.38 | ACTION SELL
DAY 231 | PRICE $16137.65 | ACTION BUY
DAY 232 | PRICE $16943.95 | ACTION SELL
DAY 234 | PRICE $17573.37 | ACTION BUY
DAY 242 | PRICE $18146.61 | ACTION SELL
DAY 243 | PRICE $18598.24 | ACTION SELL
DAY 248 | PRICE $19688.59 | ACTION BUY
DAY 250 | PRICE $19357.76 | ACTION BUY
DAY 250 | PRICE $19553.40 | ACTION LIQUIDATE
DAY 250 | PRICE $19553.40 | ACTION LIQUIDATE
Initial Cash: $38982.30
Total Profit: $6970.67
Final Cash:  $45952.97
Price Change: $9010.89 → $19553.40 (117.00%)
