Evaluation of nasdaq_ours_fold3 with ac agent and cvar indicator
Namespace(stock='nasdaq_ours_fold3', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='cvar', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 1 | PRICE $9193.06 | ACTION BUY
DAY 3 | PRICE $9182.33 | ACTION BUY
DAY 5 | PRICE $9617.21 | ACTION BUY
DAY 7 | PRICE $8927.80 | ACTION BUY
DAY 16 | PRICE $8825.83 | ACTION SELL
DAY 17 | PRICE $8932.85 | ACTION BUY
DAY 22 | PRICE $9413.62 | ACTION SELL
DAY 32 | PRICE $11297.53 | ACTION SELL
DAY 34 | PRICE $10837.20 | ACTION BUY
DAY 42 | PRICE $11004.84 | ACTION SELL
DAY 43 | PRICE $11424.61 | ACTION BUY
DAY 46 | PRICE $12217.35 | ACTION SELL
DAY 49 | PRICE $12758.67 | ACTION BUY
DAY 59 | PRICE $12882.49 | ACTION SELL
DAY 61 | PRICE $13202.43 | ACTION BUY
DAY 68 | PRICE $13002.53 | ACTION SELL
DAY 69 | PRICE $13072.23 | ACTION BUY
DAY 77 | PRICE $14413.32 | ACTION SELL
DAY 78 | PRICE $14698.77 | ACTION BUY
DAY 86 | PRICE $14530.07 | ACTION SELL
DAY 87 | PRICE $14864.96 | ACTION BUY
DAY 90 | PRICE $14833.28 | ACTION SELL
DAY 91 | PRICE $15070.75 | ACTION BUY
DAY 99 | PRICE $15015.02 | ACTION SELL
DAY 100 | PRICE $15679.85 | ACTION SELL
DAY 101 | PRICE $15095.18 | ACTION BUY
DAY 102 | PRICE $15117.29 | ACTION BUY
DAY 104 | PRICE $13322.66 | ACTION SELL
DAY 106 | PRICE $14118.20 | ACTION BUY
DAY 122 | PRICE $11888.61 | ACTION SELL
DAY 124 | PRICE $10938.06 | ACTION SELL
DAY 125 | PRICE $11072.19 | ACTION SELL
DAY 126 | PRICE $11412.88 | ACTION BUY
DAY 127 | PRICE $11005.93 | ACTION BUY
DAY 129 | PRICE $11886.67 | ACTION BUY
DAY 150 | PRICE $10340.73 | ACTION SELL
DAY 151 | PRICE $10337.64 | ACTION SELL
DAY 152 | PRICE $10762.73 | ACTION BUY
DAY 155 | PRICE $12024.14 | ACTION BUY
DAY 171 | PRICE $12968.12 | ACTION SELL
DAY 172 | PRICE $13165.65 | ACTION BUY
DAY 175 | PRICE $13495.73 | ACTION SELL
DAY 176 | PRICE $13567.25 | ACTION SELL
DAY 178 | PRICE $14030.63 | ACTION BUY
DAY 179 | PRICE $14006.92 | ACTION BUY
DAY 180 | PRICE $13881.35 | ACTION SELL
DAY 182 | PRICE $13303.45 | ACTION BUY
DAY 185 | PRICE $13733.18 | ACTION SELL
DAY 186 | PRICE $13684.24 | ACTION BUY
DAY 187 | PRICE $13200.64 | ACTION SELL
DAY 189 | PRICE $13099.03 | ACTION BUY
DAY 198 | PRICE $14324.57 | ACTION SELL
DAY 199 | PRICE $14811.82 | ACTION BUY
DAY 218 | PRICE $16197.86 | ACTION SELL
DAY 219 | PRICE $16334.86 | ACTION BUY
DAY 223 | PRICE $17107.99 | ACTION SELL
DAY 224 | PRICE $17796.88 | ACTION SELL
DAY 225 | PRICE $17687.07 | ACTION SELL
DAY 230 | PRICE $17051.42 | ACTION BUY
DAY 232 | PRICE $17375.41 | ACTION BUY
DAY 234 | PRICE $17482.60 | ACTION BUY
DAY 235 | PRICE $16668.57 | ACTION SELL
DAY 238 | PRICE $18069.18 | ACTION BUY
DAY 241 | PRICE $18452.58 | ACTION SELL
DAY 243 | PRICE $18181.53 | ACTION BUY
DAY 250 | PRICE $19283.41 | ACTION LIQUIDATE
DAY 250 | PRICE $19283.41 | ACTION LIQUIDATE
DAY 250 | PRICE $19283.41 | ACTION LIQUIDATE
Initial Cash: $37156.20
Total Profit: $24145.01
Final Cash:  $61301.21
Price Change: $8943.50 → $19283.41 (115.61%)
