Evaluation of nasdaq_ours_fold3 with ac agent and sharpe indicator
Namespace(stock='nasdaq_ours_fold3', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='sharpe', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 4 | PRICE $9374.05 | ACTION BUY
DAY 5 | PRICE $9617.21 | ACTION SELL
DAY 20 | PRICE $9324.73 | ACTION BUY
DAY 21 | PRICE $9685.35 | ACTION SELL
DAY 24 | PRICE $9749.07 | ACTION BUY
DAY 25 | PRICE $10354.98 | ACTION SELL
DAY 31 | PRICE $11080.30 | ACTION BUY
DAY 32 | PRICE $11297.53 | ACTION SELL
DAY 40 | PRICE $11471.24 | ACTION BUY
DAY 41 | PRICE $11361.86 | ACTION SELL
DAY 42 | PRICE $11004.84 | ACTION BUY
DAY 43 | PRICE $11424.61 | ACTION BUY
DAY 44 | PRICE $11852.41 | ACTION SELL
DAY 45 | PRICE $11863.45 | ACTION SELL
DAY 50 | PRICE $12821.23 | ACTION BUY
DAY 51 | PRICE $13036.55 | ACTION BUY
DAY 52 | PRICE $12949.76 | ACTION BUY
DAY 54 | PRICE $13132.47 | ACTION SELL
DAY 55 | PRICE $13894.15 | ACTION SELL
DAY 56 | PRICE $13995.45 | ACTION SELL
DAY 59 | PRICE $12882.49 | ACTION BUY
DAY 60 | PRICE $13397.08 | ACTION SELL
DAY 63 | PRICE $13653.58 | ACTION BUY
DAY 64 | PRICE $13839.04 | ACTION SELL
DAY 65 | PRICE $13706.86 | ACTION BUY
DAY 66 | PRICE $14034.70 | ACTION SELL
DAY 69 | PRICE $13072.23 | ACTION BUY
DAY 71 | PRICE $13548.93 | ACTION SELL
DAY 72 | PRICE $13904.40 | ACTION BUY
DAY 73 | PRICE $13998.93 | ACTION SELL
DAY 77 | PRICE $14413.32 | ACTION BUY
DAY 79 | PRICE $14615.85 | ACTION BUY
DAY 80 | PRICE $14788.59 | ACTION SELL
DAY 81 | PRICE $14797.22 | ACTION SELL
DAY 82 | PRICE $14571.53 | ACTION BUY
DAY 84 | PRICE $15283.67 | ACTION SELL
DAY 85 | PRICE $15030.85 | ACTION BUY
DAY 86 | PRICE $14530.07 | ACTION SELL
DAY 87 | PRICE $14864.96 | ACTION BUY
DAY 88 | PRICE $14181.69 | ACTION SELL
DAY 98 | PRICE $15097.35 | ACTION BUY
DAY 100 | PRICE $15679.85 | ACTION SELL
DAY 101 | PRICE $15095.18 | ACTION BUY
DAY 102 | PRICE $15117.29 | ACTION SELL
DAY 103 | PRICE $14140.78 | ACTION BUY
DAY 105 | PRICE $13851.75 | ACTION SELL
DAY 115 | PRICE $13222.03 | ACTION BUY
DAY 116 | PRICE $12722.59 | ACTION SELL
DAY 123 | PRICE $10733.04 | ACTION BUY
DAY 124 | PRICE $10938.06 | ACTION SELL
DAY 126 | PRICE $11412.88 | ACTION BUY
DAY 127 | PRICE $11005.93 | ACTION BUY
DAY 128 | PRICE $11812.72 | ACTION SELL
DAY 129 | PRICE $11886.67 | ACTION SELL
DAY 132 | PRICE $12873.49 | ACTION BUY
