Evaluation of nasdaq_ours_fold5 with ac agent and kelly indicator
Namespace(stock='nasdaq_ours_fold5', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='kelly', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $8912.77 | ACTION BUY
DAY 2 | PRICE $9231.14 | ACTION SELL
DAY 4 | PRICE $9185.18 | ACTION BUY
DAY 6 | PRICE $9650.02 | ACTION SELL
DAY 17 | PRICE $8537.83 | ACTION BUY
DAY 18 | PRICE $9053.17 | ACTION SELL
DAY 19 | PRICE $9154.35 | ACTION BUY
DAY 20 | PRICE $9333.16 | ACTION BUY
DAY 21 | PRICE $9472.08 | ACTION SELL
DAY 22 | PRICE $9863.27 | ACTION SELL
DAY 25 | PRICE $9863.67 | ACTION BUY
DAY 26 | PRICE $10350.96 | ACTION SELL
DAY 33 | PRICE $11507.46 | ACTION BUY
DAY 34 | PRICE $11836.18 | ACTION SELL
DAY 43 | PRICE $11784.15 | ACTION BUY
DAY 44 | PRICE $11666.37 | ACTION SELL
DAY 46 | PRICE $12154.57 | ACTION BUY
DAY 47 | PRICE $12376.44 | ACTION SELL
DAY 56 | PRICE $13845.47 | ACTION BUY
DAY 57 | PRICE $13714.35 | ACTION SELL
DAY 63 | PRICE $13404.18 | ACTION BUY
DAY 64 | PRICE $13748.35 | ACTION SELL
DAY 73 | PRICE $14056.67 | ACTION BUY
DAY 74 | PRICE $13960.04 | ACTION SELL
DAY 78 | PRICE $14271.23 | ACTION BUY
DAY 79 | PRICE $14503.76 | ACTION SELL
DAY 80 | PRICE $14584.09 | ACTION BUY
DAY 82 | PRICE $14550.88 | ACTION SELL
DAY 86 | PRICE $14984.68 | ACTION BUY
DAY 87 | PRICE $14767.01 | ACTION SELL
DAY 95 | PRICE $15909.39 | ACTION BUY
DAY 96 | PRICE $15591.36 | ACTION SELL
DAY 99 | PRICE $15119.49 | ACTION BUY
DAY 100 | PRICE $15528.91 | ACTION SELL
DAY 102 | PRICE $14877.63 | ACTION BUY
DAY 103 | PRICE $14689.43 | ACTION BUY
DAY 104 | PRICE $13094.65 | ACTION SELL
DAY 105 | PRICE $13767.71 | ACTION SELL
DAY 120 | PRICE $11381.69 | ACTION BUY
DAY 121 | PRICE $11211.85 | ACTION SELL
DAY 122 | PRICE $11901.45 | ACTION BUY
DAY 123 | PRICE $11751.98 | ACTION BUY
DAY 124 | PRICE $10565.14 | ACTION SELL
DAY 125 | PRICE $11337.78 | ACTION SELL
DAY 127 | PRICE $11348.06 | ACTION BUY
DAY 128 | PRICE $11322.84 | ACTION SELL
DAY 131 | PRICE $12597.75 | ACTION BUY
DAY 133 | PRICE $12353.73 | ACTION BUY
DAY 134 | PRICE $11981.42 | ACTION SELL
DAY 135 | PRICE $11471.50 | ACTION SELL
DAY 143 | PRICE $10881.19 | ACTION BUY
DAY 144 | PRICE $10472.73 | ACTION SELL
DAY 157 | PRICE $11719.73 | ACTION BUY
DAY 158 | PRICE $11491.18 | ACTION SELL
DAY 161 | PRICE $11284.93 | ACTION BUY
DAY 162 | PRICE $11724.91 | ACTION SELL
DAY 167 | PRICE $11833.07 | ACTION BUY
DAY 168 | PRICE $12022.46 | ACTION BUY
DAY 170 | PRICE $12335.02 | ACTION SELL
DAY 171 | PRICE $12415.85 | ACTION SELL
DAY 173 | PRICE $13101.18 | ACTION BUY
DAY 174 | PRICE $13561.37 | ACTION SELL
DAY 176 | PRICE $13716.16 | ACTION BUY
DAY 177 | PRICE $13584.87 | ACTION SELL
DAY 178 | PRICE $14138.00 | ACTION BUY
DAY 179 | PRICE $13997.13 | ACTION SELL
DAY 185 | PRICE $13945.65 | ACTION BUY
DAY 187 | PRICE $13578.87 | ACTION SELL
DAY 193 | PRICE $12697.04 | ACTION BUY
DAY 194 | PRICE $13516.56 | ACTION SELL
DAY 201 | PRICE $15087.22 | ACTION BUY
DAY 202 | PRICE $14477.57 | ACTION SELL
DAY 203 | PRICE $14931.88 | ACTION BUY
DAY 204 | PRICE $15333.63 | ACTION SELL
DAY 217 | PRICE $15634.44 | ACTION BUY
DAY 218 | PRICE $15557.64 | ACTION SELL
DAY 221 | PRICE $16712.09 | ACTION BUY
DAY 222 | PRICE $16690.36 | ACTION SELL
DAY 224 | PRICE $17566.32 | ACTION BUY
DAY 225 | PRICE $17620.57 | ACTION SELL
DAY 229 | PRICE $17839.76 | ACTION BUY
DAY 230 | PRICE $17299.83 | ACTION BUY
DAY 231 | PRICE $15708.54 | ACTION SELL
DAY 232 | PRICE $16699.39 | ACTION SELL
DAY 236 | PRICE $16801.13 | ACTION BUY
DAY 237 | PRICE $17544.64 | ACTION SELL
DAY 239 | PRICE $17779.77 | ACTION BUY
DAY 241 | PRICE $18252.52 | ACTION SELL
Initial Cash: $38826.30
Total Profit: -$3321.38
Final Cash:  $35504.92
Price Change: $8912.77 → $19888.11 (123.14%)
