Evaluation of nasdaq_ours_fold5 with ac agent and none indicator
Namespace(stock='nasdaq_ours_fold5', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='none', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 5 | PRICE $9505.68 | ACTION BUY
DAY 6 | PRICE $9650.02 | ACTION SELL
DAY 9 | PRICE $8375.13 | ACTION BUY
DAY 10 | PRICE $7219.09 | ACTION BUY
DAY 11 | PRICE $6854.67 | ACTION SELL
DAY 12 | PRICE $7491.14 | ACTION BUY
DAY 13 | PRICE $7288.11 | ACTION BUY
DAY 14 | PRICE $8035.95 | ACTION SELL
DAY 17 | PRICE $8537.83 | ACTION BUY
DAY 18 | PRICE $9053.17 | ACTION SELL
DAY 19 | PRICE $9154.35 | ACTION SELL
DAY 21 | PRICE $9472.08 | ACTION SELL
DAY 23 | PRICE $9748.38 | ACTION BUY
DAY 24 | PRICE $10112.44 | ACTION BUY
DAY 25 | PRICE $9863.67 | ACTION BUY
DAY 26 | PRICE $10350.96 | ACTION BUY
DAY 30 | PRICE $10943.72 | ACTION SELL
DAY 31 | PRICE $10877.16 | ACTION SELL
DAY 33 | PRICE $11507.46 | ACTION SELL
DAY 34 | PRICE $11836.18 | ACTION SELL
DAY 36 | PRICE $10783.81 | ACTION BUY
DAY 37 | PRICE $10520.22 | ACTION SELL
DAY 41 | PRICE $11369.29 | ACTION BUY
DAY 43 | PRICE $11784.15 | ACTION SELL
DAY 47 | PRICE $12376.44 | ACTION BUY
DAY 48 | PRICE $12246.77 | ACTION SELL
DAY 54 | PRICE $13192.91 | ACTION BUY
DAY 55 | PRICE $13585.34 | ACTION SELL
DAY 56 | PRICE $13845.47 | ACTION BUY
DAY 57 | PRICE $13714.35 | ACTION SELL
DAY 58 | PRICE $13066.38 | ACTION BUY
DAY 59 | PRICE $12553.96 | ACTION SELL
DAY 60 | PRICE $13246.33 | ACTION BUY
DAY 61 | PRICE $13101.92 | ACTION SELL
DAY 72 | PRICE $13784.89 | ACTION BUY
DAY 75 | PRICE $14417.20 | ACTION SELL
DAY 76 | PRICE $14529.80 | ACTION BUY
DAY 77 | PRICE $14660.19 | ACTION SELL
DAY 79 | PRICE $14503.76 | ACTION BUY
DAY 81 | PRICE $14754.48 | ACTION SELL
DAY 82 | PRICE $14550.88 | ACTION BUY
DAY 83 | PRICE $14965.54 | ACTION SELL
DAY 88 | PRICE $14493.67 | ACTION BUY
DAY 89 | PRICE $14259.07 | ACTION BUY
DAY 90 | PRICE $14471.88 | ACTION SELL
DAY 92 | PRICE $15235.84 | ACTION BUY
DAY 93 | PRICE $15616.44 | ACTION SELL
DAY 96 | PRICE $15591.36 | ACTION SELL
DAY 99 | PRICE $15119.49 | ACTION BUY
DAY 101 | PRICE $15643.93 | ACTION SELL
DAY 104 | PRICE $13094.65 | ACTION BUY
DAY 105 | PRICE $13767.71 | ACTION SELL
DAY 111 | PRICE $12616.59 | ACTION BUY
DAY 112 | PRICE $13857.29 | ACTION BUY
DAY 114 | PRICE $14169.12 | ACTION SELL
DAY 115 | PRICE $13317.74 | ACTION SELL
DAY 117 | PRICE $12430.90 | ACTION BUY
DAY 120 | PRICE $11381.69 | ACTION BUY
