Evaluation of nasdaq_ours_fold5 with ac agent and var indicator
Namespace(stock='nasdaq_ours_fold5', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='var', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 2 | PRICE $9231.14 | ACTION BUY
DAY 4 | PRICE $9185.18 | ACTION SELL
DAY 5 | PRICE $9505.68 | ACTION BUY
DAY 6 | PRICE $9650.02 | ACTION SELL
DAY 7 | PRICE $9542.33 | ACTION BUY
DAY 8 | PRICE $8264.16 | ACTION SELL
DAY 14 | PRICE $8035.95 | ACTION BUY
DAY 15 | PRICE $8553.38 | ACTION SELL
DAY 16 | PRICE $8697.37 | ACTION BUY
DAY 17 | PRICE $8537.83 | ACTION SELL
DAY 21 | PRICE $9472.08 | ACTION BUY
DAY 22 | PRICE $9863.27 | ACTION SELL
DAY 23 | PRICE $9748.38 | ACTION BUY
DAY 24 | PRICE $10112.44 | ACTION BUY
DAY 26 | PRICE $10350.96 | ACTION SELL
DAY 28 | PRICE $10627.45 | ACTION SELL
DAY 31 | PRICE $10877.16 | ACTION BUY
DAY 32 | PRICE $11132.10 | ACTION SELL
DAY 36 | PRICE $10783.81 | ACTION BUY
DAY 39 | PRICE $11384.33 | ACTION SELL
DAY 40 | PRICE $11559.10 | ACTION BUY
DAY 41 | PRICE $11369.29 | ACTION BUY
DAY 42 | PRICE $11030.19 | ACTION SELL
DAY 43 | PRICE $11784.15 | ACTION BUY
DAY 45 | PRICE $11760.98 | ACTION BUY
DAY 46 | PRICE $12154.57 | ACTION SELL
DAY 47 | PRICE $12376.44 | ACTION SELL
DAY 48 | PRICE $12246.77 | ACTION SELL
DAY 49 | PRICE $12654.60 | ACTION BUY
DAY 50 | PRICE $12827.44 | ACTION BUY
DAY 52 | PRICE $12963.92 | ACTION SELL
DAY 53 | PRICE $13329.77 | ACTION SELL
DAY 55 | PRICE $13585.34 | ACTION BUY
DAY 56 | PRICE $13845.47 | ACTION SELL
DAY 59 | PRICE $12553.96 | ACTION BUY
DAY 60 | PRICE $13246.33 | ACTION BUY
DAY 61 | PRICE $13101.92 | ACTION SELL
DAY 62 | PRICE $12786.81 | ACTION SELL
DAY 65 | PRICE $13977.05 | ACTION BUY
DAY 66 | PRICE $13856.83 | ACTION SELL
DAY 67 | PRICE $13941.63 | ACTION BUY
DAY 68 | PRICE $13690.75 | ACTION SELL
