Evaluation of hangsen_ours_fold1 with pg agent and cvar indicator
Namespace(stock='hangsen_ours_fold1', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='cvar', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $27675.24 | ACTION BUY
DAY 2 | PRICE $28264.07 | ACTION BUY
DAY 4 | PRICE $27980.50 | ACTION BUY
DAY 5 | PRICE $26330.05 | ACTION BUY
DAY 7 | PRICE $27695.60 | ACTION BUY
DAY 10 | PRICE $26315.36 | ACTION BUY
DAY 12 | PRICE $21139.26 | ACTION SELL
DAY 18 | PRICE $23868.02 | ACTION BUY
DAY 19 | PRICE $23979.37 | ACTION SELL
DAY 20 | PRICE $24315.75 | ACTION BUY
DAY 21 | PRICE $23134.61 | ACTION SELL
DAY 22 | PRICE $24219.96 | ACTION SELL
DAY 24 | PRICE $24195.82 | ACTION BUY
DAY 25 | PRICE $24770.95 | ACTION BUY
DAY 36 | PRICE $24293.03 | ACTION SELL
DAY 37 | PRICE $24295.01 | ACTION BUY
DAY 40 | PRICE $24524.26 | ACTION SELL
DAY 41 | PRICE $24456.84 | ACTION SELL
DAY 42 | PRICE $24586.06 | ACTION SELL
DAY 43 | PRICE $24733.23 | ACTION BUY
DAY 44 | PRICE $26168.63 | ACTION BUY
DAY 45 | PRICE $26344.86 | ACTION SELL
DAY 46 | PRICE $26591.30 | ACTION SELL
DAY 47 | PRICE $26379.48 | ACTION SELL
DAY 48 | PRICE $26445.66 | ACTION BUY
DAY 49 | PRICE $26318.74 | ACTION BUY
DAY 50 | PRICE $26071.76 | ACTION BUY
DAY 52 | PRICE $27538.20 | ACTION SELL
DAY 54 | PRICE $29413.52 | ACTION BUY
DAY 59 | PRICE $28957.31 | ACTION SELL
DAY 61 | PRICE $28872.40 | ACTION SELL
DAY 62 | PRICE $28376.22 | ACTION SELL
DAY 63 | PRICE $28371.23 | ACTION BUY
DAY 64 | PRICE $28604.55 | ACTION BUY
DAY 65 | PRICE $28711.11 | ACTION BUY
DAY 67 | PRICE $28701.69 | ACTION SELL
DAY 68 | PRICE $28530.71 | ACTION BUY
DAY 73 | PRICE $28453.48 | ACTION SELL
DAY 74 | PRICE $28299.66 | ACTION SELL
DAY 75 | PRICE $28924.61 | ACTION BUY
DAY 76 | PRICE $27703.41 | ACTION SELL
DAY 77 | PRICE $27708.71 | ACTION BUY
DAY 78 | PRICE $26971.03 | ACTION BUY
DAY 82 | PRICE $25708.95 | ACTION SELL
DAY 84 | PRICE $25694.11 | ACTION BUY
DAY 89 | PRICE $24595.58 | ACTION SELL
DAY 91 | PRICE $25929.67 | ACTION BUY
DAY 97 | PRICE $23314.97 | ACTION SELL
DAY 98 | PRICE $23936.93 | ACTION BUY
DAY 99 | PRICE $22665.25 | ACTION SELL
DAY 100 | PRICE $23099.48 | ACTION SELL
DAY 101 | PRICE $23146.89 | ACTION BUY
DAY 102 | PRICE $23595.01 | ACTION SELL
DAY 103 | PRICE $24009.71 | ACTION SELL
DAY 104 | PRICE $24001.96 | ACTION BUY
DAY 106 | PRICE $24732.65 | ACTION BUY
DAY 107 | PRICE $24284.53 | ACTION SELL
DAY 110 | PRICE $20079.15 | ACTION BUY
DAY 111 | PRICE $20922.37 | ACTION BUY
DAY 113 | PRICE $21558.05 | ACTION SELL
DAY 115 | PRICE $20889.02 | ACTION SELL
DAY 116 | PRICE $19665.49 | ACTION SELL
DAY 117 | PRICE $20776.97 | ACTION SELL
DAY 118 | PRICE $19608.26 | ACTION SELL
DAY 121 | PRICE $21030.07 | ACTION BUY
DAY 122 | PRICE $20993.76 | ACTION BUY
DAY 124 | PRICE $21976.80 | ACTION BUY
DAY 125 | PRICE $21799.19 | ACTION BUY
DAY 127 | PRICE $20549.44 | ACTION BUY
DAY 128 | PRICE $20631.82 | ACTION BUY
DAY 130 | PRICE $19856.23 | ACTION SELL
DAY 131 | PRICE $19662.61 | ACTION BUY
DAY 132 | PRICE $19377.09 | ACTION SELL
DAY 134 | PRICE $19107.60 | ACTION BUY
DAY 135 | PRICE $18797.79 | ACTION SELL
DAY 137 | PRICE $17184.54 | ACTION SELL
DAY 139 | PRICE $16389.11 | ACTION BUY
DAY 140 | PRICE $16010.72 | ACTION BUY
DAY 153 | PRICE $22483.78 | ACTION SELL
DAY 154 | PRICE $21459.65 | ACTION BUY
DAY 162 | PRICE $20357.41 | ACTION SELL
DAY 163 | PRICE $20236.92 | ACTION BUY
DAY 164 | PRICE $20336.71 | ACTION SELL
DAY 168 | PRICE $19630.76 | ACTION BUY
DAY 172 | PRICE $19876.42 | ACTION SELL
DAY 173 | PRICE $18767.15 | ACTION BUY
DAY 174 | PRICE $19002.55 | ACTION SELL
DAY 175 | PRICE $18417.63 | ACTION BUY
DAY 176 | PRICE $19413.78 | ACTION SELL
DAY 178 | PRICE $20019.79 | ACTION BUY
DAY 184 | PRICE $17954.97 | ACTION SELL
DAY 186 | PRICE $17472.11 | ACTION BUY
DAY 187 | PRICE $17197.61 | ACTION SELL
DAY 190 | PRICE $17078.24 | ACTION SELL
DAY 191 | PRICE $17352.60 | ACTION SELL
DAY 194 | PRICE $17545.61 | ACTION BUY
DAY 195 | PRICE $16830.30 | ACTION SELL
DAY 197 | PRICE $16610.70 | ACTION SELL
DAY 198 | PRICE $16271.50 | ACTION BUY
DAY 199 | PRICE $16564.80 | ACTION SELL
DAY 203 | PRICE $15411.66 | ACTION SELL
DAY 206 | PRICE $16654.68 | ACTION BUY
DAY 207 | PRICE $16321.12 | ACTION SELL
DAY 208 | PRICE $16275.39 | ACTION BUY
DAY 209 | PRICE $16550.42 | ACTION BUY
DAY 210 | PRICE $16341.61 | ACTION BUY
DAY 212 | PRICE $16918.36 | ACTION SELL
DAY 215 | PRICE $17740.62 | ACTION BUY
DAY 216 | PRICE $18278.11 | ACTION BUY
DAY 217 | PRICE $19342.96 | ACTION BUY
DAY 222 | PRICE $17789.57 | ACTION SELL
DAY 224 | PRICE $17376.48 | ACTION BUY
DAY 226 | PRICE $17451.86 | ACTION SELL
DAY 229 | PRICE $17074.69 | ACTION SELL
DAY 232 | PRICE $17583.70 | ACTION BUY
DAY 233 | PRICE $16964.28 | ACTION BUY
DAY 239 | PRICE $20428.94 | ACTION SELL
DAY 240 | PRICE $20446.26 | ACTION BUY
DAY 244 | PRICE $19387.20 | ACTION SELL
DAY 245 | PRICE $19695.51 | ACTION BUY
DAY 246 | PRICE $19726.15 | ACTION SELL
DAY 246 | PRICE $19746.46 | ACTION LIQUIDATE
DAY 246 | PRICE $19746.46 | ACTION LIQUIDATE
DAY 246 | PRICE $19746.46 | ACTION LIQUIDATE
DAY 246 | PRICE $19746.46 | ACTION LIQUIDATE
DAY 246 | PRICE $19746.46 | ACTION LIQUIDATE
Initial Cash: $169335.20
Total Profit: -$46505.81
Final Cash:  $122829.39
Price Change: $27675.24 → $19746.46 (-28.65%)
