Evaluation of hangsen_ours_fold2 with pg agent and sharpe indicator
Namespace(stock='hangsen_ours_fold2', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='sharpe', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 1 | PRICE $28123.86 | ACTION BUY
DAY 3 | PRICE $28619.10 | ACTION BUY
DAY 4 | PRICE $27937.68 | ACTION SELL
DAY 7 | PRICE $27695.59 | ACTION BUY
DAY 8 | PRICE $27264.78 | ACTION SELL
DAY 9 | PRICE $25989.41 | ACTION SELL
DAY 12 | PRICE $22147.34 | ACTION BUY
DAY 13 | PRICE $23354.01 | ACTION BUY
DAY 15 | PRICE $24283.13 | ACTION BUY
DAY 16 | PRICE $23676.13 | ACTION BUY
DAY 17 | PRICE $24176.88 | ACTION SELL
DAY 18 | PRICE $23913.50 | ACTION BUY
DAY 19 | PRICE $23790.27 | ACTION SELL
DAY 20 | PRICE $24208.16 | ACTION BUY
DAY 22 | PRICE $24204.10 | ACTION BUY
DAY 24 | PRICE $24121.89 | ACTION SELL
DAY 26 | PRICE $25543.15 | ACTION SELL
DAY 27 | PRICE $25715.24 | ACTION BUY
DAY 28 | PRICE $24766.17 | ACTION SELL
DAY 29 | PRICE $24526.91 | ACTION SELL
DAY 30 | PRICE $24250.98 | ACTION SELL
DAY 32 | PRICE $25163.29 | ACTION SELL
DAY 33 | PRICE $25325.15 | ACTION BUY
DAY 34 | PRICE $25177.05 | ACTION BUY
DAY 35 | PRICE $24475.61 | ACTION BUY
DAY 36 | PRICE $24556.52 | ACTION SELL
DAY 38 | PRICE $23250.34 | ACTION SELL
DAY 39 | PRICE $23905.42 | ACTION SELL
DAY 46 | PRICE $26612.00 | ACTION BUY
DAY 47 | PRICE $26556.02 | ACTION BUY
DAY 48 | PRICE $26287.02 | ACTION BUY
DAY 51 | PRICE $27079.24 | ACTION SELL
DAY 52 | PRICE $27794.81 | ACTION SELL
DAY 53 | PRICE $28390.29 | ACTION SELL
DAY 55 | PRICE $28382.26 | ACTION BUY
DAY 56 | PRICE $29293.64 | ACTION BUY
DAY 57 | PRICE $30503.46 | ACTION SELL
DAY 59 | PRICE $29183.59 | ACTION BUY
DAY 60 | PRICE $28710.91 | ACTION BUY
DAY 62 | PRICE $27827.05 | ACTION SELL
DAY 63 | PRICE $28332.78 | ACTION SELL
DAY 64 | PRICE $28274.27 | ACTION SELL
DAY 67 | PRICE $28256.03 | ACTION BUY
DAY 68 | PRICE $28453.14 | ACTION BUY
DAY 69 | PRICE $28074.14 | ACTION SELL
DAY 70 | PRICE $28461.50 | ACTION SELL
DAY 73 | PRICE $28403.64 | ACTION BUY
DAY 78 | PRICE $27455.43 | ACTION BUY
DAY 79 | PRICE $25857.42 | ACTION SELL
DAY 80 | PRICE $26126.37 | ACTION SELL
DAY 85 | PRICE $25624.52 | ACTION BUY
DAY 87 | PRICE $24095.79 | ACTION SELL
DAY 88 | PRICE $23908.05 | ACTION BUY
DAY 89 | PRICE $25161.80 | ACTION SELL
DAY 106 | PRICE $24482.86 | ACTION BUY
DAY 109 | PRICE $20826.36 | ACTION SELL
DAY 111 | PRICE $21096.31 | ACTION BUY
DAY 112 | PRICE $21202.69 | ACTION BUY
DAY 113 | PRICE $22124.03 | ACTION SELL
DAY 114 | PRICE $20988.20 | ACTION SELL
DAY 120 | PRICE $20885.02 | ACTION BUY
DAY 122 | PRICE $20717.64 | ACTION SELL
DAY 126 | PRICE $20751.48 | ACTION BUY
DAY 127 | PRICE $20884.92 | ACTION SELL
DAY 128 | PRICE $20572.42 | ACTION BUY
DAY 129 | PRICE $19685.48 | ACTION SELL
DAY 134 | PRICE $18818.78 | ACTION BUY
DAY 136 | PRICE $17965.33 | ACTION SELL
DAY 143 | PRICE $16829.00 | ACTION BUY
DAY 145 | PRICE $17412.04 | ACTION SELL
DAY 147 | PRICE $19404.50 | ACTION BUY
DAY 149 | PRICE $19380.47 | ACTION BUY
DAY 150 | PRICE $20233.39 | ACTION BUY
DAY 151 | PRICE $21327.41 | ACTION SELL
DAY 152 | PRICE $21422.19 | ACTION BUY
DAY 153 | PRICE $21992.51 | ACTION BUY
DAY 154 | PRICE $21085.72 | ACTION SELL
DAY 155 | PRICE $20799.91 | ACTION SELL
DAY 156 | PRICE $20606.85 | ACTION SELL
DAY 157 | PRICE $19804.56 | ACTION BUY
DAY 158 | PRICE $20410.00 | ACTION BUY
DAY 161 | PRICE $19509.49 | ACTION SELL
DAY 162 | PRICE $20226.95 | ACTION SELL
DAY 163 | PRICE $19885.53 | ACTION SELL
DAY 175 | PRICE $18573.67 | ACTION BUY
DAY 176 | PRICE $18979.92 | ACTION BUY
DAY 178 | PRICE $19891.81 | ACTION SELL
DAY 179 | PRICE $19112.61 | ACTION SELL
DAY 180 | PRICE $18513.78 | ACTION BUY
DAY 181 | PRICE $17573.70 | ACTION SELL
DAY 194 | PRICE $17358.24 | ACTION BUY
DAY 195 | PRICE $16617.03 | ACTION SELL
DAY 198 | PRICE $16439.26 | ACTION BUY
DAY 199 | PRICE $16516.33 | ACTION SELL
DAY 205 | PRICE $16137.98 | ACTION BUY
DAY 207 | PRICE $16473.65 | ACTION BUY
DAY 208 | PRICE $16416.17 | ACTION SELL
DAY 209 | PRICE $16641.58 | ACTION SELL
DAY 211 | PRICE $16689.19 | ACTION BUY
DAY 212 | PRICE $16856.19 | ACTION SELL
DAY 213 | PRICE $16206.55 | ACTION BUY
DAY 214 | PRICE $17109.57 | ACTION BUY
DAY 215 | PRICE $18362.22 | ACTION SELL
DAY 216 | PRICE $18657.51 | ACTION BUY
DAY 220 | PRICE $17994.10 | ACTION BUY
DAY 222 | PRICE $17959.07 | ACTION SELL
DAY 224 | PRICE $17455.08 | ACTION SELL
DAY 225 | PRICE $17658.68 | ACTION BUY
DAY 226 | PRICE $17251.26 | ACTION SELL
DAY 227 | PRICE $17015.83 | ACTION SELL
DAY 230 | PRICE $17232.13 | ACTION BUY
DAY 231 | PRICE $17659.29 | ACTION SELL
DAY 232 | PRICE $17333.30 | ACTION BUY
DAY 233 | PRICE $17127.25 | ACTION SELL
DAY 235 | PRICE $20268.63 | ACTION BUY
DAY 236 | PRICE $22719.91 | ACTION SELL
DAY 240 | PRICE $20409.94 | ACTION BUY
DAY 241 | PRICE $19761.31 | ACTION SELL
Initial Cash: $156884.90
Total Profit: -$3161.39
Final Cash:  $153723.51
Price Change: $27740.66 → $19908.57 (-28.23%)
