Evaluation of hangsen_ours_fold2 with pg agent and var indicator
Namespace(stock='hangsen_ours_fold2', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='var', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 6 | PRICE $27224.12 | ACTION BUY
DAY 8 | PRICE $27264.78 | ACTION SELL
DAY 11 | PRICE $22519.32 | ACTION BUY
DAY 12 | PRICE $22147.34 | ACTION BUY
DAY 14 | PRICE $23030.58 | ACTION BUY
DAY 15 | PRICE $24283.13 | ACTION SELL
DAY 16 | PRICE $23676.13 | ACTION SELL
DAY 17 | PRICE $24176.88 | ACTION BUY
DAY 20 | PRICE $24208.16 | ACTION SELL
DAY 21 | PRICE $22779.62 | ACTION SELL
DAY 30 | PRICE $24250.98 | ACTION BUY
DAY 36 | PRICE $24556.52 | ACTION BUY
DAY 38 | PRICE $23250.34 | ACTION BUY
DAY 39 | PRICE $23905.42 | ACTION BUY
DAY 42 | PRICE $24258.56 | ACTION SELL
DAY 43 | PRICE $25343.44 | ACTION BUY
DAY 44 | PRICE $26071.15 | ACTION SELL
DAY 45 | PRICE $26311.64 | ACTION BUY
DAY 47 | PRICE $26556.02 | ACTION SELL
DAY 48 | PRICE $26287.02 | ACTION SELL
DAY 49 | PRICE $26390.59 | ACTION BUY
DAY 50 | PRICE $26221.30 | ACTION SELL
DAY 54 | PRICE $29673.26 | ACTION SELL
DAY 56 | PRICE $29293.64 | ACTION BUY
DAY 57 | PRICE $30503.46 | ACTION SELL
DAY 59 | PRICE $29183.59 | ACTION BUY
DAY 61 | PRICE $28780.23 | ACTION BUY
DAY 62 | PRICE $27827.05 | ACTION BUY
DAY 63 | PRICE $28332.78 | ACTION BUY
DAY 66 | PRICE $28908.65 | ACTION BUY
DAY 68 | PRICE $28453.14 | ACTION SELL
DAY 69 | PRICE $28074.14 | ACTION BUY
DAY 70 | PRICE $28461.50 | ACTION SELL
DAY 71 | PRICE $29036.45 | ACTION BUY
DAY 73 | PRICE $28403.64 | ACTION SELL
DAY 74 | PRICE $28406.61 | ACTION BUY
DAY 79 | PRICE $25857.42 | ACTION SELL
DAY 80 | PRICE $26126.37 | ACTION SELL
DAY 82 | PRICE $25183.67 | ACTION BUY
DAY 85 | PRICE $25624.52 | ACTION SELL
DAY 86 | PRICE $24505.21 | ACTION SELL
DAY 87 | PRICE $24095.79 | ACTION BUY
DAY 88 | PRICE $23908.05 | ACTION BUY
DAY 90 | PRICE $25458.03 | ACTION SELL
DAY 96 | PRICE $23175.37 | ACTION BUY
DAY 98 | PRICE $23560.13 | ACTION SELL
DAY 100 | PRICE $23008.28 | ACTION SELL
DAY 101 | PRICE $22851.50 | ACTION BUY
DAY 104 | PRICE $24123.70 | ACTION SELL
DAY 105 | PRICE $24365.89 | ACTION SELL
DAY 106 | PRICE $24482.86 | ACTION BUY
DAY 107 | PRICE $23998.77 | ACTION SELL
DAY 108 | PRICE $22406.12 | ACTION SELL
DAY 109 | PRICE $20826.36 | ACTION SELL
DAY 113 | PRICE $22124.03 | ACTION BUY
DAY 115 | PRICE $20483.86 | ACTION SELL
DAY 117 | PRICE $19973.47 | ACTION BUY
DAY 119 | PRICE $20303.55 | ACTION BUY
DAY 120 | PRICE $20885.02 | ACTION BUY
DAY 121 | PRICE $21394.59 | ACTION BUY
DAY 123 | PRICE $21175.95 | ACTION BUY
DAY 124 | PRICE $21952.44 | ACTION BUY
DAY 126 | PRICE $20751.48 | ACTION SELL
DAY 128 | PRICE $20572.42 | ACTION SELL
DAY 129 | PRICE $19685.48 | ACTION SELL
DAY 131 | PRICE $19800.58 | ACTION SELL
