Evaluation of hangsen_ours_fold3 with pg agent and kelly indicator
Namespace(stock='hangsen_ours_fold3', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='kelly', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 3 | PRICE $28709.57 | ACTION BUY
DAY 4 | PRICE $27706.37 | ACTION SELL
DAY 6 | PRICE $27044.88 | ACTION BUY
DAY 8 | PRICE $26813.22 | ACTION BUY
DAY 9 | PRICE $26077.73 | ACTION SELL
DAY 10 | PRICE $24948.38 | ACTION BUY
DAY 12 | PRICE $21659.55 | ACTION BUY
DAY 13 | PRICE $22973.33 | ACTION SELL
DAY 15 | PRICE $24090.50 | ACTION SELL
DAY 22 | PRICE $24253.56 | ACTION BUY
DAY 23 | PRICE $23895.03 | ACTION BUY
DAY 25 | PRICE $24148.62 | ACTION BUY
DAY 27 | PRICE $25254.32 | ACTION BUY
DAY 29 | PRICE $24642.35 | ACTION SELL
DAY 31 | PRICE $24662.04 | ACTION SELL
DAY 33 | PRICE $25352.26 | ACTION BUY
DAY 34 | PRICE $24995.45 | ACTION SELL
DAY 36 | PRICE $24621.65 | ACTION BUY
DAY 37 | PRICE $23675.62 | ACTION SELL
DAY 39 | PRICE $24021.93 | ACTION SELL
DAY 43 | PRICE $25540.98 | ACTION BUY
DAY 46 | PRICE $26704.60 | ACTION SELL
DAY 47 | PRICE $26652.34 | ACTION BUY
DAY 48 | PRICE $26443.01 | ACTION BUY
DAY 49 | PRICE $26363.05 | ACTION BUY
DAY 50 | PRICE $26264.32 | ACTION SELL
DAY 51 | PRICE $27150.38 | ACTION BUY
DAY 54 | PRICE $29345.74 | ACTION SELL
DAY 55 | PRICE $29198.86 | ACTION SELL
DAY 58 | PRICE $29833.05 | ACTION SELL
DAY 60 | PRICE $28893.21 | ACTION BUY
DAY 62 | PRICE $27505.08 | ACTION BUY
DAY 63 | PRICE $28511.65 | ACTION SELL
DAY 65 | PRICE $28885.55 | ACTION SELL
DAY 66 | PRICE $28793.22 | ACTION BUY
DAY 67 | PRICE $28321.34 | ACTION SELL
DAY 68 | PRICE $27910.71 | ACTION BUY
DAY 69 | PRICE $28438.03 | ACTION SELL
DAY 70 | PRICE $29027.95 | ACTION BUY
DAY 71 | PRICE $29208.73 | ACTION SELL
DAY 73 | PRICE $28216.09 | ACTION BUY
DAY 74 | PRICE $28782.34 | ACTION SELL
DAY 75 | PRICE $28231.73 | ACTION SELL
DAY 76 | PRICE $26861.87 | ACTION BUY
DAY 77 | PRICE $27878.53 | ACTION SELL
DAY 79 | PRICE $25636.89 | ACTION BUY
DAY 80 | PRICE $26002.41 | ACTION SELL
DAY 82 | PRICE $24581.60 | ACTION BUY
DAY 83 | PRICE $25304.62 | ACTION BUY
DAY 84 | PRICE $25811.77 | ACTION SELL
DAY 85 | PRICE $25870.71 | ACTION SELL
DAY 86 | PRICE $24424.74 | ACTION BUY
DAY 88 | PRICE $23681.44 | ACTION BUY
DAY 89 | PRICE $24865.80 | ACTION BUY
DAY 90 | PRICE $25915.62 | ACTION SELL
DAY 91 | PRICE $25555.17 | ACTION BUY
DAY 93 | PRICE $24481.26 | ACTION SELL
DAY 94 | PRICE $25520.67 | ACTION SELL
DAY 95 | PRICE $24557.63 | ACTION SELL
DAY 96 | PRICE $23537.65 | ACTION SELL
DAY 101 | PRICE $22709.60 | ACTION BUY
