Evaluation of hangsen_ours_fold4 with pg agent and none indicator
Namespace(stock='hangsen_ours_fold4', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='none', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $27792.66 | ACTION BUY
DAY 1 | PRICE $28428.17 | ACTION BUY
DAY 4 | PRICE $27774.50 | ACTION BUY
DAY 5 | PRICE $26491.66 | ACTION SELL
DAY 6 | PRICE $27436.99 | ACTION BUY
DAY 7 | PRICE $27496.25 | ACTION BUY
DAY 8 | PRICE $26667.04 | ACTION SELL
DAY 10 | PRICE $24978.97 | ACTION BUY
DAY 11 | PRICE $22676.46 | ACTION BUY
DAY 16 | PRICE $23806.30 | ACTION SELL
DAY 20 | PRICE $22519.73 | ACTION BUY
DAY 23 | PRICE $23684.96 | ACTION SELL
DAY 25 | PRICE $24271.77 | ACTION BUY
DAY 26 | PRICE $25849.78 | ACTION SELL
DAY 27 | PRICE $25299.36 | ACTION BUY
DAY 36 | PRICE $24635.24 | ACTION SELL
DAY 37 | PRICE $23559.99 | ACTION BUY
DAY 46 | PRICE $26322.68 | ACTION SELL
DAY 48 | PRICE $26318.11 | ACTION BUY
DAY 50 | PRICE $26432.91 | ACTION SELL
DAY 52 | PRICE $28136.64 | ACTION SELL
DAY 53 | PRICE $29676.54 | ACTION SELL
DAY 54 | PRICE $29194.37 | ACTION BUY
DAY 55 | PRICE $28967.01 | ACTION BUY
DAY 56 | PRICE $29732.23 | ACTION SELL
DAY 57 | PRICE $30099.71 | ACTION SELL
DAY 58 | PRICE $28980.21 | ACTION BUY
DAY 60 | PRICE $28707.35 | ACTION BUY
DAY 64 | PRICE $28685.06 | ACTION SELL
DAY 67 | PRICE $28325.96 | ACTION BUY
DAY 71 | PRICE $28902.67 | ACTION SELL
DAY 72 | PRICE $28664.94 | ACTION BUY
DAY 73 | PRICE $28532.08 | ACTION BUY
DAY 74 | PRICE $28971.60 | ACTION SELL
DAY 77 | PRICE $27397.29 | ACTION BUY
DAY 78 | PRICE $26177.40 | ACTION SELL
DAY 79 | PRICE $25743.09 | ACTION BUY
DAY 86 | PRICE $23871.84 | ACTION SELL
DAY 87 | PRICE $24232.98 | ACTION SELL
DAY 88 | PRICE $23812.35 | ACTION SELL
DAY 91 | PRICE $25473.16 | ACTION BUY
DAY 92 | PRICE $25010.36 | ACTION SELL
DAY 93 | PRICE $24836.21 | ACTION SELL
DAY 95 | PRICE $24532.82 | ACTION BUY
DAY 97 | PRICE $24153.72 | ACTION BUY
DAY 99 | PRICE $23027.15 | ACTION BUY
DAY 101 | PRICE $23162.85 | ACTION BUY
DAY 103 | PRICE $24723.92 | ACTION SELL
DAY 106 | PRICE $24548.05 | ACTION SELL
DAY 107 | PRICE $23500.92 | ACTION BUY
DAY 108 | PRICE $22299.14 | ACTION BUY
DAY 110 | PRICE $18584.04 | ACTION BUY
DAY 112 | PRICE $22033.78 | ACTION SELL
DAY 114 | PRICE $21358.73 | ACTION BUY
DAY 118 | PRICE $20389.61 | ACTION SELL
DAY 120 | PRICE $21154.04 | ACTION SELL
DAY 122 | PRICE $20697.41 | ACTION BUY
DAY 126 | PRICE $20215.97 | ACTION SELL
DAY 127 | PRICE $20513.80 | ACTION SELL
DAY 128 | PRICE $20050.05 | ACTION SELL
DAY 130 | PRICE $20011.38 | ACTION BUY
DAY 131 | PRICE $19656.80 | ACTION SELL
DAY 133 | PRICE $19342.49 | ACTION BUY
DAY 134 | PRICE $18893.65 | ACTION SELL
DAY 135 | PRICE $18494.54 | ACTION BUY
DAY 138 | PRICE $16789.97 | ACTION SELL
DAY 140 | PRICE $14947.39 | ACTION BUY
DAY 143 | PRICE $17552.30 | ACTION SELL
DAY 144 | PRICE $17287.60 | ACTION BUY
DAY 145 | PRICE $17536.45 | ACTION SELL
DAY 147 | PRICE $19382.30 | ACTION BUY
DAY 148 | PRICE $18885.20 | ACTION BUY
DAY 149 | PRICE $19539.84 | ACTION BUY
DAY 150 | PRICE $20862.77 | ACTION SELL
DAY 151 | PRICE $21474.98 | ACTION BUY
DAY 155 | PRICE $20726.83 | ACTION BUY
DAY 169 | PRICE $18044.86 | ACTION SELL
DAY 170 | PRICE $19196.09 | ACTION SELL
DAY 171 | PRICE $19352.34 | ACTION SELL
DAY 175 | PRICE $19163.21 | ACTION BUY
DAY 176 | PRICE $18888.76 | ACTION SELL
DAY 178 | PRICE $19369.06 | ACTION BUY
DAY 180 | PRICE $17900.77 | ACTION SELL
DAY 181 | PRICE $17945.01 | ACTION BUY
DAY 182 | PRICE $18312.76 | ACTION BUY
DAY 183 | PRICE $17842.37 | ACTION BUY
DAY 188 | PRICE $17671.99 | ACTION SELL
DAY 192 | PRICE $17766.22 | ACTION BUY
DAY 213 | PRICE $16410.83 | ACTION SELL
DAY 215 | PRICE $18411.02 | ACTION BUY
DAY 220 | PRICE $17971.57 | ACTION SELL
DAY 221 | PRICE $18274.20 | ACTION SELL
DAY 222 | PRICE $17677.33 | ACTION SELL
DAY 225 | PRICE $17376.23 | ACTION BUY
DAY 226 | PRICE $16924.58 | ACTION BUY
DAY 227 | PRICE $16865.93 | ACTION BUY
DAY 232 | PRICE $17067.45 | ACTION SELL
DAY 233 | PRICE $17177.08 | ACTION BUY
DAY 234 | PRICE $18532.28 | ACTION SELL
DAY 235 | PRICE $21289.60 | ACTION BUY
DAY 239 | PRICE $20317.33 | ACTION SELL
DAY 240 | PRICE $20370.44 | ACTION BUY
DAY 241 | PRICE $19392.59 | ACTION SELL
DAY 242 | PRICE $19552.50 | ACTION SELL
DAY 243 | PRICE $19312.26 | ACTION SELL
DAY 245 | PRICE $20121.47 | ACTION BUY
DAY 246 | PRICE $19968.07 | ACTION LIQUIDATE
DAY 246 | PRICE $19968.07 | ACTION LIQUIDATE
DAY 246 | PRICE $19968.07 | ACTION LIQUIDATE
DAY 246 | PRICE $19968.07 | ACTION LIQUIDATE
Initial Cash: $151087.50
Total Profit: -$22489.98
Final Cash:  $128597.52
