Evaluation of japan_ni_ours_fold1 with pg agent and cvar indicator
Namespace(stock='japan_ni_ours_fold1', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='cvar', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 9 | PRICE $18891.77 | ACTION BUY
DAY 10 | PRICE $16378.94 | ACTION SELL
DAY 15 | PRICE $18858.25 | ACTION BUY
DAY 16 | PRICE $20084.83 | ACTION SELL
DAY 18 | PRICE $20433.45 | ACTION BUY
DAY 19 | PRICE $20918.11 | ACTION SELL
DAY 21 | PRICE $22933.14 | ACTION BUY
DAY 23 | PRICE $22257.14 | ACTION SELL
DAY 26 | PRICE $22538.78 | ACTION BUY
DAY 27 | PRICE $22780.22 | ACTION SELL
DAY 28 | PRICE $22334.71 | ACTION BUY
DAY 29 | PRICE $22362.89 | ACTION BUY
DAY 34 | PRICE $23114.63 | ACTION BUY
DAY 35 | PRICE $23290.19 | ACTION SELL
DAY 36 | PRICE $23347.64 | ACTION SELL
DAY 37 | PRICE $23272.45 | ACTION BUY
DAY 38 | PRICE $23518.81 | ACTION BUY
DAY 40 | PRICE $23334.23 | ACTION BUY
DAY 41 | PRICE $23756.78 | ACTION SELL
DAY 42 | PRICE $25316.60 | ACTION SELL
DAY 43 | PRICE $25474.94 | ACTION SELL
DAY 44 | PRICE $26419.05 | ACTION BUY
DAY 46 | PRICE $26553.01 | ACTION SELL
DAY 47 | PRICE $26707.30 | ACTION SELL
DAY 55 | PRICE $30140.01 | ACTION BUY
DAY 56 | PRICE $28966.01 | ACTION BUY
DAY 57 | PRICE $28308.57 | ACTION BUY
DAY 59 | PRICE $29621.22 | ACTION BUY
DAY 60 | PRICE $28953.22 | ACTION BUY
DAY 63 | PRICE $29621.83 | ACTION BUY
DAY 68 | PRICE $28360.56 | ACTION SELL
DAY 71 | PRICE $28875.39 | ACTION SELL
DAY 74 | PRICE $28118.03 | ACTION SELL
DAY 75 | PRICE $28240.21 | ACTION SELL
DAY 77 | PRICE $27493.32 | ACTION BUY
DAY 79 | PRICE $27424.47 | ACTION SELL
DAY 80 | PRICE $27653.23 | ACTION BUY
DAY 81 | PRICE $27602.21 | ACTION SELL
DAY 85 | PRICE $29311.34 | ACTION BUY
DAY 88 | PRICE $28688.78 | ACTION BUY
DAY 90 | PRICE $29504.07 | ACTION SELL
DAY 91 | PRICE $29381.45 | ACTION SELL
DAY 92 | PRICE $29589.19 | ACTION BUY
DAY 94 | PRICE $27693.91 | ACTION BUY
DAY 95 | PRICE $28593.45 | ACTION BUY
DAY 97 | PRICE $28658.82 | ACTION BUY
DAY 98 | PRICE $29204.45 | ACTION SELL
DAY 99 | PRICE $28444.96 | ACTION BUY
DAY 100 | PRICE $27217.59 | ACTION SELL
DAY 101 | PRICE $26044.52 | ACTION BUY
DAY 106 | PRICE $25006.26 | ACTION SELL
DAY 107 | PRICE $25299.64 | ACTION SELL
DAY 108 | PRICE $27076.33 | ACTION SELL
DAY 110 | PRICE $27662.28 | ACTION BUY
DAY 111 | PRICE $26304.08 | ACTION BUY
DAY 113 | PRICE $26592.99 | ACTION BUY
DAY 115 | PRICE $26438.61 | ACTION SELL
DAY 117 | PRICE $27057.20 | ACTION SELL
DAY 118 | PRICE $27523.95 | ACTION SELL
DAY 119 | PRICE $26948.22 | ACTION SELL
DAY 120 | PRICE $25520.23 | ACTION SELL
DAY 125 | PRICE $27538.39 | ACTION SELL
DAY 132 | PRICE $27818.62 | ACTION BUY
DAY 134 | PRICE $25805.59 | ACTION SELL
