Evaluation of japan_ni_ours_fold1 with pg agent and none indicator
Namespace(stock='japan_ni_ours_fold1', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='none', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 2 | PRICE $24013.75 | ACTION BUY
DAY 3 | PRICE $23755.32 | ACTION BUY
DAY 4 | PRICE $23139.98 | ACTION BUY
DAY 5 | PRICE $23759.42 | ACTION BUY
DAY 8 | PRICE $21082.73 | ACTION SELL
DAY 9 | PRICE $18891.77 | ACTION SELL
DAY 12 | PRICE $17871.62 | ACTION SELL
DAY 14 | PRICE $19465.95 | ACTION SELL
DAY 16 | PRICE $20084.83 | ACTION BUY
DAY 17 | PRICE $20293.97 | ACTION BUY
DAY 19 | PRICE $20918.11 | ACTION SELL
DAY 20 | PRICE $22118.40 | ACTION SELL
DAY 21 | PRICE $22933.14 | ACTION BUY
DAY 22 | PRICE $21899.48 | ACTION BUY
DAY 23 | PRICE $22257.14 | ACTION BUY
DAY 24 | PRICE $22273.38 | ACTION SELL
DAY 25 | PRICE $22540.44 | ACTION SELL
DAY 26 | PRICE $22538.78 | ACTION BUY
DAY 28 | PRICE $22334.71 | ACTION SELL
DAY 29 | PRICE $22362.89 | ACTION BUY
DAY 31 | PRICE $22920.30 | ACTION BUY
DAY 33 | PRICE $23098.77 | ACTION SELL
DAY 41 | PRICE $23756.78 | ACTION BUY
DAY 42 | PRICE $25316.60 | ACTION BUY
DAY 43 | PRICE $25474.94 | ACTION BUY
DAY 46 | PRICE $26553.01 | ACTION BUY
DAY 47 | PRICE $26707.30 | ACTION SELL
DAY 48 | PRICE $26638.28 | ACTION SELL
DAY 50 | PRICE $28133.59 | ACTION SELL
DAY 52 | PRICE $28542.00 | ACTION SELL
DAY 53 | PRICE $28402.30 | ACTION BUY
DAY 54 | PRICE $29368.18 | ACTION BUY
DAY 55 | PRICE $30140.01 | ACTION BUY
DAY 57 | PRICE $28308.57 | ACTION BUY
DAY 62 | PRICE $29768.06 | ACTION SELL
DAY 65 | PRICE $28966.47 | ACTION BUY
DAY 66 | PRICE $27385.03 | ACTION SELL
DAY 68 | PRICE $28360.56 | ACTION BUY
DAY 71 | PRICE $28875.39 | ACTION SELL
DAY 72 | PRICE $28758.37 | ACTION BUY
DAY 74 | PRICE $28118.03 | ACTION SELL
DAY 75 | PRICE $28240.21 | ACTION BUY
DAY 80 | PRICE $27653.23 | ACTION SELL
DAY 82 | PRICE $29838.43 | ACTION SELL
DAY 88 | PRICE $28688.78 | ACTION BUY
DAY 89 | PRICE $28693.06 | ACTION BUY
DAY 92 | PRICE $29589.19 | ACTION SELL
DAY 93 | PRICE $28187.12 | ACTION SELL
DAY 95 | PRICE $28593.45 | ACTION BUY
DAY 97 | PRICE $28658.82 | ACTION BUY
DAY 98 | PRICE $29204.45 | ACTION SELL
DAY 100 | PRICE $27217.59 | ACTION BUY
DAY 101 | PRICE $26044.52 | ACTION SELL
DAY 103 | PRICE $27575.07 | ACTION BUY
DAY 104 | PRICE $26792.54 | ACTION SELL
DAY 106 | PRICE $25006.26 | ACTION SELL
DAY 107 | PRICE $25299.64 | ACTION SELL
DAY 108 | PRICE $27076.33 | ACTION BUY
DAY 110 | PRICE $27662.28 | ACTION SELL
DAY 111 | PRICE $26304.08 | ACTION BUY
DAY 112 | PRICE $26777.71 | ACTION SELL
DAY 114 | PRICE $26309.22 | ACTION BUY
DAY 116 | PRICE $26832.65 | ACTION BUY
DAY 117 | PRICE $27057.20 | ACTION BUY
DAY 119 | PRICE $26948.22 | ACTION SELL
DAY 120 | PRICE $25520.23 | ACTION SELL
