Evaluation of japan_ni_ours_fold1 with pg agent and sharpe indicator
Namespace(stock='japan_ni_ours_fold1', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='sharpe', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 2 | PRICE $24013.75 | ACTION BUY
DAY 3 | PRICE $23755.32 | ACTION SELL
DAY 6 | PRICE $23335.99 | ACTION BUY
DAY 8 | PRICE $21082.73 | ACTION SELL
DAY 14 | PRICE $19465.95 | ACTION BUY
DAY 15 | PRICE $18858.25 | ACTION SELL
DAY 17 | PRICE $20293.97 | ACTION BUY
DAY 18 | PRICE $20433.45 | ACTION SELL
DAY 19 | PRICE $20918.11 | ACTION BUY
DAY 20 | PRICE $22118.40 | ACTION BUY
DAY 22 | PRICE $21899.48 | ACTION SELL
DAY 24 | PRICE $22273.38 | ACTION SELL
DAY 30 | PRICE $23222.85 | ACTION BUY
DAY 31 | PRICE $22920.30 | ACTION BUY
DAY 32 | PRICE $22594.79 | ACTION SELL
DAY 33 | PRICE $23098.77 | ACTION SELL
DAY 37 | PRICE $23272.45 | ACTION BUY
DAY 40 | PRICE $23334.23 | ACTION BUY
DAY 41 | PRICE $23756.78 | ACTION SELL
DAY 43 | PRICE $25474.94 | ACTION BUY
DAY 45 | PRICE $26646.08 | ACTION BUY
DAY 46 | PRICE $26553.01 | ACTION BUY
DAY 48 | PRICE $26638.28 | ACTION SELL
DAY 50 | PRICE $28133.59 | ACTION BUY
DAY 51 | PRICE $28402.11 | ACTION SELL
DAY 52 | PRICE $28542.00 | ACTION BUY
DAY 56 | PRICE $28966.01 | ACTION BUY
DAY 57 | PRICE $28308.57 | ACTION BUY
DAY 60 | PRICE $28953.22 | ACTION SELL
DAY 62 | PRICE $29768.06 | ACTION BUY
DAY 63 | PRICE $29621.83 | ACTION SELL
DAY 65 | PRICE $28966.47 | ACTION SELL
DAY 66 | PRICE $27385.03 | ACTION SELL
DAY 67 | PRICE $27821.96 | ACTION BUY
DAY 68 | PRICE $28360.56 | ACTION BUY
DAY 69 | PRICE $28879.15 | ACTION BUY
DAY 71 | PRICE $28875.39 | ACTION SELL
DAY 72 | PRICE $28758.37 | ACTION SELL
DAY 73 | PRICE $28624.80 | ACTION SELL
DAY 75 | PRICE $28240.21 | ACTION SELL
DAY 76 | PRICE $27786.44 | ACTION SELL
DAY 77 | PRICE $27493.32 | ACTION SELL
DAY 78 | PRICE $27808.54 | ACTION BUY
DAY 80 | PRICE $27653.23 | ACTION BUY
DAY 81 | PRICE $27602.21 | ACTION SELL
DAY 82 | PRICE $29838.43 | ACTION BUY
DAY 83 | PRICE $30504.81 | ACTION SELL
DAY 85 | PRICE $29311.34 | ACTION SELL
DAY 87 | PRICE $28234.01 | ACTION BUY
DAY 91 | PRICE $29381.45 | ACTION SELL
DAY 97 | PRICE $28658.82 | ACTION BUY
DAY 98 | PRICE $29204.45 | ACTION BUY
DAY 99 | PRICE $28444.96 | ACTION SELL
DAY 101 | PRICE $26044.52 | ACTION SELL
DAY 107 | PRICE $25299.64 | ACTION BUY
DAY 108 | PRICE $27076.33 | ACTION SELL
DAY 116 | PRICE $26832.65 | ACTION BUY
DAY 118 | PRICE $27523.95 | ACTION SELL
DAY 125 | PRICE $27538.39 | ACTION BUY
DAY 126 | PRICE $27530.60 | ACTION BUY
DAY 127 | PRICE $27966.91 | ACTION BUY
DAY 128 | PRICE $28944.71 | ACTION BUY
DAY 129 | PRICE $28282.21 | ACTION SELL
DAY 135 | PRICE $26921.90 | ACTION SELL
DAY 136 | PRICE $26649.13 | ACTION BUY
DAY 137 | PRICE $26974.90 | ACTION SELL
DAY 139 | PRICE $27704.64 | ACTION SELL
DAY 140 | PRICE $27903.27 | ACTION SELL
DAY 142 | PRICE $27802.71 | ACTION BUY
DAY 145 | PRICE $26269.80 | ACTION SELL
DAY 153 | PRICE $27426.48 | ACTION BUY
DAY 155 | PRICE $28202.59 | ACTION SELL
DAY 156 | PRICE $27104.75 | ACTION BUY
DAY 157 | PRICE $27267.26 | ACTION SELL
