Evaluation of japan_ni_ours_fold3 with pg agent and kelly indicator
Namespace(stock='japan_ni_ours_fold3', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='kelly', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 4 | PRICE $22854.45 | ACTION BUY
DAY 5 | PRICE $23693.72 | ACTION BUY
DAY 6 | PRICE $23234.96 | ACTION SELL
DAY 7 | PRICE $21844.29 | ACTION SELL
DAY 9 | PRICE $18339.27 | ACTION BUY
DAY 10 | PRICE $16358.19 | ACTION SELL
DAY 12 | PRICE $17646.50 | ACTION BUY
DAY 13 | PRICE $19235.96 | ACTION BUY
DAY 17 | PRICE $19902.93 | ACTION SELL
DAY 18 | PRICE $20503.87 | ACTION SELL
DAY 20 | PRICE $22501.81 | ACTION BUY
DAY 22 | PRICE $22125.35 | ACTION SELL
DAY 30 | PRICE $22948.89 | ACTION BUY
DAY 32 | PRICE $23047.77 | ACTION SELL
DAY 39 | PRICE $23469.13 | ACTION BUY
DAY 43 | PRICE $25901.45 | ACTION SELL
DAY 46 | PRICE $26605.54 | ACTION BUY
DAY 47 | PRICE $26361.66 | ACTION SELL
DAY 50 | PRICE $28477.03 | ACTION BUY
DAY 51 | PRICE $28527.16 | ACTION SELL
DAY 52 | PRICE $27629.80 | ACTION BUY
DAY 53 | PRICE $28548.27 | ACTION BUY
DAY 54 | PRICE $29662.41 | ACTION SELL
DAY 56 | PRICE $29314.82 | ACTION BUY
DAY 57 | PRICE $28609.21 | ACTION BUY
DAY 58 | PRICE $29755.47 | ACTION BUY
DAY 59 | PRICE $28995.92 | ACTION BUY
DAY 60 | PRICE $29283.89 | ACTION SELL
DAY 61 | PRICE $29665.86 | ACTION BUY
DAY 62 | PRICE $29573.79 | ACTION SELL
DAY 63 | PRICE $29014.36 | ACTION SELL
DAY 64 | PRICE $28990.19 | ACTION BUY
DAY 65 | PRICE $29346.14 | ACTION BUY
DAY 66 | PRICE $27632.53 | ACTION SELL
DAY 68 | PRICE $28791.60 | ACTION BUY
DAY 70 | PRICE $29026.27 | ACTION SELL
DAY 71 | PRICE $27795.86 | ACTION SELL
DAY 73 | PRICE $28581.08 | ACTION SELL
DAY 74 | PRICE $28405.60 | ACTION SELL
DAY 75 | PRICE $27493.63 | ACTION SELL
DAY 76 | PRICE $27466.99 | ACTION BUY
DAY 78 | PRICE $28006.31 | ACTION BUY
DAY 79 | PRICE $27255.58 | ACTION SELL
DAY 80 | PRICE $27684.50 | ACTION BUY
DAY 81 | PRICE $28412.91 | ACTION BUY
DAY 83 | PRICE $30202.51 | ACTION SELL
DAY 85 | PRICE $28343.58 | ACTION SELL
DAY 89 | PRICE $29267.63 | ACTION BUY
DAY 90 | PRICE $29240.31 | ACTION SELL
DAY 91 | PRICE $29681.25 | ACTION BUY
DAY 92 | PRICE $29212.93 | ACTION SELL
DAY 93 | PRICE $27594.01 | ACTION SELL
DAY 96 | PRICE $28473.85 | ACTION BUY
DAY 100 | PRICE $27203.33 | ACTION SELL
DAY 101 | PRICE $26541.65 | ACTION BUY
DAY 102 | PRICE $27085.32 | ACTION SELL
DAY 103 | PRICE $26724.91 | ACTION BUY
DAY 105 | PRICE $26313.72 | ACTION SELL
DAY 106 | PRICE $24681.74 | ACTION BUY
DAY 107 | PRICE $25470.46 | ACTION BUY
DAY 109 | PRICE $27763.96 | ACTION BUY
DAY 110 | PRICE $26801.79 | ACTION SELL
DAY 115 | PRICE $26741.34 | ACTION SELL
DAY 116 | PRICE $26578.03 | ACTION BUY
DAY 119 | PRICE $26321.68 | ACTION SELL
DAY 120 | PRICE $26149.17 | ACTION SELL
DAY 123 | PRICE $26389.10 | ACTION BUY
DAY 124 | PRICE $27549.56 | ACTION SELL
DAY 125 | PRICE $27651.99 | ACTION BUY
DAY 126 | PRICE $27870.05 | ACTION SELL
DAY 131 | PRICE $28091.38 | ACTION BUY
DAY 132 | PRICE $27525.68 | ACTION BUY
DAY 133 | PRICE $26523.77 | ACTION SELL
DAY 134 | PRICE $26633.52 | ACTION SELL
DAY 135 | PRICE $26313.41 | ACTION BUY
DAY 136 | PRICE $27192.79 | ACTION BUY
DAY 137 | PRICE $27404.90 | ACTION SELL
DAY 138 | PRICE $27546.88 | ACTION SELL
DAY 139 | PRICE $27370.62 | ACTION BUY
DAY 141 | PRICE $28263.60 | ACTION SELL
DAY 145 | PRICE $26106.38 | ACTION BUY
DAY 149 | PRICE $27175.88 | ACTION BUY
DAY 150 | PRICE $27322.79 | ACTION SELL
DAY 151 | PRICE $27458.53 | ACTION SELL
DAY 158 | PRICE $27986.62 | ACTION BUY
DAY 161 | PRICE $28527.80 | ACTION BUY
DAY 162 | PRICE $28499.51 | ACTION BUY
DAY 163 | PRICE $29070.11 | ACTION BUY
DAY 164 | PRICE $29912.44 | ACTION SELL
DAY 166 | PRICE $30785.98 | ACTION SELL
DAY 167 | PRICE $31913.74 | ACTION BUY
DAY 168 | PRICE $33203.95 | ACTION SELL
DAY 170 | PRICE $32642.87 | ACTION BUY
DAY 172 | PRICE $31791.71 | ACTION SELL
DAY 173 | PRICE $32462.86 | ACTION SELL
DAY 176 | PRICE $32015.96 | ACTION SELL
DAY 179 | PRICE $32499.44 | ACTION BUY
DAY 180 | PRICE $32512.80 | ACTION SELL
DAY 181 | PRICE $33391.46 | ACTION BUY
DAY 182 | PRICE $32388.28 | ACTION SELL
DAY 183 | PRICE $31759.88 | ACTION BUY
DAY 185 | PRICE $31901.39 | ACTION SELL
DAY 187 | PRICE $30552.65 | ACTION BUY
DAY 188 | PRICE $32049.34 | ACTION SELL
DAY 189 | PRICE $33096.93 | ACTION BUY
DAY 191 | PRICE $33161.07 | ACTION SELL
DAY 199 | PRICE $35704.58 | ACTION BUY
DAY 200 | PRICE $35854.63 | ACTION BUY
DAY 201 | PRICE $37935.36 | ACTION BUY
DAY 202 | PRICE $38508.07 | ACTION SELL
DAY 203 | PRICE $39224.64 | ACTION SELL
DAY 204 | PRICE $39551.60 | ACTION SELL
DAY 205 | PRICE $38519.94 | ACTION BUY
DAY 206 | PRICE $40414.12 | ACTION BUY
DAY 207 | PRICE $39706.45 | ACTION BUY
DAY 208 | PRICE $39197.00 | ACTION BUY
DAY 209 | PRICE $38820.95 | ACTION BUY
DAY 210 | PRICE $37052.63 | ACTION SELL
DAY 211 | PRICE $38182.11 | ACTION SELL
DAY 212 | PRICE $38072.24 | ACTION SELL
DAY 213 | PRICE $38513.33 | ACTION SELL
DAY 214 | PRICE $38617.43 | ACTION BUY
DAY 216 | PRICE $38693.50 | ACTION SELL
DAY 217 | PRICE $38689.79 | ACTION BUY
DAY 218 | PRICE $38263.08 | ACTION SELL
DAY 219 | PRICE $39193.51 | ACTION SELL
DAY 223 | PRICE $37611.19 | ACTION BUY
DAY 225 | PRICE $34445.57 | ACTION SELL
DAY 228 | PRICE $38476.51 | ACTION BUY
DAY 229 | PRICE $35247.87 | ACTION SELL
DAY 231 | PRICE $37868.84 | ACTION BUY
DAY 232 | PRICE $37651.07 | ACTION SELL
DAY 233 | PRICE $39115.63 | ACTION BUY
DAY 235 | PRICE $37712.19 | ACTION BUY
DAY 236 | PRICE $38832.21 | ACTION BUY
DAY 237 | PRICE $39377.87 | ACTION BUY
DAY 239 | PRICE $38085.13 | ACTION SELL
DAY 241 | PRICE $38940.44 | ACTION BUY
DAY 243 | PRICE $39669.39 | ACTION LIQUIDATE
DAY 243 | PRICE $39669.39 | ACTION LIQUIDATE
DAY 243 | PRICE $39669.39 | ACTION LIQUIDATE
DAY 243 | PRICE $39669.39 | ACTION LIQUIDATE
Initial Cash: $181934.10
Total Profit: $13536.47
Final Cash:  $195470.57
Price Change: $23148.53 → $39669.39 (71.37%)
