Evaluation of japan_ni_ours_fold5 with pg agent and var indicator
Namespace(stock='japan_ni_ours_fold5', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='var', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $23775.40 | ACTION BUY
DAY 3 | PRICE $23779.23 | ACTION SELL
DAY 4 | PRICE $22892.95 | ACTION BUY
DAY 5 | PRICE $23625.13 | ACTION SELL
DAY 6 | PRICE $23603.48 | ACTION BUY
DAY 7 | PRICE $23378.33 | ACTION BUY
DAY 8 | PRICE $20834.29 | ACTION BUY
DAY 9 | PRICE $19472.26 | ACTION BUY
DAY 11 | PRICE $17197.14 | ACTION BUY
DAY 12 | PRICE $18834.16 | ACTION BUY
DAY 13 | PRICE $18553.14 | ACTION BUY
DAY 14 | PRICE $19093.12 | ACTION BUY
DAY 15 | PRICE $19193.22 | ACTION BUY
DAY 19 | PRICE $20584.06 | ACTION SELL
DAY 20 | PRICE $21898.99 | ACTION BUY
DAY 22 | PRICE $21529.83 | ACTION SELL
DAY 23 | PRICE $22311.94 | ACTION BUY
DAY 28 | PRICE $22366.34 | ACTION SELL
DAY 30 | PRICE $23111.50 | ACTION BUY
DAY 31 | PRICE $22851.83 | ACTION SELL
DAY 33 | PRICE $23426.11 | ACTION SELL
DAY 34 | PRICE $23134.02 | ACTION BUY
DAY 35 | PRICE $23272.23 | ACTION SELL
DAY 36 | PRICE $23303.03 | ACTION SELL
DAY 38 | PRICE $23490.95 | ACTION SELL
DAY 39 | PRICE $23518.29 | ACTION SELL
DAY 40 | PRICE $23232.31 | ACTION BUY
DAY 42 | PRICE $25145.66 | ACTION SELL
DAY 44 | PRICE $26255.47 | ACTION SELL
DAY 45 | PRICE $26719.23 | ACTION BUY
DAY 46 | PRICE $26639.98 | ACTION SELL
DAY 47 | PRICE $26676.28 | ACTION SELL
DAY 48 | PRICE $26605.26 | ACTION BUY
DAY 51 | PRICE $28373.34 | ACTION BUY
DAY 52 | PRICE $28527.81 | ACTION BUY
DAY 55 | PRICE $30191.01 | ACTION BUY
DAY 56 | PRICE $30044.43 | ACTION BUY
DAY 57 | PRICE $28711.04 | ACTION BUY
DAY 59 | PRICE $30041.50 | ACTION SELL
DAY 61 | PRICE $29318.82 | ACTION SELL
DAY 62 | PRICE $29516.42 | ACTION SELL
DAY 63 | PRICE $29558.55 | ACTION BUY
DAY 65 | PRICE $28760.27 | ACTION BUY
DAY 67 | PRICE $27842.98 | ACTION BUY
DAY 81 | PRICE $27656.63 | ACTION SELL
DAY 82 | PRICE $29469.35 | ACTION SELL
DAY 83 | PRICE $30229.01 | ACTION BUY
DAY 84 | PRICE $29832.52 | ACTION BUY
DAY 85 | PRICE $29329.16 | ACTION SELL
DAY 86 | PRICE $27293.62 | ACTION BUY
DAY 89 | PRICE $28870.25 | ACTION SELL
DAY 90 | PRICE $29718.78 | ACTION SELL
DAY 92 | PRICE $29402.57 | ACTION BUY
DAY 93 | PRICE $28605.61 | ACTION BUY
DAY 98 | PRICE $28954.56 | ACTION SELL
DAY 99 | PRICE $28427.60 | ACTION BUY
DAY 100 | PRICE $27314.41 | ACTION SELL
DAY 101 | PRICE $26858.68 | ACTION SELL
DAY 102 | PRICE $27289.16 | ACTION BUY
DAY 104 | PRICE $27080.92 | ACTION BUY
DAY 110 | PRICE $27578.81 | ACTION SELL
DAY 112 | PRICE $26571.38 | ACTION BUY
DAY 115 | PRICE $25904.40 | ACTION SELL
DAY 117 | PRICE $26731.60 | ACTION BUY
DAY 122 | PRICE $25841.75 | ACTION SELL
DAY 123 | PRICE $26510.53 | ACTION BUY
DAY 126 | PRICE $27751.59 | ACTION SELL
DAY 127 | PRICE $28047.08 | ACTION SELL
DAY 128 | PRICE $28752.88 | ACTION BUY
DAY 129 | PRICE $28395.30 | ACTION SELL
DAY 131 | PRICE $27557.99 | ACTION BUY
DAY 133 | PRICE $27297.50 | ACTION SELL
DAY 134 | PRICE $26221.78 | ACTION SELL
DAY 135 | PRICE $27137.98 | ACTION SELL
DAY 136 | PRICE $26595.35 | ACTION SELL
DAY 137 | PRICE $26869.38 | ACTION BUY
DAY 138 | PRICE $26981.08 | ACTION BUY
DAY 139 | PRICE $27357.53 | ACTION BUY
DAY 140 | PRICE $27963.47 | ACTION BUY
DAY 141 | PRICE $27846.30 | ACTION SELL
DAY 142 | PRICE $27899.98 | ACTION BUY
DAY 143 | PRICE $27698.31 | ACTION SELL
DAY 144 | PRICE $27907.49 | ACTION BUY
DAY 145 | PRICE $26416.91 | ACTION SELL
DAY 146 | PRICE $26447.87 | ACTION SELL
DAY 147 | PRICE $25750.46 | ACTION BUY
DAY 148 | PRICE $26090.84 | ACTION BUY
DAY 149 | PRICE $26320.96 | ACTION SELL
DAY 154 | PRICE $27292.74 | ACTION SELL
DAY 159 | PRICE $28139.12 | ACTION BUY
DAY 161 | PRICE $28520.76 | ACTION BUY
DAY 162 | PRICE $28609.77 | ACTION BUY
DAY 165 | PRICE $30679.16 | ACTION SELL
DAY 167 | PRICE $31257.01 | ACTION BUY
DAY 168 | PRICE $31898.75 | ACTION SELL
DAY 171 | PRICE $32918.77 | ACTION SELL
DAY 173 | PRICE $32225.37 | ACTION SELL
DAY 175 | PRICE $33025.93 | ACTION SELL
DAY 176 | PRICE $31830.23 | ACTION BUY
DAY 182 | PRICE $32988.65 | ACTION BUY
DAY 187 | PRICE $30567.61 | ACTION BUY
DAY 188 | PRICE $31878.36 | ACTION BUY
DAY 196 | PRICE $32693.18 | ACTION SELL
DAY 197 | PRICE $35362.24 | ACTION BUY
DAY 204 | PRICE $39840.34 | ACTION SELL
DAY 205 | PRICE $38271.38 | ACTION BUY
DAY 213 | PRICE $37969.58 | ACTION SELL
DAY 214 | PRICE $38703.70 | ACTION BUY
DAY 229 | PRICE $36879.33 | ACTION SELL
DAY 231 | PRICE $36958.93 | ACTION BUY
DAY 235 | PRICE $38775.59 | ACTION SELL
DAY 236 | PRICE $37757.95 | ACTION SELL
DAY 237 | PRICE $38159.73 | ACTION SELL
DAY 238 | PRICE $39137.89 | ACTION SELL
DAY 240 | PRICE $38442.00 | ACTION SELL
DAY 243 | PRICE $39364.68 | ACTION SELL
DAY 243 | PRICE $38995.76 | ACTION LIQUIDATE
DAY 243 | PRICE $38995.76 | ACTION LIQUIDATE
Initial Cash: $186774.20
Total Profit: $124023.83
Final Cash:  $310798.03
Price Change: $23775.40 → $38995.76 (64.02%)
