Evaluation of kosdaq_ours_fold1 with pg agent and kelly indicator
Namespace(stock='kosdaq_ours_fold1', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='kelly', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 8 | PRICE $658.93 | ACTION BUY
DAY 9 | PRICE $684.33 | ACTION SELL
DAY 15 | PRICE $745.98 | ACTION BUY
DAY 16 | PRICE $732.09 | ACTION SELL
DAY 19 | PRICE $792.27 | ACTION BUY
DAY 21 | PRICE $847.90 | ACTION SELL
DAY 33 | PRICE $831.78 | ACTION BUY
DAY 34 | PRICE $835.95 | ACTION BUY
DAY 37 | PRICE $900.09 | ACTION SELL
DAY 38 | PRICE $905.76 | ACTION BUY
DAY 40 | PRICE $920.53 | ACTION BUY
DAY 41 | PRICE $965.53 | ACTION BUY
DAY 42 | PRICE $956.72 | ACTION BUY
DAY 43 | PRICE $936.93 | ACTION BUY
DAY 45 | PRICE $953.72 | ACTION SELL
DAY 49 | PRICE $907.41 | ACTION BUY
DAY 60 | PRICE $949.78 | ACTION SELL
DAY 61 | PRICE $979.13 | ACTION BUY
DAY 64 | PRICE $1008.11 | ACTION SELL
DAY 65 | PRICE $1019.28 | ACTION SELL
DAY 68 | PRICE $1036.14 | ACTION BUY
DAY 71 | PRICE $1048.98 | ACTION SELL
DAY 72 | PRICE $999.26 | ACTION SELL
DAY 73 | PRICE $1006.98 | ACTION SELL
DAY 74 | PRICE $1035.09 | ACTION BUY
DAY 75 | PRICE $1037.22 | ACTION SELL
DAY 79 | PRICE $939.28 | ACTION SELL
DAY 80 | PRICE $1001.10 | ACTION SELL
DAY 81 | PRICE $1006.03 | ACTION BUY
DAY 84 | PRICE $1028.02 | ACTION SELL
DAY 85 | PRICE $1003.19 | ACTION BUY
DAY 89 | PRICE $999.05 | ACTION BUY
DAY 92 | PRICE $981.31 | ACTION SELL
DAY 93 | PRICE $933.97 | ACTION BUY
DAY 94 | PRICE $847.34 | ACTION BUY
DAY 96 | PRICE $837.83 | ACTION SELL
DAY 97 | PRICE $865.23 | ACTION BUY
DAY 98 | PRICE $879.03 | ACTION BUY
DAY 99 | PRICE $884.98 | ACTION BUY
DAY 100 | PRICE $903.75 | ACTION SELL
DAY 101 | PRICE $920.69 | ACTION BUY
DAY 104 | PRICE $925.61 | ACTION BUY
DAY 114 | PRICE $759.83 | ACTION SELL
DAY 115 | PRICE $728.32 | ACTION SELL
DAY 118 | PRICE $786.46 | ACTION SELL
DAY 119 | PRICE $799.36 | ACTION BUY
DAY 122 | PRICE $782.97 | ACTION BUY
DAY 123 | PRICE $791.01 | ACTION SELL
DAY 125 | PRICE $768.70 | ACTION BUY
DAY 127 | PRICE $661.65 | ACTION BUY
DAY 130 | PRICE $686.21 | ACTION SELL
DAY 131 | PRICE $693.92 | ACTION BUY
DAY 132 | PRICE $703.36 | ACTION SELL
DAY 133 | PRICE $730.33 | ACTION BUY
DAY 140 | PRICE $667.30 | ACTION SELL
DAY 141 | PRICE $701.29 | ACTION SELL
DAY 143 | PRICE $737.90 | ACTION BUY
DAY 145 | PRICE $771.62 | ACTION BUY
DAY 147 | PRICE $774.21 | ACTION SELL
DAY 148 | PRICE $804.47 | ACTION SELL
DAY 149 | PRICE $771.03 | ACTION SELL
DAY 151 | PRICE $817.81 | ACTION SELL
DAY 152 | PRICE $847.70 | ACTION SELL
DAY 154 | PRICE $898.84 | ACTION SELL
DAY 156 | PRICE $844.68 | ACTION BUY
DAY 157 | PRICE $827.88 | ACTION BUY
DAY 158 | PRICE $814.65 | ACTION BUY
DAY 159 | PRICE $853.00 | ACTION SELL
DAY 160 | PRICE $855.46 | ACTION BUY
DAY 161 | PRICE $880.76 | ACTION BUY
DAY 163 | PRICE $872.28 | ACTION BUY
DAY 165 | PRICE $861.20 | ACTION SELL
DAY 167 | PRICE $918.19 | ACTION SELL
DAY 169 | PRICE $914.30 | ACTION SELL
DAY 170 | PRICE $908.27 | ACTION BUY
DAY 171 | PRICE $879.80 | ACTION BUY
DAY 172 | PRICE $901.84 | ACTION SELL
DAY 179 | PRICE $762.51 | ACTION BUY
DAY 180 | PRICE $744.63 | ACTION SELL
DAY 182 | PRICE $774.33 | ACTION SELL
DAY 183 | PRICE $797.51 | ACTION BUY
DAY 184 | PRICE $809.26 | ACTION SELL
DAY 186 | PRICE $831.64 | ACTION SELL
DAY 188 | PRICE $846.32 | ACTION BUY
DAY 190 | PRICE $878.12 | ACTION BUY
DAY 191 | PRICE $830.06 | ACTION BUY
DAY 192 | PRICE $820.64 | ACTION SELL
DAY 193 | PRICE $786.28 | ACTION BUY
DAY 195 | PRICE $853.52 | ACTION BUY
DAY 198 | PRICE $876.62 | ACTION SELL
DAY 199 | PRICE $884.45 | ACTION SELL
DAY 200 | PRICE $910.86 | ACTION BUY
DAY 201 | PRICE $888.88 | ACTION SELL
DAY 202 | PRICE $856.49 | ACTION BUY
DAY 203 | PRICE $833.03 | ACTION BUY
DAY 204 | PRICE $855.79 | ACTION BUY
DAY 205 | PRICE $864.98 | ACTION SELL
DAY 208 | PRICE $836.65 | ACTION BUY
DAY 211 | PRICE $855.35 | ACTION SELL
DAY 212 | PRICE $836.12 | ACTION BUY
DAY 213 | PRICE $828.49 | ACTION SELL
DAY 215 | PRICE $837.29 | ACTION SELL
DAY 216 | PRICE $808.79 | ACTION SELL
DAY 218 | PRICE $707.72 | ACTION BUY
DAY 221 | PRICE $761.06 | ACTION BUY
DAY 225 | PRICE $762.67 | ACTION SELL
DAY 226 | PRICE $772.70 | ACTION BUY
DAY 227 | PRICE $763.21 | ACTION SELL
DAY 230 | PRICE $727.10 | ACTION SELL
DAY 231 | PRICE $681.30 | ACTION BUY
DAY 232 | PRICE $672.83 | ACTION BUY
DAY 233 | PRICE $691.61 | ACTION BUY
DAY 234 | PRICE $669.27 | ACTION BUY
DAY 236 | PRICE $661.24 | ACTION LIQUIDATE
DAY 236 | PRICE $661.24 | ACTION LIQUIDATE
DAY 236 | PRICE $661.24 | ACTION LIQUIDATE
DAY 236 | PRICE $661.24 | ACTION LIQUIDATE
DAY 236 | PRICE $661.24 | ACTION LIQUIDATE
DAY 236 | PRICE $661.24 | ACTION LIQUIDATE
DAY 236 | PRICE $661.24 | ACTION LIQUIDATE
Initial Cash: $5393.00
Total Profit: -$670.84
Final Cash:  $4722.16
Price Change: $637.20 → $661.24 (3.77%)
