Evaluation of kosdaq_ours_fold1 with pg agent and none indicator
Namespace(stock='kosdaq_ours_fold1', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='none', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $637.20 | ACTION BUY
DAY 2 | PRICE $435.11 | ACTION SELL
DAY 4 | PRICE $564.02 | ACTION BUY
DAY 5 | PRICE $593.01 | ACTION SELL
DAY 6 | PRICE $634.20 | ACTION BUY
DAY 7 | PRICE $638.58 | ACTION SELL
DAY 10 | PRICE $711.71 | ACTION BUY
DAY 13 | PRICE $752.04 | ACTION BUY
DAY 14 | PRICE $732.92 | ACTION BUY
DAY 17 | PRICE $769.31 | ACTION SELL
DAY 19 | PRICE $792.27 | ACTION BUY
DAY 22 | PRICE $852.15 | ACTION SELL
DAY 23 | PRICE $781.41 | ACTION BUY
DAY 25 | PRICE $841.37 | ACTION BUY
DAY 26 | PRICE $877.58 | ACTION BUY
DAY 27 | PRICE $878.78 | ACTION SELL
DAY 28 | PRICE $799.53 | ACTION SELL
DAY 29 | PRICE $856.66 | ACTION BUY
DAY 30 | PRICE $833.55 | ACTION BUY
DAY 31 | PRICE $812.70 | ACTION SELL
DAY 32 | PRICE $791.02 | ACTION SELL
DAY 34 | PRICE $835.95 | ACTION SELL
DAY 37 | PRICE $900.09 | ACTION BUY
DAY 38 | PRICE $905.76 | ACTION BUY
DAY 39 | PRICE $938.88 | ACTION BUY
DAY 41 | PRICE $965.53 | ACTION BUY
DAY 42 | PRICE $956.72 | ACTION SELL
DAY 44 | PRICE $989.03 | ACTION SELL
DAY 46 | PRICE $957.69 | ACTION SELL
DAY 47 | PRICE $967.42 | ACTION BUY
DAY 48 | PRICE $910.15 | ACTION BUY
DAY 49 | PRICE $907.41 | ACTION BUY
DAY 52 | PRICE $951.13 | ACTION SELL
DAY 53 | PRICE $966.34 | ACTION BUY
DAY 56 | PRICE $1018.87 | ACTION SELL
DAY 61 | PRICE $979.13 | ACTION BUY
DAY 63 | PRICE $993.64 | ACTION SELL
DAY 64 | PRICE $1008.11 | ACTION BUY
DAY 69 | PRICE $1045.66 | ACTION SELL
DAY 71 | PRICE $1048.98 | ACTION BUY
DAY 74 | PRICE $1035.09 | ACTION SELL
DAY 75 | PRICE $1037.22 | ACTION SELL
DAY 76 | PRICE $1038.80 | ACTION BUY
DAY 77 | PRICE $1031.93 | ACTION BUY
DAY 78 | PRICE $950.09 | ACTION SELL
DAY 79 | PRICE $939.28 | ACTION BUY
DAY 83 | PRICE $983.82 | ACTION SELL
DAY 84 | PRICE $1028.02 | ACTION BUY
DAY 86 | PRICE $949.86 | ACTION SELL
DAY 88 | PRICE $999.21 | ACTION BUY
DAY 91 | PRICE $979.83 | ACTION SELL
DAY 92 | PRICE $981.31 | ACTION BUY
DAY 93 | PRICE $933.97 | ACTION SELL
DAY 98 | PRICE $879.03 | ACTION BUY
DAY 104 | PRICE $925.61 | ACTION SELL
DAY 105 | PRICE $929.54 | ACTION BUY
DAY 106 | PRICE $889.30 | ACTION SELL
DAY 108 | PRICE $839.52 | ACTION SELL
DAY 109 | PRICE $866.76 | ACTION BUY
DAY 110 | PRICE $873.21 | ACTION BUY
DAY 112 | PRICE $804.38 | ACTION SELL
DAY 113 | PRICE $764.69 | ACTION BUY
DAY 115 | PRICE $728.32 | ACTION SELL
DAY 116 | PRICE $747.74 | ACTION BUY
DAY 120 | PRICE $826.45 | ACTION SELL
DAY 122 | PRICE $782.97 | ACTION BUY
DAY 126 | PRICE $728.29 | ACTION SELL
DAY 127 | PRICE $661.65 | ACTION SELL
DAY 129 | PRICE $685.90 | ACTION SELL
DAY 130 | PRICE $686.21 | ACTION BUY
DAY 132 | PRICE $703.36 | ACTION SELL
DAY 133 | PRICE $730.33 | ACTION SELL
DAY 134 | PRICE $711.92 | ACTION BUY
DAY 140 | PRICE $667.30 | ACTION BUY
DAY 141 | PRICE $701.29 | ACTION SELL
DAY 142 | PRICE $708.79 | ACTION BUY
DAY 143 | PRICE $737.90 | ACTION SELL
DAY 144 | PRICE $761.82 | ACTION SELL
DAY 149 | PRICE $771.03 | ACTION SELL
DAY 150 | PRICE $791.45 | ACTION BUY
DAY 151 | PRICE $817.81 | ACTION BUY
DAY 152 | PRICE $847.70 | ACTION BUY
DAY 153 | PRICE $877.31 | ACTION BUY
DAY 156 | PRICE $844.68 | ACTION SELL
DAY 157 | PRICE $827.88 | ACTION BUY
DAY 159 | PRICE $853.00 | ACTION SELL
DAY 161 | PRICE $880.76 | ACTION BUY
DAY 162 | PRICE $878.99 | ACTION SELL
DAY 163 | PRICE $872.28 | ACTION SELL
DAY 164 | PRICE $853.68 | ACTION BUY
DAY 165 | PRICE $861.20 | ACTION BUY
DAY 184 | PRICE $809.26 | ACTION SELL
DAY 185 | PRICE $823.99 | ACTION SELL
DAY 186 | PRICE $831.64 | ACTION BUY
DAY 190 | PRICE $878.12 | ACTION BUY
DAY 193 | PRICE $786.28 | ACTION SELL
