Evaluation of kosdaq_ours_fold4 with pg agent and sharpe indicator
Namespace(stock='kosdaq_ours_fold4', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='sharpe', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $591.38 | ACTION BUY
DAY 2 | PRICE $488.98 | ACTION BUY
DAY 3 | PRICE $551.30 | ACTION SELL
DAY 4 | PRICE $599.30 | ACTION SELL
DAY 7 | PRICE $635.16 | ACTION BUY
DAY 8 | PRICE $673.66 | ACTION BUY
DAY 11 | PRICE $735.06 | ACTION SELL
DAY 12 | PRICE $746.56 | ACTION SELL
DAY 13 | PRICE $714.14 | ACTION BUY
DAY 15 | PRICE $731.76 | ACTION BUY
DAY 16 | PRICE $755.44 | ACTION BUY
DAY 17 | PRICE $775.29 | ACTION SELL
DAY 18 | PRICE $785.75 | ACTION SELL
DAY 19 | PRICE $802.04 | ACTION SELL
DAY 23 | PRICE $827.27 | ACTION BUY
DAY 24 | PRICE $858.23 | ACTION SELL
DAY 25 | PRICE $864.17 | ACTION BUY
DAY 28 | PRICE $843.06 | ACTION BUY
DAY 29 | PRICE $865.95 | ACTION BUY
DAY 30 | PRICE $803.24 | ACTION SELL
DAY 33 | PRICE $835.27 | ACTION BUY
DAY 34 | PRICE $836.00 | ACTION BUY
DAY 35 | PRICE $868.89 | ACTION SELL
DAY 36 | PRICE $883.24 | ACTION SELL
DAY 37 | PRICE $906.31 | ACTION BUY
DAY 38 | PRICE $921.27 | ACTION SELL
DAY 40 | PRICE $955.38 | ACTION SELL
DAY 41 | PRICE $978.12 | ACTION SELL
DAY 44 | PRICE $918.68 | ACTION BUY
DAY 45 | PRICE $961.26 | ACTION SELL
DAY 48 | PRICE $920.07 | ACTION BUY
DAY 49 | PRICE $890.07 | ACTION BUY
DAY 50 | PRICE $935.11 | ACTION SELL
DAY 51 | PRICE $939.19 | ACTION BUY
DAY 52 | PRICE $954.17 | ACTION SELL
DAY 54 | PRICE $1009.34 | ACTION SELL
DAY 56 | PRICE $995.96 | ACTION BUY
DAY 58 | PRICE $948.04 | ACTION BUY
DAY 59 | PRICE $965.55 | ACTION BUY
DAY 60 | PRICE $973.76 | ACTION BUY
DAY 61 | PRICE $983.02 | ACTION SELL
DAY 62 | PRICE $989.15 | ACTION SELL
DAY 63 | PRICE $1004.57 | ACTION SELL
DAY 64 | PRICE $1011.31 | ACTION SELL
DAY 67 | PRICE $1044.70 | ACTION BUY
DAY 68 | PRICE $1053.01 | ACTION BUY
DAY 71 | PRICE $1024.48 | ACTION SELL
DAY 72 | PRICE $969.48 | ACTION SELL
DAY 73 | PRICE $1027.84 | ACTION BUY
DAY 74 | PRICE $1049.27 | ACTION SELL
DAY 78 | PRICE $948.02 | ACTION BUY
DAY 79 | PRICE $985.14 | ACTION BUY
DAY 80 | PRICE $986.55 | ACTION BUY
DAY 81 | PRICE $994.28 | ACTION SELL
DAY 82 | PRICE $988.36 | ACTION BUY
DAY 83 | PRICE $1016.16 | ACTION BUY
DAY 84 | PRICE $1023.13 | ACTION SELL
DAY 88 | PRICE $990.51 | ACTION SELL
DAY 89 | PRICE $1006.87 | ACTION SELL
DAY 90 | PRICE $1025.23 | ACTION BUY
DAY 92 | PRICE $942.11 | ACTION BUY
DAY 94 | PRICE $886.93 | ACTION BUY
DAY 96 | PRICE $860.81 | ACTION BUY
DAY 99 | PRICE $866.47 | ACTION BUY
DAY 100 | PRICE $914.33 | ACTION SELL
DAY 101 | PRICE $930.34 | ACTION BUY
DAY 102 | PRICE $949.46 | ACTION SELL
DAY 103 | PRICE $905.18 | ACTION BUY
DAY 104 | PRICE $922.60 | ACTION BUY
DAY 109 | PRICE $861.92 | ACTION SELL
DAY 115 | PRICE $764.02 | ACTION SELL
DAY 116 | PRICE $754.33 | ACTION SELL
DAY 118 | PRICE $801.05 | ACTION BUY
DAY 120 | PRICE $826.72 | ACTION BUY
DAY 122 | PRICE $775.33 | ACTION SELL
DAY 123 | PRICE $768.82 | ACTION BUY
DAY 124 | PRICE $770.05 | ACTION SELL
DAY 125 | PRICE $750.14 | ACTION SELL
DAY 126 | PRICE $668.30 | ACTION BUY
DAY 129 | PRICE $674.48 | ACTION BUY
DAY 130 | PRICE $687.19 | ACTION SELL
DAY 131 | PRICE $684.99 | ACTION BUY
DAY 133 | PRICE $731.53 | ACTION BUY
DAY 134 | PRICE $732.48 | ACTION BUY
DAY 137 | PRICE $710.20 | ACTION SELL
DAY 138 | PRICE $691.25 | ACTION SELL
DAY 139 | PRICE $670.38 | ACTION BUY
DAY 140 | PRICE $695.02 | ACTION BUY
DAY 141 | PRICE $713.19 | ACTION SELL
DAY 142 | PRICE $725.23 | ACTION SELL
DAY 143 | PRICE $744.03 | ACTION SELL
DAY 144 | PRICE $776.30 | ACTION BUY
DAY 146 | PRICE $774.54 | ACTION SELL
DAY 147 | PRICE $786.52 | ACTION SELL
DAY 151 | PRICE $846.10 | ACTION BUY
DAY 152 | PRICE $859.13 | ACTION BUY
DAY 153 | PRICE $875.42 | ACTION SELL
DAY 154 | PRICE $884.33 | ACTION SELL
DAY 156 | PRICE $842.07 | ACTION SELL
DAY 157 | PRICE $806.47 | ACTION BUY
DAY 158 | PRICE $837.49 | ACTION SELL
DAY 160 | PRICE $872.10 | ACTION SELL
DAY 161 | PRICE $870.48 | ACTION SELL
DAY 162 | PRICE $875.33 | ACTION SELL
DAY 167 | PRICE $886.14 | ACTION BUY
DAY 168 | PRICE $907.87 | ACTION SELL
DAY 170 | PRICE $863.32 | ACTION BUY
DAY 171 | PRICE $892.12 | ACTION BUY
DAY 173 | PRICE $902.95 | ACTION SELL
DAY 174 | PRICE $886.46 | ACTION BUY
DAY 175 | PRICE $859.51 | ACTION SELL
DAY 176 | PRICE $806.47 | ACTION SELL
DAY 178 | PRICE $782.63 | ACTION BUY
DAY 179 | PRICE $740.51 | ACTION BUY
DAY 182 | PRICE $804.74 | ACTION SELL
DAY 183 | PRICE $813.25 | ACTION SELL
DAY 186 | PRICE $834.66 | ACTION BUY
DAY 187 | PRICE $851.82 | ACTION BUY
DAY 189 | PRICE $881.97 | ACTION BUY
DAY 190 | PRICE $846.47 | ACTION SELL
DAY 191 | PRICE $833.24 | ACTION BUY
DAY 192 | PRICE $811.57 | ACTION BUY
DAY 194 | PRICE $852.79 | ACTION SELL
DAY 195 | PRICE $864.56 | ACTION SELL
DAY 196 | PRICE $858.30 | ACTION SELL
DAY 198 | PRICE $875.87 | ACTION SELL
DAY 203 | PRICE $840.29 | ACTION BUY
DAY 204 | PRICE $860.53 | ACTION BUY
DAY 205 | PRICE $862.81 | ACTION BUY
DAY 206 | PRICE $868.51 | ACTION SELL
DAY 208 | PRICE $831.02 | ACTION SELL
DAY 210 | PRICE $859.69 | ACTION BUY
DAY 212 | PRICE $838.29 | ACTION BUY
DAY 216 | PRICE $795.02 | ACTION SELL
DAY 217 | PRICE $778.39 | ACTION SELL
DAY 218 | PRICE $759.91 | ACTION SELL
DAY 223 | PRICE $729.93 | ACTION BUY
DAY 225 | PRICE $771.11 | ACTION BUY
DAY 226 | PRICE $768.13 | ACTION BUY
DAY 227 | PRICE $738.33 | ACTION BUY
DAY 228 | PRICE $733.28 | ACTION SELL
DAY 229 | PRICE $750.17 | ACTION SELL
DAY 230 | PRICE $707.96 | ACTION SELL
DAY 231 | PRICE $682.50 | ACTION SELL
DAY 232 | PRICE $689.53 | ACTION BUY
DAY 233 | PRICE $678.98 | ACTION BUY
DAY 234 | PRICE $635.94 | ACTION BUY
DAY 235 | PRICE $691.58 | ACTION SELL
DAY 235 | PRICE $679.23 | ACTION LIQUIDATE
DAY 235 | PRICE $679.23 | ACTION LIQUIDATE
Initial Cash: $6140.00
Total Profit: $359.06
Final Cash:  $6499.06
Price Change: $591.38 → $679.23 (14.86%)
